Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,1.00E-04,268.31268,220,0.00378,0,101962.62,8.5,279.2507,280.9353,285.74014,279.18384,354.73822,255,50,11119200,5530500,5596200,4360500,10572300,7196400,11570700,11661900,10519500
1994-01-02,0.02,0.0202,273.33313,170,0.00401,0,101289.08,12.3,280.98785,281.98575,283.50757,277.26132,347.35223,231.45828,35,5530500,5596200,4360500,10572300,7196400,11570700,11661900,10519500,2944800
1994-01-03,0,0.0019,219.44876,220,0.00211,0,102084.52,5.700194,273.52377,275.66638,275.93582,269.7646,317.47086,239,54,5596200,4360500,10572300,7196400,11570700,11661900,10519500,2944800,3978900
1994-01-04,0,0.0021,237.1218,210,0.002811304,0,102597.88,6.416804,274.80795,276.353,278.5966,273.84012,329.84955,243.52911,47,4360500,10572300,7196400,11570700,11661900,10519500,2944800,3978900,8457900
1994-01-05,0,0.001,246.97852,220,0.003280609,0,100917.83,10.421711,283.16446,283.5594,283.55948,273.22275,333.93454,240.18672,49,10572300,7196400,11570700,11661900,10519500,2944800,3978900,8457900,10983900
1994-01-06,0,0.0024,254,220,0.003040023,0,100779.99,9.221676,280.00696,280.68005,282.28708,279.2713,361.88257,257,49,7196400,11570700,11661900,10519500,2944800,3978900,8457900,10983900,11114400
1994-01-07,0,0.0008,207.47433,230,0.00081,0,103008.74,4.4861093,267.43805,267.47598,269.97784,265.76276,297.6197,227.2134,53,11570700,11661900,10519500,2944800,3978900,8457900,10983900,11114400,11643300
1994-01-08,0,0.0002,217.26555,230,0.00158,0,102707.17,5.7893543,270.9126,273.51755,276.78052,268.37238,313.11392,228.05623,51,11661900,10519500,2944800,3978900,8457900,10983900,11114400,11643300,929700
1994-01-09,0.02,0.022,231.41782,220,0.00268,0,102210.484,7,279.3461,279.47717,279.45453,270.9496,322.9051,216.53885,47,10519500,2944800,3978900,8457900,10983900,11114400,11643300,929700,10964700
1994-01-10,0.22,0.22,341.61526,60,0.00638,0.67,101771.07,15.8,280.47498,281.66843,284.25497,279.43628,355.58212,235.10007,11,2944800,3978900,8457900,10983900,11114400,11643300,929700,10964700,12168900
1994-01-11,0.01,0.0144,277,120,0.00482,0,102532.46,10.5,278.27502,278.3084,280.46503,277.6525,343.83844,237.9401,22,3978900,8457900,10983900,11114400,11643300,929700,10964700,12168900,9478800
1994-01-12,0.01,0.0067,252.4663,220,0.00497,0,102290.56,8.780842,277.76337,279.01517,282.7594,274.85934,347.08643,231.85739,49,8457900,10983900,11114400,11643300,929700,10964700,12168900,9478800,10399500
1994-01-13,0,0.0004,255,220,0.00353,0,102004.72,8.934728,279.76047,282.01993,284.4977,275.54007,343.48834,239.73546,46,10983900,11114400,11643300,929700,10964700,12168900,9478800,10399500,12057000
