Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0007,242.01898,190,0.0025,0,102151.36,7.6,276.8095,279.15182,283.8341,276.7641,344.73822,248.59012,49,10096500,6792300,9123600,11329500,9951300,2905200,10459800,11336700,10474500
1994-01-02,0.02,0.0203,276,170,0.002570133,0,101501.16,8.3,280.48453,281.19537,284.3315,277.17145,353.92477,230.27675,39,6792300,9123600,11329500,9951300,2905200,10459800,11336700,10474500,10009800
1994-01-03,0,0.0008,225.155,200,0.00248,0,101797.76,7.3,277.9651,281.0084,280.98355,271.88342,326.13235,236.7363,50,9123600,11329500,9951300,2905200,10459800,11336700,10474500,10009800,11034000
1994-01-04,0,0.0003,232.38077,200,0.00223,0,102680.98,4.0000095,274.50433,277.05984,280.6182,274.6105,332.74014,241.93378,51,11329500,9951300,2905200,10459800,11336700,10474500,10009800,11034000,9989100
1994-01-05,0.03,0.0285,258.00812,190,0.002150609,0,100177.72,7.843423,288.16446,290.59995,290.6595,276.7732,351.69046,235.75024,47,9951300,2905200,10459800,11336700,10474500,10009800,11034000,9989100,11623500
1994-01-06,0.03,0.0329,257.77762,140,0.00318,0.02,101233.28,8.369358,277.05988,277.24725,278.00995,275.52512,350.3237,244.11685,32,2905200,10459800,11336700,10474500,10009800,11034000,9989100,11623500,11502300
1994-01-07,0,0.0003,202.18687,200,0.00162,0,103231.78,4.659992,270.56314,270.88712,270.87784,264.40765,298.23505,223.94507,51,10459800,11336700,10474500,10009800,11034000,9989100,11623500,11502300,10489200
1994-01-08,0,0.0002,224.84488,200,0.00184,0,102398.6,5.827294,271.8793,274.8851,277.76,269.23163,314.99017,223,64,11336700,10474500,10009800,11034000,9989100,11623500,11502300,10489200,6748200
1994-01-09,0,0.0021,224.41782,200,0.00231,0,101691.336,5.8,275.399,277.38516,277.42758,270.12704,314.9512,219.5944,59,10474500,10009800,11034000,9989100,11623500,11502300,10489200,6748200,11605200
1994-01-10,0.02,0.0186,238.23436,180,0.00325,0,101906.94,8.189802,276.52924,279.0917,280.46457,273.47278,328.68976,231.30978,44,10009800,11034000,9989100,11623500,11502300,10489200,6748200,11605200,12093900
1994-01-11,0,0.0009,241,200,0.00392,0,102734.92,6.7882824,276.32352,278.63718,278.9488,273.1499,330.66986,244.01187,49,11034000,9989100,11623500,11502300,10489200,6748200,11605200,12093900,12382200
1994-01-12,0.02,0.019,235.01898,190,0.00265,0,102257.43,6.580842,276.54367,279.02515,280.83966,273.50937,330.0216,227.63684,46,9989100,11623500,11502300,10489200,6748200,11605200,12093900,12382200,10510800
1994-01-13,0,0.0006,239.01898,200,0.00272,0,102170.5,7.4652543,277.13263,280.30994,283.37958,274.6826,336.68115,238.9245,50,11623500,11502300,10489200,6748200,11605200,12093900,12382200,10510800,7135500
1994-01-14,0,1.00E-04,241.30034,200,0.00317,0,102159.555,8.098361,276.88696,279.41672,282.20523,276.5736,341.52386,244.35577,50,11502300,10489200,6748200,11605200,12093900,12382200,10510800,7135500,11535600
