Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0012,274,230,0.00368,0,102003.89,8.3,280.8507,281.82214,287.44012,279.90662,362.52692,260.4916,53,11820300,11520300,11975700,12127800,10172700,8385000,12539400,11408700,9234600
1994-01-02,0,0,262,230,0.00331,0,101198.14,10.4,284.17828,286.07028,287.54797,279.81134,362.35223,259.53503,51,11520300,11975700,12127800,10172700,8385000,12539400,11408700,9234600,3764700
1994-01-03,0,1.00E-04,233.84859,240,0.002715107,0,102155.68,5.038922,277.3167,279.86365,280.7358,275.23685,339.6432,249.0864,54,11975700,12127800,10172700,8385000,12539400,11408700,9234600,3764700,7638300
1994-01-04,0,0,245.00957,240,0.002788437,0,102622.35,5.5,278.74338,280.5455,281.1532,278.5036,349.78842,253.65219,53,12127800,10172700,8385000,12539400,11408700,9234600,3764700,7638300,6345600
1994-01-05,0,0.0005,254.97852,230,0.00307,0,101220.97,8.938316,285.76447,287.89996,287.94083,276.59387,351.12225,252.10812,52,10172700,8385000,12539400,11408700,9234600,3764700,7638300,6345600,12393300
1994-01-06,0.03,0.0334,293.27597,210,0.00293,0,100543.15,7.9736032,286.54343,287.54712,293.9871,286.586,393.474,212.93304,42,8385000,12539400,11408700,9234600,3764700,7638300,6345600,12393300,12601800
1994-01-07,0,0.0005,221.12039,240,0.001131414,0,103028.26,4.8,271.16315,272.63483,274.9013,270.28766,315.08313,239.5416,54,12539400,11408700,9234600,3764700,7638300,6345600,12393300,12601800,9664800
1994-01-08,0,0.0002,223.26555,240,0.002173331,0,102551.17,4.5700035,277.4062,280.7951,282.06113,271.1516,328.50604,238.75105,54,11408700,9234600,3764700,7638300,6345600,12393300,12601800,9664800,975600
1994-01-09,0.01,0.0062,237.02246,240,0.00349,0,102111.29,7.2061396,282.9461,283.6108,283.61905,276.0045,343.25104,246.45847,53,9234600,3764700,7638300,6345600,12393300,12601800,9664800,975600,13180800
1994-01-10,0.14,0.1435,353.61615,60,0.00781,0.17,101728.94,15.389802,284.90265,285.8817,288.3863,284.30627,377.58212,249.32875,10,3764700,7638300,6345600,12393300,12601800,9664800,975600,13180800,13298100
1994-01-11,0,0.0004,273,230,0.00491,0,102369.87,9,281.13837,282.2872,284.94495,281.11853,362.44342,256.0266,51,7638300,6345600,12393300,12601800,9664800,975600,13180800,13298100,6380100
1994-01-12,0,0.0018,280.1172,220,0.0056,0,102179.83,9.2,281.44366,283.6661,285.35938,279.10016,363.10803,207.51678,45,6345600,12393300,12601800,9664800,975600,13180800,13298100,6380100,1917000
1994-01-13,0,1.00E-04,268.25333,240,0.00409,0,102011.484,8.2,282.50943,284.96542,285.441,278.24792,356.58124,250.6036,52,12393300,12601800,9664800,975600,13180800,13298100,6380100,1917000,3420900
1994-01-14,0,1.00E-04,255.27899,240,0.00275,0,102135.8,6.9,282.41074,285.6842,289.66583,279.50024,363.73132,256,53,12601800,9664800,975600,13180800,13298100,6380100,1917000,3420900,2281200
1994-01-15,0.02,0.0155,240.88283,230,0.00246,0,102770.59,9.409328,275.93073,276.58417,277.07367,273.62643,330.97968,233.08344,50,9664800,975600,13180800,13298100,6380100,1917000,3420900,2281200,3918600
1994-01-16,0.12,0.1181,338,100,0.0076,0.5,101239.65,21.956514,285.8343,286.0959,286.08517,277.67676,353.44318,221.98305,16,975600,13180800,13298100,6380100,1917000,3420900,2281200,3918600,1826400
1994-01-17,0,1.00E-04,233,250,0.00215,0,102727.66,5.8297143,273.91852,275.0407,275.50244,272.2127,323.37067,240.66711,55,13180800,13298100,6380100,1917000,3420900,2281200,3918600,1826400,11096400
1994-01-18,0,0,216,250,0.00118,0,103448.51,7.101898,269.39655,270.41415,270.45178,266.79224,305,235.7295,54,13298100,6380100,1917000,3420900,2281200,3918600,1826400,11096400,8720400
1994-01-19,0,1.00E-04,227,250,0.00263,0,102857.15,7.9,276.8329,277.2094,277.28452,268.6884,317.3074,245.37808,54,6380100,1917000,3420900,2281200,3918600,1826400,11096400,8720400,8958000
1994-01-20,0.17,0.1667,328,70,0.005279564,0.27,103061.88,19.5,279.40585,279.44788,281.55,277.85458,346.91107,252.86304,14,1917000,3420900,2281200,3918600,1826400,11096400,8720400,8958000,9631200
1994-01-21,0.16,0.1563,317,80,0.003980287,0.23,103753.63,20.568882,277.6801,276.99274,277.0014,275.02472,334.00293,240.27606,14,3420900,2281200,3918600,1826400,11096400,8720400,8958000,9631200,3920100
1994-01-22,0.27,0.2775,327,50,0.00534901,1.45,103127.44,22.1,279.69308,280.25806,280.72263,277.21646,343.07178,214.33821,9,2281200,3918600,1826400,11096400,8720400,8958000,9631200,3920100,7586400
1994-01-23,0,0.0019,291.50665,240,0.00701,0,102318.664,15.058648,284.2102,286.632,287.2294,278.30276,360.2689,255.66644,52,3918600,1826400,11096400,8720400,8958000,9631200,3920100,7586400,14445900
1994-01-24,0.09,0.0936,341.5185,180,0.009221889,0.03,101775.85,23.658943,289.37506,290.06683,290.0621,283.2806,382.11618,213.04295,34,1826400,11096400,8720400,8958000,9631200,3920100,7586400,14445900,14429100
1994-01-25,0.04,0.0454,310,210,0.00922,0,101562.35,18.9,288.24615,290.5577,291.45267,284.58243,388.05692,222,42,11096400,8720400,8958000,9631200,3920100,7586400,14445900,14429100,14909700
1994-01-26,0.07,0.0687,300,220,0.00318,0,101049.03,6.2109127,287.86795,288.755,290.67383,288.08328,393.6765,209.95526,43,8720400,8958000,9631200,3920100,7586400,14445900,14429100,14909700,13603500
1994-01-27,0.23,0.2295,293.5726,100,0.00291,0,101209.17,11.005774,281.09885,281.14667,283.1936,279.6035,365.2276,177.06699,15,8958000,9631200,3920100,7586400,14445900,14429100,14909700,13603500,8754600
1994-01-28,0.19,0.1934,263,160,0.002453663,0,102251.37,8.7,277.5223,277.66226,277.6757,273.22623,330.38147,142.83063,27,9631200,3920100,7586400,14445900,14429100,14909700,13603500,8754600,14702700
