Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0011,249,200,0.00268,0,102137.42,7.9,279.5838,282.5172,285.64014,278.37112,353.2113,253.1374,52,11495700,8754300,12014400,12204300,5481600,9298500,12095400,11748900,11356800
1994-01-02,0,0.002,270,140,0.002380132,0,101466.54,8.5,280.97687,282.81754,287.03152,278.42566,357.01904,241.36005,32,8754300,12014400,12204300,5481600,9298500,12095400,11748900,11356800,11543100
1994-01-03,0,0.0003,230.155,200,0.0025,0,101912,6.9,278.02002,281.2364,281.7358,273.75342,335.9435,241.97379,53,12014400,12204300,5481600,9298500,12095400,11748900,11356800,11543100,12212400
1994-01-04,0,0.0002,238.38077,210,0.0022,0,102624.18,4.1,275.62485,277.57983,281.21616,277.00952,338.88644,246.30202,55,12204300,5481600,9298500,12095400,11748900,11356800,11543100,12212400,11853000
1994-01-05,0.04,0.0411,263.1172,200,0.002380609,0,100372.71,7.924265,288.46683,292.01337,293.46716,277.80276,358.93454,240.41687,49,5481600,9298500,12095400,11748900,11356800,11543100,12212400,11853000,12458100
1994-01-06,0,0.0034,260,200,0.00297,0,101000.32,8.6,282.60696,280.99768,284.3871,280.346,370.66406,255.0466,52,9298500,12095400,11748900,11356800,11543100,12212400,11853000,12458100,12455700
1994-01-07,0,0.0006,212,200,0.00171,0,103175.39,4.4813356,271.77304,271.96884,271.97162,266.54892,306.4563,226.86922,53,12095400,11748900,11356800,11543100,12212400,11853000,12458100,12455700,10826400
1994-01-08,0,0.0003,223.1551,200,0.00177,0,102366.53,5.389354,271.9907,274.85034,278.86002,268.76843,316.13934,225.378,66,11748900,11356800,11543100,12212400,11853000,12458100,12455700,10826400,2108100
1994-01-09,0.01,0.0125,230.02246,200,0.00225,0,101729.89,6.2060905,277.79898,279.65472,279.65347,269.77664,319.9512,225.66367,54,11356800,11543100,12212400,11853000,12458100,12455700,10826400,2108100,12605700
1994-01-10,0,0.0023,243.0584,200,0.00309,0,101866.5,7.789802,277.58368,280.2817,281.86566,274.807,335.73526,244.27771,50,11543100,12212400,11853000,12458100,12455700,10826400,2108100,12605700,12888900
1994-01-11,0,0.0005,247.52567,200,0.00399,0,102717.96,7,277.02316,279.49112,280.68915,275.12317,338.93518,247,52,12212400,11853000,12458100,12455700,10826400,2108100,12605700,12888900,12902100
1994-01-12,0.02,0.0184,238.03796,210,0.00267,0,102174.08,5.885524,277.74368,280.30612,282.45938,275.0702,341.08643,237.26688,53,11853000,12458100,12455700,10826400,2108100,12605700,12888900,12902100,2392800
1994-01-13,0,0.0003,244.78807,210,0.00283,0,102167.94,7.2,278.52267,281.72995,285.1597,276.05258,344.48834,242.04994,53,12458100,12455700,10826400,2108100,12605700,12888900,12902100,2392800,4376400
1994-01-14,0,0.0003,245.84488,210,0.00261,0,102165.88,7.0983605,277.88696,280.65558,285.09058,277.24994,349.99734,250.24615,54,12455700,10826400,2108100,12605700,12888900,12902100,2392800,4376400,3702900
1994-01-15,0.01,0.0095,229.50665,200,0.00182,0,102900.9,7.1093283,271.80795,272.3977,275.0141,270.36017,314.0133,235.27081,48,10826400,2108100,12605700,12888900,12902100,2392800,4376400,3702900,10908600
1994-01-16,0.1,0.1011,300.41418,110,0.004260212,0.02,101301.64,12.181453,277.3416,278.67844,282.09204,273.25635,338.1082,204,23,2108100,12605700,12888900,12902100,2392800,4376400,3702900,10908600,5655000
1994-01-17,0,0.0019,229,210,0.00263,0,102839.14,7.415053,273.74173,274.93234,274.97803,269.93796,316.14084,231.52853,67,12605700,12888900,12902100,2392800,4376400,3702900,10908600,5655000,11691000
1994-01-18,0,1.00E-04,203,210,0.00108,0,103801.31,6.843456,266.99655,265.99847,266.48294,261.9295,285.38034,223.33307,54,12888900,12902100,2392800,4376400,3702900,10908600,5655000,11691000,13217700
1994-01-19,0,1.00E-04,222,220,0.00227,0,102320.54,6.8894563,274.51312,277.07907,277.07758,265.6283,305.60016,238.43607,55,12902100,2392800,4376400,3702900,10908600,5655000,11691000,13217700,12999600
1994-01-20,0.06,0.0626,266.3381,110,0.00223,0.02,103530.03,8.344728,272.8235,272.14972,275.1488,270.5443,308.5573,246.65579,26,2392800,4376400,3702900,10908600,5655000,11691000,13217700,12999600,13677000
1994-01-21,0.02,0.0195,265.81155,143,0.00331001,0.01,103726.71,10.827544,274.52756,275.92026,276.0042,267.67776,315.0021,239.53064,38,4376400,3702900,10908600,5655000,11691000,13217700,12999600,13677000,14036400
1994-01-22,0.01,0.0069,289,200,0.005060125,0.06,102760.69,19,280.18192,282.4154,282.59796,275.82947,344.86646,230.33821,46,3702900,10908600,5655000,11691000,13217700,12999600,13677000,14036400,4774800
1994-01-23,0,0.0008,253,220,0.0042,0,102049.11,7.158648,281.66202,284.94458,285.85867,274.8902,346.2689,253.66644,56,10908600,5655000,11691000,13217700,12999600,13677000,14036400,4774800,15183300
1994-01-24,0.02,0.0245,275.81342,200,0.00594,0,101365.37,12.6,286.34253,287.92032,287.8621,279.0193,361.40564,219.74503,48,5655000,11691000,13217700,12999600,13677000,14036400,4774800,15183300,14652900
1994-01-25,0.01,0.0066,268.52567,210,0.00348,0,101490.19,7.9,283.86594,286.46964,288.69098,281.7606,369.05692,237.67783,52,11691000,13217700,12999600,13677000,14036400,4774800,15183300,14652900,14877300
1994-01-26,0,0.0016,260.3702,230,0.00255,0,100487.98,5.4551663,283.17462,285.53976,286.3998,281.8736,363.1881,262.03125,60,13217700,12999600,13677000,14036400,4774800,15183300,14652900,14877300,13955400
1994-01-27,0,0.0007,239,230,0.00221,0,101404.94,6.3493924,276.84216,278.40976,278.5905,271.77054,329.2276,220.55035,55,12999600,13677000,14036400,4774800,15183300,14652900,14877300,13955400,13671300
1994-01-28,0,0.0013,221,230,0.0023,0,102392,6.5,274.07806,275.94733,277.6757,271.08676,323.5994,234.82097,59,13677000,14036400,4774800,15183300,14652900,14877300,13955400,13671300,14960700
1994-01-29,0.01,0.0058,249.17645,230,0.002757467,0,102262.79,8.5,275.34174,277.52225,278.39426,271.59335,332.17178,207.94507,57,14036400,4774800,15183300,14652900,14877300,13955400,13671300,14960700,15440700
1994-01-30,0.72,0.7227,293.3381,60,0.003,3,102920.69,8.555789,272.14148,271.19788,273.19254,271.192,311.7618,161.16273,28,4774800,15183300,14652900,14877300,13955400,13671300,14960700,15440700,5132700
1994-01-31,0.01,0.012,211,230,0.001434897,0,103762.28,3.9,266.23413,267.03125,270.84387,263.3535,292.97565,205,82,15183300,14652900,14877300,13955400,13671300,14960700,15440700,5132700,2318100
1994-02-01,0,0.0008,207.98102,240,0.00163,0,103002.53,3.9033456,272.4868,275.17368,275.16486,265.19824,303.0225,219.52502,78,14652900,14877300,13955400,13671300,14960700,15440700,5132700,2318100,15001500
1994-02-02,0.02,0.0229,212.25333,250,0.00282,0,102587.98,3.905603,270.2038,273.00504,275.06738,266.54028,301.37244,216.79153,111,14877300,13955400,13671300,14960700,15440700,5132700,2318100,15001500,16369200
1994-02-03,0,0.0027,236,250,0.00363,0,101942.8,7.7353024,276.8215,278.8535,278.85974,268.74524,316,223,101,13955400,13671300,14960700,15440700,5132700,2318100,15001500,16369200,13464300
1994-02-04,0,0.002,258,250,0.003002113,0,102158.28,10.464165,276.95572,278.01385,279.87064,273.97903,332.3966,235.70554,74,13671300,14960700,15440700,5132700,2318100,15001500,16369200,13464300,15934200
1994-02-05,0,0.0002,251,250,0.00302,0,102055.6,7.8952465,276.12112,277.9597,280.8295,273.64203,331.41748,246.19702,83,14960700,15440700,5132700,2318100,15001500,16369200,13464300,15934200,17425200
1994-02-06,0,0.0003,239,260,0.003023772,0,101711.93,5.276639,278.5297,280.6539,284.30505,276.48767,347.3381,248.3167,69,15440700,5132700,2318100,15001500,16369200,13464300,15934200,17425200,13414200
1994-02-07,0.16,0.1581,291,190,0.0031,0,101338,8.2,286.7995,289.0594,289.04175,279.50046,367.94867,169.26997,44,5132700,2318100,15001500,16369200,13464300,15934200,17425200,13414200,17181600
1994-02-08,0.12,0.1197,330,190,0.00341,0,100471.96,14.2,291.45587,294.25107,296.33136,282.6865,390,168.6279,39,2318100,15001500,16369200,13464300,15934200,17425200,13414200,17181600,16101900
1994-02-09,0,0.0018,214.47433,270,0.001,0,102657.91,7.461123,268.3815,266.091,269.5413,262.93472,289.08908,232.95004,100,15001500,16369200,13464300,15934200,17425200,13414200,17181600,16101900,15947100
1994-02-10,0,0.0012,213.47433,270,0.001085692,0,102384.37,5.879104,274.32538,273.00784,273.00095,262.8249,305.53464,239.17783,68,16369200,13464300,15934200,17425200,13414200,17181600,16101900,15947100,8424900
1994-02-11,0.02,0.0161,235.6105,260,0.002070043,0,101622.4,9.738317,281.8507,278.53372,278.54684,268.55054,320.83496,234.00513,62,13464300,15934200,17425200,13414200,17181600,16101900,15947100,8424900,7942500
1994-02-12,0,0.0003,236.22101,280,0.00222,0,102537.01,6,278.0246,278.32974,280.75073,275.26462,346.48462,249.34161,68,15934200,17425200,13414200,17181600,16101900,15947100,8424900,7942500,18326400
1994-02-13,0,0.0003,213.30035,290,0.00138,0,103739.7,2.4,279.81158,281.22952,281.31744,269.18246,330.9774,252.34737,73,17425200,13414200,17181600,16101900,15947100,8424900,7942500,18326400,1910100
1994-02-14,0.04,0.0374,238,272,0.00152,0,102376.71,4.5,283.05383,284.4202,284.44424,275.48843,346,215.58194,65,13414200,17181600,16101900,15947100,8424900,7942500,18326400,1910100,2935200
1994-02-15,0,0.0036,248,284,0.00283,0,102648.39,6.5,282.39764,284.27875,284.48596,276.37308,352.88138,240.2695,70,17181600,16101900,15947100,8424900,7942500,18326400,1910100,2935200,18221400
1994-02-16,0,0.0005,252,290,0.0036,0,102628.31,6.2,286.31854,288.10132,288.1043,277.34784,361,260.55927,71,16101900,15947100,8424900,7942500,18326400,1910100,2935200,18221400,18351600
1994-02-17,0.02,0.0221,277,270,0.00586,0,101883.74,11.8,289.36874,290.48212,290.4514,281.56598,377.46594,237.54172,64,15947100,8424900,7942500,18326400,1910100,2935200,18221400,18351600,18828300
1994-02-18,0.02,0.0252,330,120,0.00708,0.02,100790.14,17.8,291.47275,288.0135,287.98373,283.83478,379.13287,253.06036,23,8424900,7942500,18326400,1910100,2935200,18221400,18351600,18828300,18691200
1994-02-19,0.03,0.03,300,230,0.00283,0,100756.71,8.301644,288.68304,290.43076,291.0039,284.55847,388.6619,207.0723,47,7942500,18326400,1910100,2935200,18221400,18351600,18828300,18691200,14081400
1994-02-20,0,0.0039,255.05133,307,0.00232,0,101591.32,4.7,285.16498,287.0213,288.9966,280.88663,373.5973,252.30872,75,18326400,1910100,2935200,18221400,18351600,18828300,18691200,14081400,2808900
1994-02-21,0.47,0.4701,277.6105,141,0.00389,0,102048.15,15,280.02496,279.68808,282.1163,275.46158,350.07593,158.36234,25,1910100,2935200,18221400,18351600,18828300,18691200,14081400,2808900,6473100
1994-02-22,0.09,0.0949,326,167,0.00619,1.37,100485.53,13.496027,282.18707,282.97745,282.92767,279.41446,358.42892,243.50043,36,2935200,18221400,18351600,18828300,18691200,14081400,2808900,6473100,19922100
1994-02-23,0,0.0002,210,320,0.001946894,0,102125.43,4.2,276.52994,276.6507,276.71686,269.32404,321.4033,232.80914,82,18221400,18351600,18828300,18691200,14081400,2808900,6473100,19922100,18002100
1994-02-24,0,0.0004,232.3895,322,0.00227,0,101130.98,5.59863,285.49252,286.44342,286.46564,272.25555,342.25333,244.18077,85,18351600,18828300,18691200,14081400,2808900,6473100,19922100,18002100,20201400
1994-02-25,0,0.0007,239,318,0.00161,0,102568.33,8.1624155,277.22427,276.8193,278.66217,275.9912,354.12317,254.49876,76,18828300,18691200,14081400,2808900,6473100,19922100,18002100,20201400,19574400
1994-02-26,0,0.0007,218.47433,324,0.00109,0,103214.52,7.5,276.6652,273.87433,273.8795,267.36356,321.47433,236.58278,78,18691200,14081400,2808900,6473100,19922100,18002100,20201400,19574400,7920900
1994-02-27,0,0.0049,235.67621,322,0.00248,0,102106.51,10.6997795,282.32623,279.9594,279.97995,269.5786,330.89734,234.21461,77,14081400,2808900,6473100,19922100,18002100,20201400,19574400,7920900,12000600
1994-02-28,0.08,0.0779,300.6619,262,0.006634743,0.03,101085.12,16,286.51926,286.8281,286.7764,278.49487,364.9344,228.54187,57,2808900,6473100,19922100,18002100,20201400,19574400,7920900,12000600,4068600
1994-03-01,0,0.0064,285.52567,263,0.00387,0.89,102241.52,12.024016,280.50238,278.92084,278.8712,275.1567,336,195.5552,78,6473100,19922100,18002100,20201400,19574400,7920900,12000600,4068600,21171900
1994-03-02,0,1.00E-04,264,335,0.00444,0,102377.61,8.9,285.97925,287.83597,288.5578,277.20288,362.3381,258.50174,80,19922100,18002100,20201400,19574400,7920900,12000600,4068600,21171900,21699900
1994-03-03,0.01,0.0095,276.01898,337,0.004,0,102033.73,9.019378,291.12347,293.25677,293.21124,281.21567,383.68274,261.00732,80,18002100,20201400,19574400,7920900,12000600,4068600,21171900,21699900,18714000
1994-03-04,0,0.0002,277.3381,347,0.0035,0,101330.04,8.519378,291.6678,293.50797,294.3969,283.18173,397.0078,264.89374,82,20201400,19574400,7920900,12000600,4068600,21171900,21699900,18714000,13611900
1994-03-05,0,0.0002,286.41418,345,0.006755044,0,101267.68,12.604517,292.4034,293.27408,293.21277,281.65515,397.31268,268.00275,81,19574400,7920900,12000600,4068600,21171900,21699900,18714000,13611900,21751800
1994-03-06,0,0.0019,336,308,0.00776,0,101039.05,14.4,294.91537,294.12274,294.15778,286.34744,414.577,268.48013,69,7920900,12000600,4068600,21171900,21699900,18714000,13611900,21751800,21601200
1994-03-07,0.05,0.0486,329.3381,222,0.00609,0.11,101664.2,15.4,287.7889,286.22534,288.284,284.43933,382.6004,262.83728,47,12000600,4068600,21171900,21699900,18714000,13611900,21751800,21601200,21638100
1994-03-08,0.51,0.5089,315,45,0.003800656,3.2,102379.31,15.1,275.01312,274.44043,276.5373,274.43524,328,230.1131,15,4068600,21171900,21699900,18714000,13611900,21751800,21601200,21638100,21326700
1994-03-09,0,0.001,239.47433,370,0.00324,0,102819.61,7.8607697,277.24142,275.89175,275.91367,270.01337,318.45068,229.20534,148,21171900,21699900,18714000,13611900,21751800,21601200,21638100,21326700,20294400
1994-03-10,0,0.0004,235.01898,380,0.00392,0,102690.18,6.266683,282.34232,283.02826,283.00455,272.0396,339.26663,247.7778,132,21699900,18714000,13611900,21751800,21601200,21638100,21326700,20294400,22395600
1994-03-11,0.01,0.0102,249,377,0.00379,0,102148.99,6,284.72998,286.04922,286.06805,276.19193,351.00885,241.79451,121,18714000,13611900,21751800,21601200,21638100,21326700,20294400,22395600,20514600
1994-03-12,0.37,0.366,317.47433,134,0.00657,0.43,102323.03,17.861683,283.38715,283.50302,283.51617,278.80655,359.15512,189.39691,26,13611900,21751800,21601200,21638100,21326700,20294400,22395600,20514600,18315600
1994-03-13,0,0.001,271,382,0.00375,0,103102.66,6.4,286.44836,286.9436,286.90005,277.96942,367,256.07288,91,21751800,21601200,21638100,21326700,20294400,22395600,20514600,18315600,23539200
1994-03-14,0,0.0012,265,390,0.00397,0,101758.57,8.5766325,291.9806,293.08713,293.0445,280.92767,384.82434,271.48328,94,21601200,21638100,21326700,20294400,22395600,20514600,18315600,23539200,20348700
1994-03-15,0,0.0005,285.8938,385,0.00552,0,101620.94,12.556936,290.84668,291.4029,292.1306,284.2779,395.3895,265.97784,89,21638100,21326700,20294400,22395600,20514600,18315600,23539200,20348700,22791000
1994-03-16,0,0.0011,273,395,0.00484,0,101780.43,9.2,291.71124,292.08282,292.0733,280.7563,389.47433,267.2937,92,21326700,20294400,22395600,20514600,18315600,23539200,20348700,22791000,7719000
1994-03-17,0.02,0.0177,312.52567,385,0.005253528,0,100377.26,11.631113,298.99945,301.4566,301.62396,287.93027,423,249.56113,87,20294400,22395600,20514600,18315600,23539200,20348700,22791000,7719000,9619200
1994-03-18,0,0.0005,298.52567,401,0.0049,0,101020.766,12.4,294.15488,294.7729,295.3333,287.9583,421.33652,277.45566,93,22395600,20514600,18315600,23539200,20348700,22791000,7719000,9619200,2880300
1994-03-19,0.03,0.0341,317.70874,372,0.00565,0,100306.49,16.343994,298.84293,300.18015,300.15936,286.49307,422.8275,234.24838,82,20514600,18315600,23539200,20348700,22791000,7719000,9619200,2880300,19062600
1994-03-20,0.05,0.0527,357,356,0.00494,0,100158.02,18.111261,295.9479,295.35196,300.39584,293.18246,442.31024,229.77429,77,18315600,23539200,20348700,22791000,7719000,9619200,2880300,19062600,23898900
1994-03-21,0,0.0008,270,424,0.00344,0,101873.67,6.2,291.27603,289.57275,289.53888,281.4908,399.37585,274.28693,99,23539200,20348700,22791000,7719000,9619200,2880300,19062600,23898900,24300000
1994-03-22,0.01,0.0075,279.52567,422,0.00504,0,100992.59,9.06619,295.28552,295.13885,295.11588,282.51483,401.30902,274.57443,98,20348700,22791000,7719000,9619200,2880300,19062600,23898900,24300000,24411000
1994-03-23,0.02,0.015,300,417,0.00398,0,100247.17,9.572071,296.8537,298.24,298.38177,287.22614,428.55798,272.02618,94,22791000,7719000,9619200,2880300,19062600,23898900,24300000,24411000,24867900
1994-03-24,0.04,0.0357,307,376,0.0034,0,101570.65,13.60055,286.37073,285.80002,286.73544,285.36932,390.779,223.40503,80,7719000,9619200,2880300,19062600,23898900,24300000,24411000,24867900,23875500
1994-03-25,0.01,0.0105,263,421,0.00416,0,101947.85,14.701899,288.19418,284.54633,284.4815,275.01752,366.53125,246.86156,96,9619200,2880300,19062600,23898900,24300000,24411000,24867900,23875500,22593600
1994-03-26,0.03,0.0302,329,261,0.00698,0.1,99954.54,16.2,289.56537,289.16916,294.13412,281.51553,398.8828,251.20015,55,2880300,19062600,23898900,24300000,24411000,24867900,23875500,22593600,24613500
1994-03-27,0.14,0.1403,305.25333,242,0.00245,0.14,101366.15,8.81103,282.9652,282.48285,282.51398,279.81842,365.18976,206.96588,48,19062600,23898900,24300000,24411000,24867900,23875500,22593600,24613500,12338100
1994-03-28,0,1.00E-04,222,462,0.00138,0,102324.07,3.7,286.0329,283.71643,283.66992,272.68976,358.5221,248.06927,108,23898900,24300000,24411000,24867900,23875500,22593600,24613500,12338100,5588400
1994-03-29,0,0.0005,252.3895,451,0.0023,0,102454.99,7.7,285.74103,285.74033,286.4039,278.80707,371.9011,253.06297,103,24300000,24411000,24867900,23875500,22593600,24613500,12338100,5588400,25236300
1994-03-30,0,1.00E-04,260,457,0.00218,0,103302.914,5.6,286.35638,284.09738,284.05777,277.3911,382.25333,246.23306,108,24411000,24867900,23875500,22593600,24613500,12338100,5588400,25236300,21222900
1994-03-31,0,1.00E-04,260.01898,462,0.00413,0,102225.69,7.8,292.0148,291.5076,291.53595,277.58316,384.0405,260.55658,106,24867900,23875500,22593600,24613500,12338100,5588400,25236300,21222900,19492800
1994-04-01,0,0.0003,291.0996,458,0.00568,0,101554.17,12.5,296.18726,296.3959,296.44946,283.79547,411.54126,272.78848,104,23875500,22593600,24613500,12338100,5588400,25236300,21222900,19492800,19698000
