Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0012,274.01898,230,0.00381,0,101974.14,8.7,280.05072,281.7263,287.04013,278.9172,357.52692,257.7832,52,11781900,10027800,7538100,3903300,11560500,7981500,11961600,11854800,11003400
1994-01-02,0,0.0038,260,220,0.00388,0,101265.81,12,282.7016,284.24014,285.03152,278.29807,354.92477,249.9636,50,10027800,7538100,3903300,11560500,7981500,11961600,11854800,11003400,2177400
1994-01-03,0,0.0003,227.44876,230,0.002230001,0,102112.04,5.600194,274.69473,276.91638,278.0617,272.03342,325.47086,244.00385,53,7538100,3903300,11560500,7981500,11961600,11854800,11003400,2177400,3503100
1994-01-04,0,0.0002,241.15533,230,0.002911304,0,102593.56,6.4,277.11578,278.69946,280.01486,276.33618,339.86365,249.53314,52,3903300,11560500,7981500,11961600,11854800,11003400,2177400,3503100,7410900
1994-01-05,0,0.0022,249.31166,230,0.003380609,0,101173.98,9.93278,283.83197,284.64893,284.67767,274.19986,339.66687,243.66684,51,11560500,7981500,11961600,11854800,11003400,2177400,3503100,7410900,11912700
1994-01-06,0.03,0.0247,273.7251,210,0.0033,0,100596.47,7.8693576,284.29282,285.19543,286.6034,284.64404,378.474,241.11685,46,7981500,11961600,11854800,11003400,2177400,3503100,7410900,11912700,12245400
1994-01-07,0,0.0002,213.80075,240,0.00084,0,103028.74,4.4861093,269.52057,269.59485,272.7594,268.27612,307.82263,234.15549,54,11961600,11854800,11003400,2177400,3503100,7410900,11912700,12245400,11776200
1994-01-08,0,0.0004,220,240,0.00185,0,102697.34,5.1387,274.25482,277.10635,278.6805,269.55237,319.50604,233.75105,54,11854800,11003400,2177400,3503100,7410900,11912700,12245400,11776200,1369800
1994-01-09,0,0.005,232.33179,240,0.00342,0,102265.484,7.2061396,281.79898,281.25473,281.20334,273.15665,331.52893,241.73051,53,11003400,2177400,3503100,7410900,11912700,12245400,11776200,1369800,12638400
1994-01-10,0.17,0.1755,352,30,0.00754,0.64,101826.75,17.478306,283.89874,284.9056,284.96567,280.9335,360.01392,242.17355,5,2177400,3503100,7410900,11912700,12245400,11776200,1369800,12638400,12677400
1994-01-11,0,0.0028,288,220,0.00573,0,102375.54,11.488282,281.12448,281.73248,283.75992,281.14737,362.77878,248,46,3503100,7410900,11912700,12245400,11776200,1369800,12638400,12677400,8586000
1994-01-12,0,0.0013,266.1172,220,0.00537,0,102265.92,8.880842,280.0567,281.40573,283.7397,277.40015,356.10803,206.5944,46,7410900,11912700,12245400,11776200,1369800,12638400,12677400,8586000,4265400
1994-01-13,0,0.0003,260.04938,230,0.00409,0,101967.14,8.8,281.55716,283.79993,284.50275,277.45007,351.48834,244.00403,51,11912700,12245400,11776200,1369800,12638400,12677400,8586000,4265400,10374300
1994-01-14,0,1.00E-04,254.84488,240,0.00341,0,102183.43,9.017229,280.60712,282.12616,287.15704,277.53555,353.99734,247.24615,52,12245400,11776200,1369800,12638400,12677400,8586000,4265400,10374300,2883300
1994-01-15,0.01,0.0071,230.50665,240,0.0017,0,102989.15,8.4,273.10797,274.16833,274.5626,270.4221,319.0133,236.72919,52,11776200,1369800,12638400,12677400,8586000,4265400,10374300,2883300,2433900
1994-01-16,0.29,0.2953,323,70,0.005000553,0.7,101480.25,21.281452,279.80624,279.16724,279.1247,273.75674,328.44318,205.41142,10,1369800,12638400,12677400,8586000,4265400,10374300,2883300,2433900,1961700
1994-01-17,0,0.0003,223.21204,250,0.00182,0,102819.61,5.240875,271.45895,272.318,274.12244,269.44272,314.14084,234.52853,55,12638400,12677400,8586000,4265400,10374300,2883300,2433900,1961700,8919300
1994-01-18,0,0,209,240,0.00103,0,103624.67,7.438176,268.39655,268.8726,268.862,264.97302,298.93518,228.96759,53,12677400,8586000,4265400,10374300,2883300,2433900,1961700,8919300,7179300
1994-01-19,0,0.0002,223,240,0.00194,0,102924.6,8.5,272.69662,274.6094,274.60883,267.4923,308.3074,239.26028,53,8586000,4265400,10374300,2883300,2433900,1961700,8919300,7179300,6776700
1994-01-20,0.15,0.1507,315.47433,80,0.00405,0.24,103307.87,14.7,275.2264,275.98438,277.2389,274.49783,327.52332,250.04195,15,4265400,10374300,2883300,2433900,1961700,8919300,7179300,6776700,12635400
