Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0003,271.01898,230,0.00414,0,101956.73,9.1,280.58875,281.8315,286.43448,279.81952,359.12677,259.4916,49,11658000,8774700,3754200,5057700,11754000,7055100,12549600,12464100,10536000
1994-01-02,0.01,0.005,259.33313,230,0.004301776,0,101276.72,12.4,281.58786,283.37753,285.05304,277.20245,351.35223,245.57346,47,8774700,3754200,5057700,11754000,7055100,12549600,12464100,10536000,6986700
1994-01-03,0,0.0023,236.77899,240,0.00251,0,102043.06,6.6,272.6661,274.3987,277.8817,271.07343,319.6432,240.13904,61,3754200,5057700,11754000,7055100,12549600,12464100,10536000,6986700,3347700
1994-01-04,0,0.0002,245.1218,230,0.003210853,0,102492.66,7.5,276.69812,278.0455,278.90237,276.112,338.41528,247.52911,48,5057700,11754000,7055100,12549600,12464100,10536000,6986700,3347700,5390100
1994-01-05,0,0.0014,247.06902,230,0.003750609,0,101388.22,10.9,281.76447,282.8668,282.9,273.3877,335.12225,241.66684,48,11754000,7055100,12549600,12464100,10536000,6986700,3347700,5390100,10181100
1994-01-06,0.02,0.0179,275.8309,220,0.00417,0,100485.59,8.191033,283.653,284.13928,288.69785,282.88925,375.474,234.68304,43,7055100,12549600,12464100,10536000,6986700,3347700,5390100,10181100,12243600
1994-01-07,0,0.0013,214.70673,240,0.00085,0,102913.14,4.3160086,269.82056,270.79608,273.1513,268.89612,307.88806,231.94507,51,12549600,12464100,10536000,6986700,3347700,5390100,10181100,12243600,12374700
1994-01-08,0,1.00E-04,220.03796,240,0.00148,0,102821.57,5.6814594,272.671,275.35635,277.78052,269.22162,319.50604,232.75105,50,12464100,10536000,6986700,3347700,5390100,10181100,12243600,12374700,1036200
1994-01-09,0.01,0.007,231.33179,240,0.00361,0,102469.29,7.2061396,279.399,280.15686,280.15347,271.5807,326.63785,239.80829,49,10536000,6986700,3347700,5390100,10181100,12243600,12374700,1036200,12185700
1994-01-10,0.29,0.2902,340.06616,30,0.00605,0.79,102037.31,18.891645,281.43475,281.2549,281.2657,278.9335,347.68976,234.04996,4,6986700,3347700,5390100,10181100,12243600,12374700,1036200,12185700,13172400
1994-01-11,0.05,0.0457,337,150,0.00677,0.29,102343.34,14.388282,282.22733,282.49762,284.306,282.11737,364.93518,246.11644,27,3347700,5390100,10181100,12243600,12374700,1036200,12185700,13172400,11906400
1994-01-12,0.01,0.0073,272.4663,210,0.00561,0,102278.57,9.216157,280.6567,280.58612,283.99878,276.76016,355.10803,198.71286,39,5390100,10181100,12243600,12374700,1036200,12185700,13172400,11906400,4173300
1994-01-13,0,0.0012,258.19702,240,0.00478,0,101920.4,10.026715,280.63068,282.91614,283.57956,276.77856,348.53723,243.32837,48,10181100,12243600,12374700,1036200,12185700,13172400,11906400,4173300,12952200
1994-01-14,0,0.0004,251.15512,240,0.0040462,0,102246.43,9.924457,279.0071,280.19543,284.41113,274.23874,345.73132,243,48,12243600,12374700,1036200,12185700,13172400,11906400,4173300,12952200,3042300
1994-01-15,0,0.003,230.3895,240,0.001895342,0,103009.234,8.649336,273.09515,274.35834,275.2,270.5121,320.0133,237.97183,49,12374700,1036200,12185700,13172400,11906400,4173300,12952200,3042300,2017800
1994-01-16,0.4,0.4023,318.752,50,0.004221576,1.4,101702.45,22.375061,277.16437,276.24713,276.28165,272.3013,320.44318,199.07959,12,1036200,12185700,13172400,11906400,4173300,12952200,3042300,2017800,2231400
1994-01-17,0,0.0005,219.01898,250,0.00186,0,102846.01,5.9897823,270.56085,271.108,273.99374,269.19272,311.03232,233.75142,52,12185700,13172400,11906400,4173300,12952200,3042300,2017800,2231400,5014200
1994-01-18,0,0.0002,209,250,0.00111,0,103584.59,7.715055,268.89655,269.21927,269.35178,265.13525,300,228.54172,50,13172400,11906400,4173300,12952200,3042300,2017800,2231400,5014200,5950800
1994-01-19,0,0.0004,220.01898,250,0.00142,0,103050.2,8.217886,271.99664,273.6879,273.7088,267.09476,306.20035,237.84888,50,11906400,4173300,12952200,3042300,2017800,2231400,5014200,5950800,5111700
1994-01-20,0.16,0.1677,318.3381,80,0.00386,0.23,103325.53,15.2,274.6264,275.70438,277.16885,274.0449,326.91107,249.00311,14,4173300,12952200,3042300,2017800,2231400,5014200,5950800,5111700,12189000
1994-01-21,0.02,0.0199,270,228,0.002960287,0,103835.266,14.754208,274.51514,276.0299,277.15744,271.2172,325.1252,244.53554,44,12952200,3042300,2017800,2231400,5014200,5950800,5111700,12189000,4592400
1994-01-22,0.23,0.2319,317,60,0.005172585,0.75,103187,23.500034,279.4,279.0529,279.12262,275.9874,334.53943,159.24347,8,3042300,2017800,2231400,5014200,5950800,5111700,12189000,4592400,10302000
1994-01-23,0.03,0.0312,332.03796,130,0.00668,0.1,102399.99,14.059992,282.78766,283.81464,283.79868,279.32684,355.26956,257.48734,23,2017800,2231400,5014200,5950800,5111700,12189000,4592400,10302000,14844900
