Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0004,262.01898,210,0.00384,0,101928.66,9.2,278.5218,279.0753,283.5939,278.1765,349.07523,252,49,10344600,4206300,4405800,2186100,6317100,3389400,11368800,11132400,7968600
1994-01-02,0.12,0.1243,300.20193,120,0.00425,0.01,101239.47,13.500131,279.90265,281.16492,282.08643,275.89035,341.1409,201.9636,19,4206300,4405800,2186100,6317100,3389400,11368800,11132400,7968600,3708600
1994-01-03,0.02,0.0164,228.77899,220,0.00247,0,102014.33,7.2,271.5661,272.87936,273.80945,268.8434,309.6432,226.0864,78,4405800,2186100,6317100,3389400,11368800,11132400,7968600,3708600,3195000
1994-01-04,0.02,0.0215,260.65448,150,0.00295,0,102558.48,6.9,274.53305,273.91583,276.35684,273.19763,325.78842,235.9978,29,2186100,6317100,3389400,11368800,11132400,7968600,3708600,3195000,3883200
1994-01-05,0,0.0042,243.97852,210,0.003470609,0,100960.55,11.438316,279.8667,281.69995,281.67767,272.05988,327.93454,234.10812,47,6317100,3389400,11368800,11132400,7968600,3708600,3195000,3883200,8703000
1994-01-06,0.01,0.0088,262.79224,210,0.003340262,0,100753.91,9.759993,277.22784,278.0675,279.8034,276.41397,344.63876,250.03726,48,3389400,11368800,11132400,7968600,3708600,3195000,3883200,8703000,7493400
1994-01-07,0,0.001,200.16016,220,0.00071,0,103015.78,4,266.2003,266.50928,268.0794,264.16,291.55365,222.86922,52,11368800,11132400,7968600,3708600,3195000,3883200,8703000,7493400,10733700
1994-01-08,0,0.0004,217.1551,220,0.00121,0,102784.93,6.927294,269.83508,271.60413,275.60565,266.68866,306.99017,223.48831,50,11132400,7968600,3708600,3195000,3883200,8703000,7493400,10733700,793800
1994-01-09,0.02,0.025,232.3174,210,0.00267,0,102390.484,7.6,274.9461,277.08282,278.00336,270.25986,317.37952,209.40047,45,7968600,3708600,3195000,3883200,8703000,7493400,10733700,793800,8170500
1994-01-10,0.17,0.1671,324.29126,60,0.00573,0.52,101889.84,16.189802,279.48126,280.52722,281.53986,276.89276,340.58212,230.46823,11,3708600,3195000,3883200,8703000,7493400,10733700,793800,8170500,10238700
1994-01-11,0.03,0.0283,294.52567,150,0.00475,0.01,102571.31,11.988282,278.06378,277.87112,280.77365,277.23984,344.44342,235.9401,29,3195000,3883200,8703000,7493400,10733700,793800,8170500,10238700,11094300
1994-01-12,0.02,0.0176,276,150,0.00496,0,102331.64,10.1,278.33817,278.2381,281.41995,273.01016,340.16766,236.60013,31,3883200,8703000,7493400,10733700,793800,8170500,10238700,11094300,5913900
1994-01-13,0.02,0.0213,268,180,0.00368,0,101909.37,9.41391,278.5605,280.54532,282.96954,275.02042,341.06244,236.73546,36,8703000,7493400,10733700,793800,8170500,10238700,11094300,5913900,11521800
1994-01-14,0,0.0008,244,180,0.002280846,0,102483.44,10.53895,272.89813,272.13617,273.9052,270.09735,318.92133,227.57794,37,7493400,10733700,793800,8170500,10238700,11094300,5913900,11521800,8214300
1994-01-15,0,0.0005,214.94867,220,0.00121,0,103337.3,9.449336,268.1181,267.93863,269.32397,265.9921,299.409,225.00027,49,10733700,793800,8170500,10238700,11094300,5913900,11521800,8214300,3065100
1994-01-16,0.45,0.4502,307.21204,40,0.003450553,2.7,101731.96,17.556515,273.5416,273.5959,273.7852,270.17343,311.2647,180.21439,9,793800,8170500,10238700,11094300,5913900,11521800,8214300,3065100,2058600
1994-01-17,0,0.0021,208,240,0.00138,0,103125.81,6.123119,264.30157,264.5584,267.27847,264.34015,288.67575,219.65298,86,8170500,10238700,11094300,5913900,11521800,8214300,3065100,2058600,3517800
1994-01-18,0,0.0005,204,230,0.00078,0,103865.87,7.7592707,263.68195,263.938,264.25177,261.50302,279.93518,213.09052,51,10238700,11094300,5913900,11521800,8214300,3065100,2058600,3517800,4397100
1994-01-19,0,0.0002,215.01898,230,0.00153,0,102755.4,8.6,270.71313,272.7879,272.78452,264.01053,294.20035,227.9289,51,11094300,5913900,11521800,8214300,3065100,2058600,3517800,4397100,10206000
1994-01-20,0,0.0015,231,230,0.002396906,0,103625.87,10.577898,271.60587,271.37332,274.91464,268.93997,312.94604,234.99742,50,5913900,11521800,8214300,3065100,2058600,3517800,4397100,10206000,8916600
1994-01-21,0,0.001,239.26468,227,0.002900609,0,103841.43,12.368883,272.71515,275.2791,276.20422,267.9547,318.11102,237.53064,49,11521800,8214300,3065100,2058600,3517800,4397100,10206000,8916600,12381300
1994-01-22,0.05,0.0481,294,160,0.00495,0.09,102962.8,22.306652,279.25665,280.87244,280.88257,273.96405,335.53943,218.65347,30,8214300,3065100,2058600,3517800,4397100,10206000,8916600,12381300,8898600
