Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0003,274.01898,240,0.00385,0,102001.71,8.3,281.50952,283.65216,287.54013,280.99384,365.2113,262.46652,54,12562200,11634300,10844400,8345100,10605900,5605200,13033800,12400500,9951900
1994-01-02,0,0.0009,263.19702,230,0.00369,0,101269.81,11.098102,284.20264,286.23947,287.65497,279.68658,362,255.99933,52,11634300,10844400,8345100,10605900,5605200,13033800,12400500,9951900,3928800
1994-01-03,0,1.00E-04,235.49768,240,0.00239,0,102131.84,5.591023,276.1661,277.93872,279.69568,274.57803,334.51062,249.0864,54,10844400,8345100,10605900,5605200,13033800,12400500,9951900,3928800,3779400
1994-01-04,0,1.00E-04,247.15533,240,0.002941304,0,102573.39,6.3,278.9981,280.62717,281.68948,278.70505,349.78842,254.74716,54,8345100,10605900,5605200,13033800,12400500,9951900,3928800,3779400,4615500
1994-01-05,0,0.0017,251.31166,240,0.003470609,0,101445.39,9.567266,283.96683,284.9999,285.07767,275.27988,344.7795,247.8056,52,10605900,5605200,13033800,12400500,9951900,3928800,3779400,4615500,12983700
1994-01-06,0.06,0.0624,299.25333,200,0.0037,0,100513.44,9.152721,285.713,286.5123,293.9871,285.22598,388.474,202.66724,40,5605200,13033800,12400500,9951900,3928800,3779400,4615500,12983700,13430400
1994-01-07,0,0.0006,220.16016,240,0.00095,0,102942.26,4.780299,272.6253,273.09393,275.64703,271.31613,319.88806,239.95403,55,13033800,12400500,9951900,3928800,3779400,4615500,12983700,13430400,10925400
1994-01-08,0,0.0009,222.03796,250,0.001893556,0,102730.85,4.7,277.5895,279.97757,280.00568,270.37888,325.38654,238.86642,55,12400500,9951900,3928800,3779400,4615500,12983700,13430400,10925400,1529400
1994-01-09,0,0.0042,237.33179,240,0.00455,0,102316.086,8.50614,282.7524,282.95474,282.9416,274.94666,339.9512,245,49,9951900,3928800,3779400,4615500,12983700,13430400,10925400,1529400,13739100
1994-01-10,0.2,0.1994,354.5726,70,0.00825,0.81,101843.44,18.819159,285.72842,286.59363,286.86566,282.6554,370.79956,249.04996,12,3928800,3779400,4615500,12983700,13430400,10925400,1529400,13739100,13858500
