Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0026,266.01898,230,0.00405,0,101960.09,8.2,278.937,280.3753,285.23447,278.24384,351.09857,254.78322,47,11334600,5243700,4653900,4513200,11169600,6847200,11571900,11977500,11829000
1994-01-02,0.09,0.0892,273.15576,170,0.0044,0,101254.8,12.7,280.2293,281.91946,283.53152,276.25247,345.01904,229.57346,31,5243700,4653900,4513200,11169600,6847200,11571900,11977500,11829000,4895700
1994-01-03,0,0.0003,230.84859,230,0.00257,0,102060.52,6.8389215,271.01276,272.56055,275.5317,269.26343,310.9435,234.83658,85,4653900,4513200,11169600,6847200,11571900,11977500,11829000,4895700,2180100
1994-01-04,0,0.006,245.88446,200,0.003133115,0,102545.08,7.1,274.78607,275.441,277.0233,273.89618,328.66492,240.74716,39,4513200,11169600,6847200,11571900,11977500,11829000,4895700,2180100,5868000
1994-01-05,0,0.0015,245.11719,220,0.003650609,0,101122.47,11.164972,280.27814,282.1668,282.1595,272.50275,331.12225,238.50705,46,11169600,6847200,11571900,11977500,11829000,4895700,2180100,5868000,9968400
1994-01-06,0,0.0051,260,220,0.00385,0,100631.19,9.069358,280.29282,281.27966,282.20355,279.50925,354.474,256,46,6847200,11571900,11977500,11829000,4895700,2180100,5868000,9968400,10781400
1994-01-07,0,0.0003,204.51984,230,0.00077,0,103041.54,4.2,267.76312,268.826,270.2026,266.05276,297.6197,228.73877,51,11571900,11977500,11829000,4895700,2180100,5868000,9968400,10781400,11770800
1994-01-08,0,1.00E-04,218.1551,230,0.00132,0,102793.73,6.027294,271.75726,273.2141,276.88052,268.38162,315.13934,228.7331,48,11977500,11829000,4895700,2180100,5868000,9968400,10781400,11770800,724800
1994-01-09,0.02,0.0194,231.02618,230,0.00298,0,102411.086,7,276.29898,278.04794,279.04465,270.40665,320.37952,215.93047,46,11829000,4895700,2180100,5868000,9968400,10781400,11770800,724800,11410800
1994-01-10,0.28,0.278,333.06616,60,0.00566,0.79,101975.07,17.289803,280.98126,280.63275,280.63983,277.4854,341.58212,234.45541,9,4895700,2180100,5868000,9968400,10781400,11770800,724800,11410800,11916900
1994-01-11,0.05,0.0536,329.52567,100,0.00569,0.14,102405.07,13.4,280.4273,280.17303,281.74493,279.7312,353.55145,234.18607,16,2180100,5868000,9968400,10781400,11770800,724800,11410800,11916900,10217700
1994-01-12,0,0.0051,263.01898,210,0.00537,0,102309.28,9.280842,279.02185,278.979,282.93967,274.38687,347.39453,228.78302,43,5868000,9968400,10781400,11770800,724800,11410800,11916900,10217700,9862800
1994-01-13,0,0.003,260,200,0.0042,0,101892.72,9.865254,279.26047,281.4575,282.97955,275.39005,341.58124,239.2669,38,9968400,10781400,11770800,724800,11410800,11916900,10217700,9862800,12462300
1994-01-14,0,1.00E-04,240,230,0.00293,0,102354.2,10.5,275.8799,275.12546,278.8658,272.14874,333.45963,237,47,10781400,11770800,724800,11410800,11916900,10217700,9862800,12462300,3219000
1994-01-15,0,0.0008,220.88283,230,0.0013,0,103194.44,8.722339,270.09515,271.13864,272.00003,267.7721,307.0133,231.0163,48,11770800,724800,11410800,11916900,10217700,9862800,12462300,3219000,2535000
1994-01-16,0.54,0.5381,312.79807,40,0.00389,2.9,101668.56,21.081453,274.9208,274.5959,274.68518,271.2613,315.44318,185.34665,11,724800,11410800,11916900,10217700,9862800,12462300,3219000,2535000,2097000
1994-01-17,0,0.001,211,240,0.00152,0,102984.21,5.023119,267.51395,267.3584,270.12103,266.45016,297.67575,226.26044,52,11410800,11916900,10217700,9862800,12462300,3219000,2535000,2097000,8376300
1994-01-18,0,1.00E-04,203,240,0.00092,0,103732.35,7.6747236,266.0027,266.10565,266.62766,262.91302,289,220.84668,49,11916900,10217700,9862800,12462300,3219000,2535000,2097000,8376300,6480900
1994-01-19,0,0,217.01898,240,0.00146,0,102911,8.4,271.26733,272.98788,272.98453,265.50232,299.20035,233.05505,49,10217700,9862800,12462300,3219000,2535000,2097000,8376300,6480900,6042300
1994-01-20,0.01,0.0129,270.3381,200,0.00309,0.01,103453.87,10.9,274.60587,273.75787,277.29218,271.88248,326.00302,247,41,9862800,12462300,3219000,2535000,2097000,8376300,6480900,6042300,10660500
1994-01-21,0,0.0005,242,240,0.00278001,0,103848.266,12.9,273.62274,274.44992,277.06317,269.63474,325.00293,241.36841,48,12462300,3219000,2535000,2097000,8376300,6480900,6042300,10660500,6790500
1994-01-22,0.07,0.0696,303.09375,60,0.00497901,0.19,103125.41,22.9,278.65668,278.41852,278.5003,274.41083,329.44666,174.91672,9,3219000,2535000,2097000,8376300,6480900,6042300,10660500,6790500,6716400
1994-01-23,0.02,0.0198,326.16095,120,0.00619,0.1,102324.99,11.773603,281.28766,283.292,283.35263,278.77264,352.59512,260.4491,21,2535000,2097000,8376300,6480900,6042300,10660500,6790500,6716400,14372700
1994-01-24,0.12,0.1198,345.1642,120,0.008562665,0.2,101813.82,23.2,285.472,286.21902,287.36212,282.49948,372.40564,244.74503,18,2097000,8376300,6480900,6042300,10660500,6790500,6716400,14372700,13910400
1994-01-25,0.07,0.0718,320,230,0.0077,0.06,101451.06,12.4,285.84457,286.32553,289.15265,285.617,387.68976,258.53308,45,8376300,6480900,6042300,10660500,6790500,6716400,14372700,13910400,15069600
1994-01-26,0.08,0.0792,368,120,0.00824,0.98,100818.625,11.056632,288.60184,288.79282,290.8868,287.84235,395.3721,236.09128,20,6480900,6042300,10660500,6790500,6716400,14372700,13910400,15069600,13768200
1994-01-27,0.19,0.1908,274.56354,170,0.00299,0.01,101143.64,10.498785,277.04553,278.03665,280.16895,276.1969,344.9619,170,28,6042300,10660500,6790500,6716400,14372700,13910400,15069600,13768200,6910200
1994-01-28,0.05,0.0429,230,230,0.002324791,0,102142.87,6.6760283,273.3139,274.69614,276.14752,270.19647,321.6662,200.71283,43,10660500,6790500,6716400,14372700,13910400,15069600,13768200,6910200,14652000
