Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,1.00E-04,255.01898,210,0.003066024,0,102113.1,8.2,281.23947,284.13977,286.33447,280.03662,361.73822,257.301,52,11125500,10174200,11745000,12048600,9392700,8002200,11701500,11870700,11988000
1994-01-02,0,0.001,265.19702,200,0.00251,0,101492.44,7.9914017,282.50262,284.60947,289.60245,280.26788,364.1409,255.26761,48,10174200,11745000,12048600,9392700,8002200,11701500,11870700,11988000,11320500
1994-01-03,0,0.0002,236.155,210,0.002492367,0,101996.68,6.8,280.43427,283.00946,283.03885,275.53342,345.47086,246.7363,53,11745000,12048600,9392700,8002200,11701500,11870700,11988000,11320500,12081600
1994-01-04,0,0.0002,244.1998,220,0.00223,0,102590.06,5.644365,277.4158,279.25854,282.11615,277.83743,346.8536,249.44907,54,12048600,9392700,8002200,11701500,11870700,11988000,11320500,12081600,11183100
1994-01-05,0.01,0.0067,263.97852,210,0.00267,0,100662.89,8.032773,288.93198,292.44345,292.55948,279.69388,365.66687,245.40251,51,9392700,8002200,11701500,11870700,11988000,11320500,12081600,11183100,12354900
1994-01-06,0,0.0022,271.404,210,0.00303,0,100695.57,8.169357,285.84344,286.8606,288.93866,286.63257,390.36597,255.25302,50,8002200,11701500,11870700,11988000,11320500,12081600,11183100,12354900,11973000
1994-01-07,0,0.0005,226.50684,210,0.00183,0,103092.37,5.7,272.4253,272.65527,273.0194,268.67615,312.96045,231.86922,53,11701500,11870700,11988000,11320500,12081600,11183100,12354900,11973000,10560300
1994-01-08,0,0.0021,224.84488,220,0.001743331,0,102392.28,5,273.54767,276.14636,280.26,273.04868,328.13934,234.07416,67,11870700,11988000,11320500,12081600,11183100,12354900,11973000,10560300,1499100
1994-01-09,0,0.0018,233.93474,220,0.00232,0,101729.29,6.1060905,280.6461,282.35474,282.30334,272.94736,332.9512,239,58,11988000,11320500,12081600,11183100,12354900,11973000,10560300,1499100,12511800
1994-01-10,0,0.0029,256.28217,210,0.00303,0,101781.41,7.5191584,278.78366,281.31064,282.96457,277.54443,346.94305,251.36006,51,11320500,12081600,11183100,12354900,11973000,10560300,1499100,12511800,12635700
1994-01-11,0,0.0007,247,210,0.0037,0,102673.87,7.0525665,277.52316,280.0284,282.4488,276.83368,347.08646,250.01187,52,12081600,11183100,12354900,11973000,10560300,1499100,12511800,12635700,12482400
1994-01-12,0,0.0056,248.6619,220,0.00274,0,102104,6.816157,279.54367,282.30612,284.75937,277.31348,353.16766,244.90892,52,11183100,12354900,11973000,10560300,1499100,12511800,12635700,12482400,3668100
1994-01-13,0,0.0003,247.35153,220,0.00278,0,102198.34,6.7421393,280.6651,283.66983,286.35968,276.48856,350,245.04994,52,12354900,11973000,10560300,1499100,12511800,12635700,12482400,3668100,4347900
1994-01-14,0,1.00E-04,252,220,0.00241,0,102131.88,6.9,280.4378,283.45923,287.69058,278.98993,359.37036,256.24615,53,11973000,10560300,1499100,12511800,12635700,12482400,3668100,4347900,3455100
1994-01-15,0.02,0.02,240.2479,200,0.0021,0,102782.53,7.9,274.33072,274.59772,277.062,272.47644,324.0133,224.97183,44,10560300,1499100,12511800,12635700,12482400,3668100,4347900,3455100,10161000
1994-01-16,0.01,0.012,309.52567,130,0.004366397,0.2,101190.04,13.575061,280.15887,281.12332,287.7852,276.74738,358.0665,213.1806,26,1499100,12511800,12635700,12482400,3668100,4347900,3455100,10161000,5784000
1994-01-17,0,0.0002,233,220,0.00256,0,102845.38,6.8231187,276.9417,276.78326,276.778,272.04272,330.48657,239.00014,54,12511800,12635700,12482400,3668100,4347900,3455100,10161000,5784000,11282700
1994-01-18,0,0.0002,211,220,0.00115,0,103648.51,6.824908,268.89655,267.4141,270.1075,264.29968,292.93518,230.88078,54,12635700,12482400,3668100,4347900,3455100,10161000,5784000,11282700,10356000
1994-01-19,0,0.0003,228,220,0.00276,0,102428.54,7.3377657,278.71167,278.57907,278.58453,267.35706,313.3074,242.84888,54,12482400,3668100,4347900,3455100,10161000,5784000,11282700,10356000,12330900
1994-01-20,0.14,0.1456,298.47433,40,0.002963275,0.2,103497.4,10.144728,275.52948,274.3544,276.12665,273.38248,325.94604,251.45828,8,3668100,4347900,3455100,10161000,5784000,11282700,10356000,12330900,13076400
