Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0029,232.01898,190,0.00236,0,102151.16,6.9,277.53925,280.6598,282.5345,273.4241,333.07523,241.801,50,9814500,10226100,11144400,11730600,10342800,2530200,10197000,11721600,11328900
1994-01-02,0,0.0015,245,190,0.0021,0,101813.64,4.6,278.80267,280.30566,283.40244,279.12244,350.94855,249.57346,51,10226100,11144400,11730600,10342800,2530200,10197000,11721600,11328900,9955800
1994-01-03,0,0.0008,225.06523,190,0.002170001,0,101633.02,6.7,274.6661,277.71365,280.81067,272.4843,327.19104,237.49771,50,11144400,11730600,10342800,2530200,10197000,11721600,11328900,9955800,11316600
1994-01-04,0,0.0002,230.24477,190,0.00198,0,102816.3,6.5,276.90433,278.49707,278.9791,273.8295,329.66492,239.4863,51,11730600,10342800,2530200,10197000,11721600,11328900,9955800,11316600,11956500
1994-01-05,0.04,0.0407,280.97852,140,0.001940609,0,100341.19,6.700032,284.825,288.93347,289.25946,280.60382,360.69046,215.79774,31,10342800,2530200,10197000,11721600,11328900,9955800,11316600,11956500,12094800
1994-01-06,0.1,0.1012,259.404,130,0.00340108,0.23,101167.75,7.8346786,277.10696,278.3816,278.85657,276.65897,347.38147,241.18607,31,2530200,10197000,11721600,11328900,9955800,11316600,11956500,12094800,12270600
1994-01-07,0,0.0009,231.70673,180,0.00228,0.04,102923.06,3.4,272.25687,274.56885,274.46133,267.0338,309.96045,231.23901,61,10197000,11721600,11328900,9955800,11316600,11956500,12094800,12270600,5669700
1994-01-08,0,0.0003,220,190,0.00192,0,102428.82,5.048593,273.93585,277.0088,278.5805,272.0328,321.1556,229.292,51,11721600,11328900,9955800,11316600,11956500,12094800,12270600,5669700,8659200
1994-01-09,0,0.0023,227.02618,190,0.00145,0,101069.37,4.8061395,277.35242,280.93118,281.82904,271.99423,326.56183,224.71631,50,11328900,9955800,11316600,11956500,12094800,12270600,5669700,8659200,11350500
1994-01-10,0.02,0.0255,243.23436,170,0.00333,0,101937.98,7.319158,276.69873,279.0217,280.8964,273.77277,333.01392,233.13324,42,9955800,11316600,11956500,12094800,12270600,5669700,8659200,11350500,12718500
