Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0003,271.01898,230,0.00414,0,101956.73,9.1,280.58875,281.8315,286.43448,279.81952,359.12677,259.4916,49,11858100,11145900,7052100,7733400,11026500,4874100,12392700,12098700,10174800
1994-01-02,0.01,0.005,259.33313,230,0.004301776,0,101276.72,12.4,281.58786,283.37753,285.05304,277.20245,351.35223,245.57346,47,11145900,7052100,7733400,11026500,4874100,12392700,12098700,10174800,2872500
1994-01-03,0,0.0023,236.77899,240,0.00251,0,102043.06,6.6,272.6661,274.3987,277.8817,271.07343,319.6432,240.13904,61,7052100,7733400,11026500,4874100,12392700,12098700,10174800,2872500,5563500
1994-01-04,0,0.0002,245.1218,230,0.003210853,0,102492.66,7.5,276.69812,278.0455,278.90237,276.112,338.41528,247.52911,48,7733400,11026500,4874100,12392700,12098700,10174800,2872500,5563500,5100000
1994-01-05,0,0.0014,247.06902,230,0.003750609,0,101388.22,10.9,281.76447,282.8668,282.9,273.3877,335.12225,241.66684,48,11026500,4874100,12392700,12098700,10174800,2872500,5563500,5100000,10715700
1994-01-06,0.02,0.0179,275.8309,220,0.00417,0,100485.59,8.191033,283.653,284.13928,288.69785,282.88925,375.474,234.68304,43,4874100,12392700,12098700,10174800,2872500,5563500,5100000,10715700,12729300
1994-01-07,0,0.0013,214.70673,240,0.00085,0,102913.14,4.3160086,269.82056,270.79608,273.1513,268.89612,307.88806,231.94507,51,12392700,12098700,10174800,2872500,5563500,5100000,10715700,12729300,11053800
1994-01-08,0,1.00E-04,220.03796,240,0.00148,0,102821.57,5.6814594,272.671,275.35635,277.78052,269.22162,319.50604,232.75105,50,12098700,10174800,2872500,5563500,5100000,10715700,12729300,11053800,1107000
1994-01-09,0.01,0.007,231.33179,240,0.00361,0,102469.29,7.2061396,279.399,280.15686,280.15347,271.5807,326.63785,239.80829,49,10174800,2872500,5563500,5100000,10715700,12729300,11053800,1107000,13202100
1994-01-10,0.29,0.2902,340.06616,30,0.00605,0.79,102037.31,18.891645,281.43475,281.2549,281.2657,278.9335,347.68976,234.04996,4,2872500,5563500,5100000,10715700,12729300,11053800,1107000,13202100,13136700
1994-01-11,0.05,0.0457,337,150,0.00677,0.29,102343.34,14.388282,282.22733,282.49762,284.306,282.11737,364.93518,246.11644,27,5563500,5100000,10715700,12729300,11053800,1107000,13202100,13136700,11486100
1994-01-12,0.01,0.0073,272.4663,210,0.00561,0,102278.57,9.216157,280.6567,280.58612,283.99878,276.76016,355.10803,198.71286,39,5100000,10715700,12729300,11053800,1107000,13202100,13136700,11486100,2720400
