Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0013,320.2623,190,0.00621,0.25,101919.8,9,283.3133,282.9437,287.2341,280.93607,368.94952,257.05527,30,8080500,8595900,12386304,9291000,9488700,7734600,12386304,9988800,9381600
1994-01-02,0,0.0014,259.20193,240,0.00487,0,101318.87,12.4,281.2047,283.09753,286.03152,277.0641,353.2113,248.57346,42,8595900,12386304,9291000,9488700,7734600,12386304,9988800,9381600,2310900
1994-01-03,0,0.0018,240.49973,240,0.00307,0,101811.88,7.6,274.43427,275.56107,279.30624,273.50684,333,241.30577,43,12386304,9291000,9488700,7734600,12386304,9988800,9381600,2310900,7253100
1994-01-04,0,0.0002,251.00957,250,0.00358,0,102315.63,7.9789677,277.9981,277.71964,280.62405,276.4762,341.93887,249.52911,42,9291000,9488700,7734600,12386304,9988800,9381600,2310900,7253100,6861900
1994-01-05,0,0.0009,246.97852,250,0.003830002,0,101751.43,10.819159,282.2668,283.5594,283.5,273.49146,337.51242,243.5664,42,9488700,7734600,12386304,9988800,9381600,2310900,7253100,6861900,6323100
1994-01-06,0.06,0.0557,327.7251,220,0.00698,0.03,100574.12,13.0563545,286.513,286.69885,291.86334,286.03897,390.474,238.88144,33,7734600,12386304,9988800,9381600,2310900,7253100,6861900,6323100,13303200
1994-01-07,0,0.0006,226.70673,250,0.00139,0,102731.29,4.9,272.4558,272.55487,276.00082,272.17276,324.13364,238.38132,43,12386304,9988800,9381600,2310900,7253100,6861900,6323100,13303200,4444200
1994-01-08,0,1.00E-04,221.1551,260,0.0016,0,102893.57,5.227294,273.6895,275.95413,279.36002,269.35782,322.13934,237.36676,45,9988800,9381600,2310900,7253100,6861900,6323100,13303200,4444200,12386304
1994-01-09,0,0.0023,231.33179,260,0.00323,0,102636.484,6.106139,278.4461,279.9408,281.54465,271.5707,328.37952,245.73051,44,9381600,2310900,7253100,6861900,6323100,13303200,4444200,12386304,7838400
1994-01-10,0.31,0.3154,336.58252,40,0.0056,0.7,102208.54,21.265135,281.33246,281.11838,281.16458,278.46655,344.68976,232.05005,6,2310900,7253100,6861900,6323100,13303200,4444200,12386304,7838400,5184300
1994-01-11,0.09,0.0865,355.52567,100,0.00821,0.89,102241.98,16.5,284.52698,284.75613,287.506,283.8055,375.83844,245.60632,14,7253100,6861900,6323100,13303200,4444200,12386304,7838400,5184300,5783100
1994-01-12,0.03,0.0294,288.01898,210,0.00632,0,102233.13,10.121549,282.1567,281.58514,285.0397,279.31015,363.0216,206.90892,31,6861900,6323100,13303200,4444200,12386304,7838400,5184300,5783100,2638800
1994-01-13,0,0.0013,276,250,0.00511,0,101888.58,10.818305,281.00943,282.54532,285.47955,277.83783,357.48834,233.33325,41,6323100,13303200,4444200,12386304,7838400,5184300,5783100,2638800,6264000
1994-01-14,0,1.00E-04,253,250,0.004531605,0,102258.61,9.876665,279.62515,281.07355,285.19058,273.7379,347.24078,245,43,13303200,4444200,12386304,7838400,5184300,5783100,2638800,6264000,4150500
1994-01-15,0.01,0.0049,239.3895,260,0.002273831,0,102955.51,9.5493355,274.16318,275.00418,276.2,272.2441,322.97968,240,43,4444200,12386304,7838400,5184300,5783100,2638800,6264000,4150500,4420800
1994-01-16,0.44,0.4401,321,50,0.004510553,1.76,101921.56,25.375061,277.4208,276.98065,277.02472,272.87677,322.44318,195.98305,6,12386304,7838400,5184300,5783100,2638800,6264000,4150500,4420800,1961100
1994-01-17,0,0.0005,240.06561,260,0.00255,0.01,102633.07,5.782486,272.78705,273.2784,276.972,272.8718,337.9417,236.00052,44,7838400,5184300,5783100,2638800,6264000,4150500,4420800,1961100,2733900
1994-01-18,0,0.0005,224.15512,260,0.00137,0,103506.94,7.7245264,270.58194,271.188,272.1559,268.04303,305.38034,235.54172,44,5184300,5783100,2638800,6264000,4150500,4420800,1961100,2733900,13398600
1994-01-19,0,0.0002,222.01898,260,0.00133,0,103186.77,7.9377656,273.58362,275.0094,275.07758,267.23898,309.3074,240.37808,45,5783100,2638800,6264000,4150500,4420800,1961100,2733900,13398600,1420200
1994-01-20,0.36,0.3601,325,20,0.003857464,0.76,103286.11,19.659864,275.23944,275.04752,275.0388,274.2976,322.26437,247.74007,3,2638800,6264000,4150500,4420800,1961100,2733900,13398600,1420200,4100100
1994-01-21,0.03,0.0313,284,230,0.003460609,0.01,103790.266,17.34134,275.69354,276.82483,277.47662,271.51083,322.1252,245.53064,38,6264000,4150500,4420800,1961100,2733900,13398600,1420200,4100100,3434700
1994-01-22,0.18,0.1808,317,140,0.00483901,0.28,103257.29,24.6,278.63562,279.6605,281.46338,275.92944,342.42426,218.47871,19,4150500,4420800,1961100,2733900,13398600,1420200,4100100,3434700,404400
1994-01-23,0.05,0.046,328,170,0.00662,0.03,102488.914,18.673603,282.66202,284.1843,285.1686,279.79767,358.8356,251.85373,26,4420800,1961100,2733900,13398600,1420200,4100100,3434700,404400,12386304
1994-01-24,0.3,0.2968,361.07092,30,0.008112664,0.68,102106.14,31,285.17288,285.1733,285.22543,283.2689,368.40564,224.54172,3,1961100,2733900,13398600,1420200,4100100,3434700,404400,12386304,10668600
1994-01-25,0.17,0.1697,388,100,0.01199,0.52,101667.75,26.9,290.01752,291.0674,292.54486,288.52628,399.68976,247.53308,12,2733900,13398600,1420200,4100100,3434700,404400,12386304,10668600,11496600
1994-01-26,0.13,0.1291,379.84488,60,0.0112,1.4,101172.95,26.40061,289.43158,289.88977,292.0015,288.96613,399.3721,213.32312,7,13398600,1420200,4100100,3434700,404400,12386304,10668600,11496600,12743400
1994-01-27,0.12,0.119,340,193,0.00928,0.04,100840.15,19.898785,287.18182,287.75446,289.34055,286.56952,391.16718,201.95555,25,1420200,4100100,3434700,404400,12386304,10668600,11496600,12743400,6075300
1994-01-28,0.21,0.212,259,180,0.002633274,0,102104.17,9.418188,276.01355,276.70734,276.8965,272.0262,322.56723,152.80215,24,4100100,3434700,404400,12386304,10668600,11496600,12743400,6075300,6008700
1994-01-29,0.06,0.054,265.5726,180,0.003078828,0,102281.27,10.4,276.2634,276.16223,279.4766,271.73743,329.98566,233.32022,28,3434700,404400,12386304,10668600,11496600,12743400,6075300,6008700,12845100
1994-01-30,0,0.0033,235,280,0.003262895,0,102561.98,8.93381,276.45508,276.8417,280.43256,271.90106,333.76117,237.93536,47,404400,12386304,10668600,11496600,12743400,6075300,6008700,12845100,9434700
