Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0045,225.11719,180,0.00224,0,102139.94,6.4480867,276.07666,278.98248,280.5345,271.82382,325.12677,237.801,52,11189400,11624400,12391500,12091500,9648000,4580100,12466200,12428400,12242100
1994-01-02,0,0.0006,228.10771,190,0.00152,0,101845.32,3.5,276.57745,278.69754,282.55304,278.1966,342.94855,254.27675,54,11624400,12391500,12091500,9648000,4580100,12466200,12428400,12242100,9811200
1994-01-03,0,0.0006,221.91023,180,0.00202,0,101512.25,6.5,276.2167,280.19366,280.59418,271.80814,322.97156,236.13904,52,12391500,12091500,9648000,4580100,12466200,12428400,12242100,9811200,10877700
1994-01-04,0,0.0004,228.24477,180,0.00235,0,102792.46,7.3,276.93817,277.84937,278.71613,272.8405,325.86365,238.66684,52,12091500,9648000,4580100,12466200,12428400,12242100,9811200,10877700,12906600
1994-01-05,0.04,0.0353,271.842,140,0.00166,0,100369.99,5.7000217,283.725,287.44666,288.95947,279.3097,352.7795,193.01093,34,9648000,4580100,12466200,12428400,12242100,9811200,10877700,12906600,12924000
1994-01-06,0.1,0.0982,239.27597,160,0.00259108,0.38,101076.56,6.1052394,276.43646,277.9169,279.30084,277.01932,339.88257,240.03726,44,4580100,12466200,12428400,12242100,9811200,10877700,12906600,12924000,13305300
1994-01-07,0,0.0006,208.80075,190,0.0018,0,102759.41,2.7,272.75687,275.74487,275.7379,267.7939,309.4563,231.73877,63,12466200,12428400,12242100,9811200,10877700,12906600,12924000,13305300,10717800
1994-01-08,0,0.0006,215.1551,190,0.00182,0,102378.46,4.5700035,273.3548,276.0351,277.76,270.85547,318.11392,227.75105,53,12428400,12242100,9811200,10877700,12906600,12924000,13305300,10717800,5908500
1994-01-09,0,0.0015,224.3174,190,0.00143,0,100956.086,4.100049,276.653,280.4112,281.50336,271.93048,324.56183,226.71631,53,12242100,9811200,10877700,12906600,12924000,13305300,10717800,5908500,12252300
1994-01-10,0.02,0.0264,239.61526,160,0.00296,0,101946.3,6.5191584,275.88367,278.0243,279.63025,273.27277,328.01392,225.24783,43,9811200,10877700,12906600,12924000,13305300,10717800,5908500,12252300,13592100
