Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0008,247.20709,200,0.00316,0,102060.14,8.4,277.7133,277.99783,284.89105,276.86707,348.07523,249.801,47,10937100,5106300,8590500,9412800,8442900,4141200,11942100,11848200,9903600
1994-01-02,0.03,0.0317,283.15576,160,0.00281,0,101283.83,10.998102,279.4783,280.9849,285.69562,277.0366,348.35223,227.36005,32,5106300,8590500,9412800,8442900,4141200,11942100,11848200,9903600,10835100
1994-01-03,0,0.0014,219.155,200,0.002760001,0,101952.2,7.3,277.42377,278.30002,278.28354,270.1534,321.9435,235.0864,48,8590500,9412800,8442900,4141200,11942100,11848200,9903600,10835100,9493200
1994-01-04,0,0.0005,232.38077,210,0.00247,0,102543.16,4.9,273.79813,274.75854,279.76385,273.0435,334.61664,242.10666,49,9412800,8442900,4141200,11942100,11848200,9903600,10835100,9493200,6458100
1994-01-05,0.01,0.0087,251.31166,200,0.00272,0,100331.87,9.421711,287.2404,286.43063,286.4,275.60382,343.69046,237.17212,46,8442900,4141200,11942100,11848200,9903600,10835100,9493200,6458100,11808300
1994-01-06,0.02,0.0174,256.3997,190,0.00291,0,101146.766,9.073603,276.60434,276.98633,277.9279,275.06256,345.3237,244.0466,43,4141200,11942100,11848200,9903600,10835100,9493200,6458100,11808300,11948100
1994-01-07,0,0.0004,197.75974,200,0.001162628,0,103230.98,4.659992,267.67303,270.1871,270.16132,263.73276,293.1267,221.94507,49,11942100,11848200,9903600,10835100,9493200,6458100,11808300,11948100,11562000
1994-01-08,0,0.0002,222.03796,200,0.002013331,0,102544.37,6.427294,270.6573,273.06033,277.16,266.12772,308.99017,221.75105,55,11848200,9903600,10835100,9493200,6458100,11808300,11948100,11562000,1196400
1994-01-09,0.01,0.0108,227.16422,200,0.00243,0,101865.484,6.7061396,276.2461,277.76685,277.77905,269.03665,312.52893,215.66367,51,9903600,10835100,9493200,6458100,11808300,11948100,11562000,1196400,11914500
1994-01-10,0.01,0.0096,258,200,0.00341,0,101841.08,7.9,275.8194,278.2517,280.63025,276.41608,334.25443,233.14992,44,10835100,9493200,6458100,11808300,11948100,11562000,1196400,11914500,12575700
1994-01-11,0,0.0004,247,200,0.00392,0,102812.22,7.4536085,274.1638,276.23718,278.64877,273.49277,330.73553,241.01187,47,9493200,6458100,11808300,11948100,11562000,1196400,11914500,12575700,12500400
1994-01-12,0.02,0.0183,239.4663,200,0.00363,0,102246.56,7.3808417,276.31494,278.69363,281.2397,273.20016,333.20886,230.94427,46,6458100,11808300,11948100,11562000,1196400,11914500,12575700,12500400,5388600
1994-01-13,0,0.0009,244.78807,210,0.00295,0,102105.87,8.4,277.15717,280.01614,284.21976,275.14493,339.58124,238,48,11808300,11948100,11562000,1196400,11914500,12575700,12500400,5388600,11226900
1994-01-14,0,0.0004,246.30034,210,0.00337,0,102225.6,9.498361,276.7569,277.60617,282.19058,276.8936,343.24078,244.24615,48,11948100,11562000,1196400,11914500,12575700,12500400,5388600,11226900,4658400
1994-01-15,0,0.0014,217.15512,210,0.00143,0,103231.3,7.7686357,268.9632,269.94272,269.96307,265.8502,296.409,229.72919,48,11562000,1196400,11914500,12575700,12500400,5388600,11226900,4658400,10984800
1994-01-16,0.11,0.1124,295,100,0.003474365,0.07,101405.234,12,274.53427,275.8064,278.2247,272.0413,328.0665,190.07959,19,1196400,11914500,12575700,12500400,5388600,11226900,4658400,10984800,5245200
1994-01-17,0,0.0015,216.15512,210,0.0016,0,102969.54,7.815053,268.84174,270.10855,270.91125,265.6118,297.06955,221.00014,51,11914500,12575700,12500400,5388600,11226900,4658400,10984800,5245200,3730800
1994-01-18,0,0.0009,198,210,0.001,0,103944.77,7.4245267,264.96994,265.17258,265.1518,260.10968,278,215.33307,49,12575700,12500400,5388600,11226900,4658400,10984800,5245200,3730800,10741500
