Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0012,274.01898,230,0.00381,0,101974.14,8.7,280.05072,281.7263,287.04013,278.9172,357.52692,257.7832,52,12081000,11072400,11844000,11890500,10844100,8587200,12463800,11655000,9926700
1994-01-02,0,0.0038,260,220,0.00388,0,101265.81,12,282.7016,284.24014,285.03152,278.29807,354.92477,249.9636,50,11072400,11844000,11890500,10844100,8587200,12463800,11655000,9926700,2220300
1994-01-03,0,0.0003,227.44876,230,0.002230001,0,102112.04,5.600194,274.69473,276.91638,278.0617,272.03342,325.47086,244.00385,53,11844000,11890500,10844100,8587200,12463800,11655000,9926700,2220300,6531000
1994-01-04,0,0.0002,241.15533,230,0.002911304,0,102593.56,6.4,277.11578,278.69946,280.01486,276.33618,339.86365,249.53314,52,11890500,10844100,8587200,12463800,11655000,9926700,2220300,6531000,8094300
1994-01-05,0,0.0022,249.31166,230,0.003380609,0,101173.98,9.93278,283.83197,284.64893,284.67767,274.19986,339.66687,243.66684,51,10844100,8587200,12463800,11655000,9926700,2220300,6531000,8094300,12535500
1994-01-06,0.03,0.0247,273.7251,210,0.0033,0,100596.47,7.8693576,284.29282,285.19543,286.6034,284.64404,378.474,241.11685,46,8587200,12463800,11655000,9926700,2220300,6531000,8094300,12535500,13013100
1994-01-07,0,0.0002,213.80075,240,0.00084,0,103028.74,4.4861093,269.52057,269.59485,272.7594,268.27612,307.82263,234.15549,54,12463800,11655000,9926700,2220300,6531000,8094300,12535500,13013100,9973800
1994-01-08,0,0.0004,220,240,0.00185,0,102697.34,5.1387,274.25482,277.10635,278.6805,269.55237,319.50604,233.75105,54,11655000,9926700,2220300,6531000,8094300,12535500,13013100,9973800,1233900
1994-01-09,0,0.005,232.33179,240,0.00342,0,102265.484,7.2061396,281.79898,281.25473,281.20334,273.15665,331.52893,241.73051,53,9926700,2220300,6531000,8094300,12535500,13013100,9973800,1233900,13251900
1994-01-10,0.17,0.1755,352,30,0.00754,0.64,101826.75,17.478306,283.89874,284.9056,284.96567,280.9335,360.01392,242.17355,5,2220300,6531000,8094300,12535500,13013100,9973800,1233900,13251900,13264800
