Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0003,251,200,0.00377,0,101949.26,9.5,278.337,278.54205,284.73447,278.05383,349.2113,248.60043,47,10527300,3747300,6707100,9497100,8821500,4602600,11613600,11374800,9069300
1994-01-02,0.12,0.118,295,130,0.00371,0,101230.16,11.6,279.7922,281.22946,285.7315,277.33658,348.92477,214.74734,23,3747300,6707100,9497100,8821500,4602600,11613600,11374800,9069300,9478200
1994-01-03,0,0.0016,214.44876,210,0.002290001,0,102046.08,6,275.29474,275.9337,276.03583,268.85342,313.51062,234.13315,48,6707100,9497100,8821500,4602600,11613600,11374800,9069300,9478200,3377700
1994-01-04,0,0.0003,232.01898,210,0.00259,0,102614.51,5.8,273.41864,274.453,278.49673,272.2462,331.61664,242.86113,48,9497100,8821500,4602600,11613600,11374800,9069300,9478200,3377700,3614700
1994-01-05,0,0.0043,248.397,200,0.00305,0,100527.47,10.400098,285.26862,283.89996,283.94083,274.4732,337.7795,235.45581,46,8821500,4602600,11613600,11374800,9069300,9478200,3377700,3614700,10105500
1994-01-06,0.01,0.0118,254.11719,200,0.00297,0,101049.48,9.291034,276.4865,276.84512,278.4875,274.98398,342.03162,245.68304,45,4602600,11613600,11374800,9069300,9478200,3377700,3614700,10105500,10610700
1994-01-07,0,0.0007,203,210,0.00094,0,103167.62,4.359992,265.52057,266.646,269.36133,263.82382,289.23505,220.56628,49,11613600,11374800,9069300,9478200,3377700,3614700,10105500,10610700,11261400
1994-01-08,0,0.0003,220.03796,210,0.001907556,0,102625.75,6.827294,270.2126,271.97412,276.45074,266.65866,309.13934,222,47,11374800,9069300,9478200,3377700,3614700,10105500,10610700,11261400,1354200
1994-01-09,0.02,0.017,231.33179,200,0.0024,0,102012.89,7.3,277.3461,278.40686,278.40335,269.63815,315.63785,221.22093,42,9069300,9478200,3377700,3614700,10105500,10610700,11261400,1354200,9349800
1994-01-10,0.02,0.0204,278.61526,180,0.00455,0.01,101789.31,10.265136,279.72235,280.44287,282.99493,279.6823,354.79956,241.32875,37,9478200,3377700,3614700,10105500,10610700,11261400,1354200,9349800,12344100
1994-01-11,0,0.0009,248.52567,190,0.0039,0,102785.23,8.479191,275.227,275.5338,279.206,274.0799,333.73553,237.01187,42,3377700,3614700,10105500,10610700,11261400,1354200,9349800,12344100,12036900
1994-01-12,0.02,0.0179,244.88281,210,0.00431,0,102278.4,8.880842,275.75928,277.61612,281.56693,272.88016,335.08643,236.94427,46,3614700,10105500,10610700,11261400,1354200,9349800,12344100,12036900,3200100
1994-01-13,0,0.0007,254,210,0.00322,0,102045.07,9.234728,277.86047,280.2213,284.60275,275.25256,341.7325,233.33325,46,10105500,10610700,11261400,1354200,9349800,12344100,12036900,3200100,11334000
1994-01-14,0,0.0017,245.30034,210,0.00294,0,102297.74,9.8578005,276.5799,276.8212,280.49057,273.9507,335.99734,239.40852,47,10610700,11261400,1354200,9349800,12344100,12036900,3200100,11334000,9208200
1994-01-15,0,0.0012,217.15512,210,0.00138,0,103283.7,8.468636,268.39514,269.44833,270.42398,265.86804,297.409,228.0163,48,11261400,1354200,9349800,12344100,12036900,3200100,11334000,9208200,8940600
1994-01-16,0.3,0.297,312.7935,30,0.003524365,0.83,101510.04,14.6,274.07086,275.20642,276.52472,271.66797,320.4084,184.20023,5,1354200,9349800,12344100,12036900,3200100,11334000,9208200,8940600,4371000
1994-01-17,0,0.0022,220,220,0.00126,0,102975.34,7.415053,266.74173,268.1484,270.43143,264.62015,290.48657,219.3274,51,9349800,12344100,12036900,3200100,11334000,9208200,8940600,4371000,3473700
1994-01-18,0,0.0009,202,220,0.00088,0,103911.47,7.7,264.46994,265.29846,265.26202,261.26224,280,215.54172,49,12344100,12036900,3200100,11334000,9208200,8940600,4371000,3473700,9642000
1994-01-19,0,0.0002,220,220,0.00194,0,102405.66,8.344728,272.5329,275.2707,275.98453,264.35898,298.60016,230.33353,50,12036900,3200100,11334000,9208200,8940600,4371000,3473700,9642000,11947200
1994-01-20,0,0.0039,231.47433,200,0.00205,0,103697.71,8.644728,268.80585,270.16107,272.1767,267.1843,302.5573,235.65579,41,3200100,11334000,9208200,8940600,4371000,3473700,9642000,11947200,7809900
1994-01-21,0.01,0.0095,249.47433,200,0.00315001,0,103744.71,11.927545,274.1801,276.41806,277.23126,266.2895,313.0021,236.53554,44,11334000,9208200,8940600,4371000,3473700,9642000,11947200,7809900,12603300
1994-01-22,0.02,0.015,279,200,0.00542,0,102764.88,20.200005,281.0356,282.8414,283.6634,274.7848,342.40765,224.6589,42,9208200,8940600,4371000,3473700,9642000,11947200,7809900,12603300,7021500
1994-01-23,0,0.0031,276.50665,220,0.00543,0,102104.71,8.9,280.2802,283.19324,284.8686,276.5554,350.61554,261.27032,49,8940600,4371000,3473700,9642000,11947200,7809900,12603300,7021500,14216400
1994-01-24,0.04,0.0409,314.13327,130,0.00718,0,101512.32,14.8,285.63086,286.34772,286.39984,280.94528,365.46686,241.74446,24,4371000,3473700,9642000,11947200,7809900,12603300,7021500,14216400,11881500
1994-01-25,0.01,0.004,271.56354,230,0.00515,0,101489.9,9,282.54614,284.76404,286.75266,280.339,362.68976,256,51,3473700,9642000,11947200,7809900,12603300,7021500,14216400,11881500,14632200
1994-01-26,0.01,0.0109,310.1172,220,0.00308,0.76,100450.38,8.582116,285.39514,286.48062,287.5015,283.7466,379.7669,260.83624,47,9642000,11947200,7809900,12603300,7021500,14216400,11881500,14632200,12139800
1994-01-27,0.01,0.0144,242,200,0.00221,0,101388.34,6.9658566,274.84216,275.98975,277.3593,271.99054,326.02808,237.55035,39,11947200,7809900,12603300,7021500,14216400,11881500,14632200,12139800,14095800
1994-01-28,0,0.0014,218,240,0.002272344,0,102239.85,5.9480257,271.51413,273.46033,276.7757,269.2811,315.6662,235.71283,54,7809900,12603300,7021500,14216400,11881500,14632200,12139800,14095800,14692800
1994-01-29,0.02,0.0238,239,220,0.002883515,0,102241.38,7.6,273.58936,273.94986,278.26425,269.2416,323.67316,214.20534,48,12603300,7021500,14216400,11881500,14632200,12139800,14095800,14692800,14086800
1994-01-30,0.33,0.3305,266,110,0.00221,0.73,103028.35,7.789237,270.55508,270.99173,271.83392,268.97577,305.76083,169.93741,26,7021500,14216400,11881500,14632200,12139800,14095800,14692800,14086800,6441000
1994-01-31,0,0.0013,186,250,0.0012,0,103712.66,3.3812792,265.66135,268.4613,270.79492,261.34036,288.0103,218,61,14216400,11881500,14632200,12139800,14095800,14692800,14086800,6441000,2084400
1994-02-01,0.01,0.0088,207,240,0.00159,0,102768.93,4.3,272.5949,274.5432,276.63138,264.4253,303.0225,217.55087,54,11881500,14632200,12139800,14095800,14692800,14086800,6441000,2084400,15139200
1994-02-02,0,0.0022,212.01898,260,0.00185,0,102462.48,4.8203244,271.834,274.79172,278.3831,265.9833,311.26038,230.27927,57,14632200,12139800,14095800,14692800,14086800,6441000,2084400,15139200,15696900
1994-02-03,0.02,0.0164,243,230,0.003,0,102051.39,8.801898,278.4,280.556,281.20447,270.61444,326.34448,215.99963,46,12139800,14095800,14692800,14086800,6441000,2084400,15139200,15696900,11177700
1994-02-04,0,0.0022,245,250,0.00284,0,102112.54,9.244551,274.42926,276.25604,278.06064,272.3977,324.08722,233.12445,55,14095800,14692800,14086800,6441000,2084400,15139200,15696900,11177700,13559100
1994-02-05,0,0.0007,241.52567,260,0.002960053,0,101984.88,6.700826,275.09323,274.61563,279.966,271.978,332.31335,241.07706,57,14692800,14086800,6441000,2084400,15139200,15696900,11177700,13559100,16646400
1994-02-06,0,0.0005,243,260,0.00361813,0,101684.25,7.7,277.21927,278.0844,282.81686,274.445,342.69366,250.00845,58,14086800,6441000,2084400,15139200,15696900,11177700,13559100,16646400,13160700
1994-02-07,0.05,0.0558,266.3238,230,0.00406,0,101660.16,10.5,280.4995,281.16904,283.75195,276.53336,349.1253,198.05783,47,6441000,2084400,15139200,15696900,11177700,13559100,16646400,13160700,16332600
1994-02-08,0.2,0.1969,289,190,0.00315,0,100867.61,17.3,280.183,279.91953,279.9,268.2265,327,170.00146,33,2084400,15139200,15696900,11177700,13559100,16646400,13160700,16332600,15507600
1994-02-09,0,0.0027,216,270,0.00072,0,102770.55,6.561123,264.90216,264.28864,264.7543,260.26453,272.80338,219.67189,87,15139200,15696900,11177700,13559100,16646400,13160700,16332600,15507600,12070800
1994-02-10,0,0.0012,204.14255,280,0.000802071,0,102507.96,4.7707815,270.1216,271.25198,271.22614,259.74594,294.84488,234.83017,62,15696900,11177700,13559100,16646400,13160700,16332600,15507600,12070800,8622600
1994-02-11,0.01,0.0099,229,270,0.002220043,0,101790.89,9.064438,277.81915,278.74817,278.72406,266.34445,313.84488,223.53305,57,11177700,13559100,16646400,13160700,16332600,15507600,12070800,8622600,8367900
1994-02-12,0,1.00E-04,241,280,0.0025,0,102319.95,7.2,276.65845,277.74542,278.8115,275.91464,331.7091,249.33344,61,13559100,16646400,13160700,16332600,15507600,12070800,8622600,8367900,3385800
1994-02-13,0,0.0002,213,300,0.00192,0,103707.38,2.9,278.1257,280.66113,280.71747,269.00153,328.3298,248.0868,66,16646400,13160700,16332600,15507600,12070800,8622600,8367900,3385800,2831700
1994-02-14,0.04,0.04,232.3381,282,0.00183,0,102383.39,3.0778437,281.64038,283.81824,285.37033,275.10287,345,222.83124,61,13160700,16332600,15507600,12070800,8622600,8367900,3385800,2831700,3819300
1994-02-15,0,0.0007,257.46542,291,0.00311,0,102807.21,7.2,280.7785,282.96875,284.39767,275.70016,349.221,242.52481,63,16332600,15507600,12070800,8622600,8367900,3385800,2831700,3819300,14853300
1994-02-16,0,0.0006,257,300,0.0047,0,102684.34,7.5,285.32468,287.39102,288.4666,277.29218,361.39673,261.55927,64,15507600,12070800,8622600,8367900,3385800,2831700,3819300,14853300,16907400
1994-02-17,0.01,0.0156,278,290,0.00622,0,101974.36,11.39112,288.70367,290.31946,290.80304,280.7925,376.05695,245.68608,61,12070800,8622600,8367900,3385800,2831700,3819300,14853300,16907400,18344700
1994-02-18,0.05,0.0492,325,210,0.0061,0,100918.14,19.215511,288.23956,288.72977,289.36407,284.78223,382.13287,238.79979,43,8622600,8367900,3385800,2831700,3819300,14853300,16907400,18344700,18248100
1994-02-19,0.18,0.1811,337.47433,150,0.00637,0.01,100706.41,16.650665,288.27667,290.50076,291.52917,286.31845,393.6619,160.6977,24,8367900,3385800,2831700,3819300,14853300,16907400,18344700,18248100,16351200
1994-02-20,0,0.0017,259.3381,310,0.0031,0,101614.05,6.7925363,284.43546,285.24756,290.00986,280.4967,375.5973,255,67,3385800,2831700,3819300,14853300,16907400,18344700,18248100,16351200,1725000
1994-02-21,0.23,0.2272,256,250,0.00355,0,102320.28,10.5,281.07065,281.6286,281.6163,273.58157,341.4017,182.79956,45,2831700,3819300,14853300,16907400,18344700,18248100,16351200,1725000,5679600
1994-02-22,0.21,0.2109,333,131,0.00587,1.57,100681.21,16.419405,280.3721,280.04285,282.52765,278.8203,353.42892,199.89163,22,3819300,14853300,16907400,18344700,18248100,16351200,1725000,5679600,18451800
1994-02-23,0,0.0012,215.29126,322,0.00214,0,102116.38,5.044502,272.7681,272.47507,272.41687,267.7537,305.26886,228.19193,99,14853300,16907400,18344700,18248100,16351200,1725000,5679600,18451800,18519600
1994-02-24,0,0.0021,228.52567,326,0.00308,0,101282.04,6.99863,282.00513,283.2544,283.32812,270.15878,331.25333,235.00577,70,16907400,18344700,18248100,16351200,1725000,5679600,18451800,18519600,18861900
1994-02-25,0,0.0003,235.52567,324,0.00121,0.01,102705.13,9.1,273.28278,273.47836,276.13397,272.91345,338.90076,243.49512,69,18344700,18248100,16351200,1725000,5679600,18451800,18519600,18861900,18756300
1994-02-26,0,0.0003,214.47433,332,0.001144743,0,103389.7,7.7,273.33054,272.23752,272.27948,265.91058,310,232.86345,71,18248100,16351200,1725000,5679600,18451800,18519600,18861900,18756300,16550400
1994-02-27,0.01,0.0124,251.423,289,0.00239,0,102353.71,11.29978,277.6031,279.03015,279.47626,268.6012,325.01898,229.01508,56,16351200,1725000,5679600,18451800,18519600,18861900,18756300,16550400,10122600
1994-02-28,0.32,0.3249,340,74,0.00674,1.13,101426.98,19.83037,281.24915,281.71555,283.1091,277.5281,349.47433,185.3469,12,1725000,5679600,18451800,18519600,18861900,18756300,16550400,10122600,2391300
1994-03-01,0.12,0.1128,304,166,0.003976845,0.75,102232.6,14,277.68933,276.9892,277.82016,274.92346,331,182.0348,39,5679600,18451800,18519600,18861900,18756300,16550400,10122600,2391300,19078200
1994-03-02,0,0.0004,251.01898,338,0.0051,0,102424.18,9,281.5888,283.33115,283.37335,272.00714,340.6762,250.97214,71,18451800,18519600,18861900,18756300,16550400,10122600,2391300,19078200,20671500
1994-03-03,0,0.0004,275,346,0.00602,0,101995.48,11.2,288.6182,290.87552,291.78543,278.73517,371.75998,262.59464,72,18519600,18861900,18756300,16550400,10122600,2391300,19078200,20671500,18978300
1994-03-04,0,1.00E-04,277,356,0.0049,0,101378.28,9.2193775,289.3524,291.27905,292.84232,283.43903,391.0078,269.08453,75,18861900,18756300,16550400,10122600,2391300,19078200,20671500,18978300,12568200
1994-03-05,0,0.0009,293,352,0.00793,0,101328.69,13.1,291.23517,292.86896,294.01276,282.9901,395.4352,268.95673,73,18756300,16550400,10122600,2391300,19078200,20671500,18978300,12568200,21328500
1994-03-06,0.08,0.0751,362,151,0.01028,0.06,101205.25,21.662125,291.7326,291.16846,291.16763,285.53577,396,244.00104,26,16550400,10122600,2391300,19078200,20671500,18978300,12568200,21328500,20226300
