Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0013,261.03827,220,0.00336,0,101989.74,8.6,280.1507,281.05185,287.06747,280.75497,362,255.97485,51,10946100,10695300,11689500,11934600,10136400,6833700,11818200,12096000,11684700
1994-01-02,0,0.0003,260.19702,210,0.00299,0,101313.04,10.2,282.4783,284.40945,289.03152,279.35657,357.92477,253.53503,49,10695300,11689500,11934600,10136400,6833700,11818200,12096000,11684700,9015300
1994-01-03,0,0.0003,231.6105,220,0.002775107,0,102099.58,6.2,279.2167,280.9337,280.93582,274.66104,340.07877,246.00128,52,11689500,11934600,10136400,6833700,11818200,12096000,11684700,9015300,12064500
1994-01-04,0,1.00E-04,244.00957,220,0.002688302,0,102601.99,4.9,277.7158,279.46637,281.88702,277.20358,345.66492,250.52911,53,11934600,10136400,6833700,11818200,12096000,11684700,9015300,12064500,11660700
1994-01-05,0,0.0038,257.397,220,0.003170001,0,100816.11,8.767253,287.46683,288.95938,288.94083,277.95477,355.7795,252.18672,51,10136400,6833700,11818200,12096000,11684700,9015300,12064500,11660700,12258600
1994-01-06,0,0.0022,272.09375,210,0.00338,0,100742.02,8.769358,285.3206,286.17914,287.3326,286.04642,384.36597,257.25302,49,6833700,11818200,12096000,11684700,9015300,12064500,11660700,12258600,12153000
1994-01-07,0,0.0002,221.12039,220,0.00129,0,103048.45,5.564927,269.5253,271.22598,272.87537,267.94766,307.06714,231.2134,54,11818200,12096000,11684700,9015300,12064500,11660700,12258600,12153000,10913400
1994-01-08,0,0.0007,222.35153,220,0.00178,0,102441.57,4.7802634,273.3414,275.50412,280.38052,271.24237,327.56335,231.07697,52,12096000,11684700,9015300,12064500,11660700,12258600,12153000,10913400,1277100
1994-01-09,0,0.004,235.33179,220,0.00226,0,101871.086,6.4061394,281.4461,282.95685,282.99905,273.7305,335.58002,241.80829,52,11684700,9015300,12064500,11660700,12258600,12153000,10913400,1277100,12542400
1994-01-10,0,0.0036,280.5726,210,0.00476,0.01,101700.14,9.289803,281.57498,282.85062,285.33984,281.64117,367.73526,254.36006,46,9015300,12064500,11660700,12258600,12153000,10913400,1277100,12542400,12502500
1994-01-11,0,0.0004,260,220,0.004,0,102602.35,7.979191,278.15634,279.07718,283.10602,277.63,350.55145,249.01187,50,12064500,11660700,12258600,12153000,10913400,1277100,12542400,12502500,5879400
1994-01-12,0,0.002,256.1172,220,0.00455,0,102165.44,8.628886,278.8809,281.05515,284.6988,277.15018,354.76562,234.90892,51,11660700,12258600,12153000,10913400,1277100,12542400,12502500,5879400,3664500
1994-01-13,0,0.0004,251.19702,220,0.00315,0,102121.84,7.7,281.26776,283.95993,286.07956,276.59534,349.7325,245,51,12258600,12153000,10913400,1277100,12542400,12502500,5879400,3664500,4558200
1994-01-14,0,1.00E-04,254,230,0.00263,0,102120.836,7.4,281.10712,283.5321,288.03336,278.94003,359.99734,254.04315,52,12153000,10913400,1277100,12542400,12502500,5879400,3664500,4558200,1187400
1994-01-15,0.02,0.0165,234.94867,220,0.001683238,0,102852.17,7.9474335,274.19513,275.00864,276.37308,271.96643,321.49335,229.08344,49,10913400,1277100,12542400,12502500,5879400,3664500,4558200,1187400,4020300
1994-01-16,0.12,0.1155,333,70,0.005504365,0.4,101118.734,18.4,281.7416,282.8033,287.0135,276.87735,350.1082,206.04994,12,1277100,12542400,12502500,5879400,3664500,4558200,1187400,4020300,2740800
1994-01-17,0,0.0003,229.15512,230,0.00206,0,102862.22,6.515053,274.2185,274.63235,275.299,271.1618,322.48657,236.6833,53,12542400,12502500,5879400,3664500,4558200,1187400,4020300,2740800,10887600
1994-01-18,0,1.00E-04,210,230,0.00112,0,103649.95,7.2,268.65237,268.49847,268.88293,264.24966,293.38034,228.60788,53,12502500,5879400,3664500,4558200,1187400,4020300,2740800,10887600,7609200
1994-01-19,0,0.0009,226,230,0.00248,0,102614.8,8.244728,277.5197,277.57907,277.58453,267.16052,311.8284,241.37808,53,5879400,3664500,4558200,1187400,4020300,2740800,10887600,7609200,10558800
1994-01-20,0.18,0.1738,316.13528,50,0.003564553,0.27,103375.48,11.944728,277.20587,275.98358,277.5232,275.35248,333.26437,253.85577,9,3664500,4558200,1187400,4020300,2740800,10887600,7609200,10558800,11814000
1994-01-21,0.09,0.0866,309.5605,80,0.00363,0.14,103802.66,17.468884,277.42755,275.9488,275.95746,273.52304,328.0021,242.28918,14,4558200,1187400,4020300,2740800,10887600,7609200,10558800,11814000,9275700
1994-01-22,0.06,0.0621,315,130,0.005512585,0.73,102975.54,20.65834,280.69308,282.2254,282.5003,276.73944,347.07178,209.16176,26,1187400,4020300,2740800,10887600,7609200,10558800,11814000,9275700,3029700
1994-01-23,0,0.0012,278.40033,230,0.00622,0,102222.58,10.762345,282.94467,285.92038,286.1294,277.50357,355.2684,255.87376,51,4020300,2740800,10887600,7609200,10558800,11814000,9275700,3029700,14615700
1994-01-24,0.04,0.0394,306.81342,200,0.007540888,0,101629.02,17.4,287.88187,288.38574,288.36212,281.16306,373.00165,227.81119,41,2740800,10887600,7609200,10558800,11814000,9275700,3029700,14615700,14381700
1994-01-25,0.03,0.0284,285.49066,210,0.005323991,0,101489.86,10.9,285.25702,288.08524,289.99097,282.95425,381.35934,226.76929,46,10887600,7609200,10558800,11814000,9275700,3029700,14615700,14381700,14948700
1994-01-26,0.07,0.0722,298.62665,190,0.00221,0,100842.83,5.7027993,285.84857,288.04535,288.70148,285.28326,377.5281,199.21536,38,7609200,10558800,11814000,9275700,3029700,14615700,14381700,14948700,13915500
