Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0015,258.01898,220,0.00408,0,101894.82,8.9,277.41327,277.7053,282.49106,276.67804,342.12677,250,47,10498800,4390200,2130300,3540900,6040500,5076900,11395500,11116200,8984700
1994-01-02,0.26,0.2588,291,110,0.00436,0.01,101287.03,13,277.9293,279.5166,280.8315,274.46246,335.1409,202.9636,17,4390200,2130300,3540900,6040500,5076900,11395500,11116200,8984700,2588700
1994-01-03,0.03,0.0313,260.9363,180,0.0029,0.02,101933.78,8.1,271.43427,272.2964,274.3668,269.56897,310.51062,210.83493,77,2130300,3540900,6040500,5076900,11395500,11116200,8984700,2588700,5093400
1994-01-04,0.01,0.0123,248.04082,190,0.00293,0,102440.62,7.0613184,273.79813,272.91098,276.43463,271.79764,323.8536,235.10666,40,3540900,6040500,5076900,11395500,11116200,8984700,2588700,5093400,2738700
1994-01-05,0.01,0.0066,241.25333,220,0.003500609,0,101153.19,11.243423,277.56445,279.6535,280.45947,271.2877,325.12225,230.5664,45,6040500,5076900,11395500,11116200,8984700,2588700,5093400,2738700,7652700
1994-01-06,0.01,0.0054,260.38348,220,0.00421,0,100569.75,9.791034,277.79282,277.99542,280.50354,275.80118,341.474,251.21678,46,5076900,11395500,11116200,8984700,2588700,5093400,2738700,7652700,6731400
1994-01-07,0,0.001,196.52567,230,0.00072,0,103016.26,3.6,266.72528,267.31454,268.63263,263.74277,289.96045,223.2134,52,11395500,11116200,8984700,2588700,5093400,2738700,7652700,6731400,7963800
1994-01-08,0,0.0004,215.03796,230,0.00114,0,102845.82,6.8416166,269.771,270.3288,275.0537,266.18884,305.50604,223.86642,53,11116200,8984700,2588700,5093400,2738700,7652700,6731400,7963800,581100
1994-01-09,0.02,0.0168,230.45566,220,0.00247,0,102536.29,7.4,273.83392,275.83298,278.26904,270.3945,317.9512,215.53885,50,8984700,2588700,5093400,2738700,7652700,6731400,7963800,581100,11308800
1994-01-10,0.29,0.2896,323.61526,50,0.00453,0.8,102107.12,16.657932,277.18124,277.75317,277.7702,275.12628,327.73526,224.46823,8,2588700,5093400,2738700,7652700,6731400,7963800,581100,11308800,7032600
1994-01-11,0.1,0.0958,320,120,0.00551,0.13,102485.44,13.679191,279.12698,279.45825,281.36963,278.42212,348.83844,206.03662,21,5093400,2738700,7652700,6731400,7963800,581100,11308800,7032600,8480700
1994-01-12,0.04,0.0361,289,110,0.00513,0.01,102325.2,9.680841,279.13947,278.779,280.5988,274.70932,342.16766,241.3197,18,2738700,7652700,6731400,7963800,581100,11308800,7032600,8480700,4774500
1994-01-13,0.01,0.0142,268.39404,180,0.00394,0.03,101816.516,10.086621,277.4892,279.03134,281.70276,274.1802,338.48834,218.52562,33,7652700,6731400,7963800,581100,11308800,7032600,8480700,4774500,11661900
1994-01-14,0,0.0028,250.16422,120,0.002190552,0.03,102502.305,10.376665,273.12515,270.90616,272.47748,269.88736,314.99734,222.71921,23,6731400,7963800,581100,11308800,7032600,8480700,4774500,11661900,6478200
1994-01-15,0,0.0003,217,220,0.001153164,0,103338.17,9.468636,268.20197,268.05215,269.00003,265.4221,298.0133,223.00027,52,7963800,581100,11308800,7032600,8480700,4774500,11661900,6478200,2463900
1994-01-16,0.68,0.6781,306,30,0.003110883,4.2,101873.56,18.5,273.5611,272.3959,272.7224,268.3831,306.1082,186.21439,11,581100,11308800,7032600,8480700,4774500,11661900,6478200,2463900,1921500
1994-01-17,0,0.0013,203,240,0.00137,0,103011.09,5.623119,263.77597,263.73376,265.82794,263.43347,288.02716,218.66711,102,11308800,7032600,8480700,4774500,11661900,6478200,2463900,1921500,6639000
1994-01-18,0,0.0003,199,240,0.00076,0,103863.58,7.4311867,262.51352,262.60925,263.26202,260.89206,274.21606,210.54172,77,7032600,8480700,4774500,11661900,6478200,2463900,1921500,6639000,4108800
1994-01-19,0,1.00E-04,212,240,0.00132,0,102912.6,8.617886,269.13287,270.6879,270.6845,263.05054,287.8284,225.43607,73,8480700,4774500,11661900,6478200,2463900,1921500,6639000,4108800,4555200
1994-01-20,0,1.00E-04,232.3381,240,0.002358518,0,103567.15,10.974199,271.90585,271.57333,275.53198,268.26395,312.00302,233.99742,66,4774500,11661900,6478200,2463900,1921500,6639000,4108800,4555200,8324400
1994-01-21,0,0.0003,231,240,0.002700609,0,103856.45,10.968883,272.23312,273.7799,275.80142,268.34473,315.5497,237.53064,63,11661900,6478200,2463900,1921500,6639000,4108800,4555200,8324400,12129900
1994-01-22,0.04,0.0448,287,190,0.00468901,0.11,103047.37,21.563852,276.23563,277.69806,279.86337,272.98944,331.10522,214.83202,43,6478200,2463900,1921500,6639000,4108800,4555200,8324400,12129900,11261100
1994-01-23,0.08,0.0818,327.3895,80,0.00582,0.13,102316.73,13,279.37955,280.97095,281.85263,278.65775,347.61554,254.21785,13,2463900,1921500,6639000,4108800,4555200,8324400,12129900,11261100,13237500
1994-01-24,0.11,0.1092,345.81342,120,0.008154584,0.3,101841.58,18.792479,284.572,285.39032,286.33133,281.773,365.46686,250.73053,19,1921500,6639000,4108800,4555200,8324400,12129900,11261100,13237500,11497500
1994-01-25,0.03,0.0249,328,220,0.00814,0.2,101442.91,12.6,285.8308,286.67633,288.45447,285.40482,387.19904,267.53897,43,6639000,4108800,4555200,8324400,12129900,11261100,13237500,11497500,14172000
1994-01-26,0.09,0.093,353.61392,80,0.008538377,2.98,100777.8,21.032732,287.09515,287.52234,290.0998,285.05777,385.8605,227.09128,14,4108800,4555200,8324400,12129900,11261100,13237500,11497500,14172000,12797400
1994-01-27,0.05,0.0528,260,220,0.003475871,0,101085.38,9.6,277.0111,277.51102,280.36896,276.39053,344.41006,197.72534,41,4555200,8324400,12129900,11261100,13237500,11497500,14172000,12797400,7587900
1994-01-28,0.01,0.0135,217,260,0.002091364,0,102006.92,6,272.3139,273.7455,274.97568,269.38678,317.6662,235.18976,53,8324400,12129900,11261100,13237500,11497500,14172000,12797400,7587900,14153100
1994-01-29,0.14,0.1395,253.57262,160,0.002578828,0,102297.38,7.6,274.4062,273.01224,276.1678,269.96286,322.67316,177.2157,25,12129900,11261100,13237500,11497500,14172000,12797400,7587900,14153100,13826400
1994-01-30,0.03,0.0307,221.6619,240,0.00194,0,102878.41,5.9439874,272.0312,271.7267,274.23114,268.97647,314.01416,212.42923,49,11261100,13237500,11497500,14172000,12797400,7587900,14153100,13826400,7596600
1994-01-31,0,0.0005,196,270,0.00107,0,103481.27,3,267.7031,268.4013,269.27966,264.6144,297,222.19638,58,13237500,11497500,14172000,12797400,7587900,14153100,13826400,7596600,1760700
1994-02-01,0.02,0.0257,200.6619,270,0.00142,0,102872.77,4.100019,271.88678,273.85516,274.36368,265.54343,304,219.01945,56,11497500,14172000,12797400,7587900,14153100,13826400,7596600,1760700,7419000
1994-02-02,0,0.0002,205,280,0.002,0,102570.38,4.7203245,271.5479,274.54678,276.21024,267.33664,313.18796,232.08617,58,14172000,12797400,7587900,14153100,13826400,7596600,1760700,7419000,12685800
1994-02-03,0.02,0.0174,236,260,0.00267,0,102444.72,7,274.99863,277.776,280.8313,270.12445,327,220.49693,53,12797400,7587900,14153100,13826400,7596600,1760700,7419000,12685800,13604100
1994-02-04,0.05,0.0473,316,140,0.004872113,0.16,101817.07,11.6,277.6301,278.68497,279.9899,276.21887,341,239,24,7587900,14153100,13826400,7596600,1760700,7419000,12685800,13604100,3223200
