Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0051,292,220,0.00501,0.02,101898.67,9.3,281.20953,280.8653,285.63446,279.48804,360.07523,258.203,38,11276400,8776200,3318300,9064200,10763700,5135700,11787000,11909400,10327200
1994-01-02,0.01,0.01,256,230,0.00487,0,101342.64,12.4,279.43,281.29944,283.94797,275.94034,346.1409,243.3216,41,8776200,3318300,9064200,10763700,5135700,11787000,11909400,10327200,2458800
1994-01-03,0.01,0.0122,247.25851,230,0.00322,0,101832.84,7.8,272.13425,273.3679,276.49295,270.82343,320.7302,235.34988,60,3318300,9064200,10763700,5135700,11787000,11909400,10327200,2458800,3644700
1994-01-04,0,0.0005,239.24477,240,0.00328,0,102330.74,8.022894,275.79813,275.4083,279.02405,273.9862,331.78842,243.10666,42,9064200,10763700,5135700,11787000,11909400,10327200,2458800,3644700,7622400
1994-01-05,0,0.0008,243.97852,240,0.003980609,0,101581.77,11.167256,279.66446,281.4235,281.75946,272.3877,331.19724,239.50583,42,10763700,5135700,11787000,11909400,10327200,2458800,3644700,7622400,11413500
1994-01-06,0.03,0.03,289.5684,220,0.0057,0,100424.22,10.252721,283.84344,284.07913,289.28708,283.2512,375.51175,240.03726,38,5135700,11787000,11909400,10327200,2458800,3644700,7622400,11413500,12038400
1994-01-07,0,0.0006,228.70673,250,0.001,0,102779.93,4.2,270.4129,270.93607,274.05185,269.91785,310.88806,229.15549,45,11787000,11909400,10327200,2458800,3644700,7622400,11413500,12038400,11829900
1994-01-08,0,0.0002,219.03796,250,0.00155,0,102893.66,5.724552,272.971,273.86755,277.46002,269.12885,319.99017,232.36676,45,11909400,10327200,2458800,3644700,7622400,11413500,12038400,11829900,562500
1994-01-09,0,0.0028,228.93474,240,0.00317,0,102643.29,6.724408,275.6461,277.27618,279.35345,270.21664,321.9051,237.5944,45,10327200,2458800,3644700,7622400,11413500,12038400,11829900,562500,12565500
1994-01-10,0.48,0.4766,333,20,0.00492,1.3,102236.38,19.719158,278.33475,278.3647,278.32318,276.34656,332.79956,222.14992,3,2458800,3644700,7622400,11413500,12038400,11829900,562500,12565500,12564300
1994-01-11,0.1,0.0983,345.52567,90,0.00707,0.89,102280.94,16.388283,282.3886,282.27542,284.10602,281.68002,362.55145,230.60632,13,3644700,7622400,11413500,12038400,11829900,562500,12565500,12564300,11730600
