Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0022,236,190,0.00233,0,102214.04,7.1,278.37665,281.46216,282.7675,275.34384,339.2113,245.301,50,10116900,9262800,10789800,11816700,9936300,2245200,9877800,11545200,11295300
1994-01-02,0,0.0036,266.9391,180,0.00242,0,101696.14,6.7,280.33383,281.25754,283.7315,278.49246,354.01904,234.45828,45,9262800,10789800,11816700,9936300,2245200,9877800,11545200,11295300,10785000
1994-01-03,0,0.0006,226.03262,190,0.002280816,0,101679.53,6.9,277.02377,280.2964,281.57037,272.3034,327.33432,237.27524,50,10789800,11816700,9936300,2245200,9877800,11545200,11295300,10785000,11424900
1994-01-04,0,0.0003,235.1998,200,0.00194,0,102839.66,4.5,276.32843,278.3056,279.79523,274.09952,329.66492,240.30202,52,11816700,9936300,2245200,9877800,11545200,11295300,10785000,11424900,11794200
1994-01-05,0.05,0.0492,267.1172,170,0.002009972,0,100173.71,7.3,286.56863,290.58368,291.1595,278.93274,358.00043,226.50705,42,9936300,2245200,9877800,11545200,11295300,10785000,11424900,11794200,12149100
1994-01-06,0.08,0.0818,266.7251,110,0.00319,0.08,101231.68,7.70767,277.22784,277.28006,278.4198,276.15662,349.63876,242,27,2245200,9877800,11545200,11295300,10785000,11424900,11794200,12149100,12227700
1994-01-07,0,0.0006,212.15512,190,0.00191,0,103119.62,4.159992,271.56516,272.13672,272.25018,265.30786,301.84018,226.86922,55,9877800,11545200,11295300,10785000,11424900,11794200,12149100,12227700,10290600
1994-01-08,0,0.0005,223.46535,190,0.00169,0,102407.73,5.2,273.8548,276.78757,278.0907,272.19867,321.1556,225.60028,51,11545200,11295300,10785000,11424900,11794200,12149100,12227700,10290600,9792900
1994-01-09,0,0.0024,225.02618,190,0.00195,0,101398.766,5.218269,277.09897,279.2883,279.25348,271.57703,322.56183,223.23781,50,11295300,10785000,11424900,11794200,12149100,12227700,10290600,9792900,11738100
1994-01-10,0.02,0.0231,242,180,0.00329,0,101918.94,7.919158,277.06204,279.42532,280.86566,273.517,331.68976,233.03745,43,10785000,11424900,11794200,12149100,12227700,10290600,9792900,11738100,12724200
1994-01-11,0,0.0008,233.52567,200,0.00337922,0,102565.48,6,277.6577,280.14383,280.24878,272.02985,328.44342,244.0664,50,11424900,11794200,12149100,12227700,10290600,9792900,11738100,12724200,13184700
1994-01-12,0.02,0.0175,230.11719,190,0.0027,0,102194.09,7.080842,276.21494,278.83362,280.2397,273.41016,328.76562,228.54172,46,11794200,12149100,12227700,10290600,9792900,11738100,12724200,13184700,10210500
1994-01-13,0,0.0003,233.35153,200,0.002500609,0,102285.87,6.532854,276.5605,279.82614,282.4977,273.8793,332.7325,238.00403,50,12149100,12227700,10290600,9792900,11738100,12724200,13184700,10210500,11169300
