Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0022,259.03827,210,0.00382,0,102018.19,9.2,278.68875,279.3353,284.13446,278.72824,351.2113,251.05527,48,11235600,4707600,5629800,5654400,9718500,5739900,12322200,12009000,9984300
1994-01-02,0.17,0.1699,300.20193,120,0.00385,0.01,101242.45,12.710804,280.30264,281.30948,283.03152,276.92462,345.92477,211.71367,19,4707600,5629800,5654400,9718500,5739900,12322200,12009000,9984300,3854400
1994-01-03,0.01,0.0065,215.04442,210,0.001950001,0,102062.24,5.9,272.9869,274.60004,274.6358,268.4546,312.33432,232.26709,52,5629800,5654400,9718500,5739900,12322200,12009000,9984300,3854400,3573300
1994-01-04,0.01,0.0082,240.16321,180,0.002671304,0,102543.17,6.6,273.4981,274.253,277.71616,272.45288,323.78842,241.66739,39,5654400,9718500,5739900,12322200,12009000,9984300,3854400,3573300,9181500
1994-01-05,0.01,0.0096,245.97852,210,0.003160609,0,100744.55,11.067266,282.46683,282.8999,282.94083,272.8732,331.93454,236.36389,46,9718500,5739900,12322200,12009000,9984300,3854400,3573300,9181500,11075400
1994-01-06,0.01,0.0091,254.25333,210,0.00298,0,100908.47,9.699706,276.82187,277.67514,279.2204,275.55002,347.03162,248.3584,46,5739900,12322200,12009000,9984300,3854400,3573300,9181500,11075400,10623000
1994-01-07,0,0.0003,203.32034,220,0.00071,0,103069.85,4.1851506,266.0003,266.1161,268.58054,264.2454,291.55365,222.2134,51,12322200,12009000,9984300,3854400,3573300,9181500,11075400,10623000,11873400
1994-01-08,0,0.0004,218.1551,220,0.00155,0,102710.21,6.9583406,269.59808,272.0841,275.76,266.73868,307.11392,221.292,52,12009000,9984300,3854400,3573300,9181500,11075400,10623000,11873400,805500
1994-01-09,0.02,0.0214,231.93474,200,0.0026,0,102210.89,7.4,276.2461,277.75687,277.75348,270.0245,316.37952,203.90968,47,9984300,3854400,3573300,9181500,11075400,10623000,11873400,805500,11514900
1994-01-10,0.1,0.0994,324.0287,50,0.00585,0.13,101740.07,14.278305,280.20267,280.2517,283.4964,278.59628,351.0754,236.54291,8,3854400,3573300,9181500,11075400,10623000,11873400,805500,11514900,11997000
1994-01-11,0.01,0.0099,261.3999,150,0.00421,0,102689.71,9.9,276.32697,276.54425,279.31842,274.9499,335.77878,236.11644,30,3573300,9181500,11075400,10623000,11873400,805500,11514900,11997000,10345800
1994-01-12,0.01,0.0083,252.07782,200,0.004719542,0,102330.25,9.628886,276.62186,277.53363,281.21994,272.20688,336.20886,237,45,9181500,11075400,10623000,11873400,805500,11514900,11997000,10345800,10462800
1994-01-13,0,0.001,265.7881,200,0.00341,0,101962.51,9.3,278.5605,280.72995,284.1597,274.88492,341.29303,233.0033,43,11075400,10623000,11873400,805500,11514900,11997000,10345800,10462800,12287400
1994-01-14,0,0.0003,239,220,0.00252,0,102409.484,10.5,274.1799,273.83618,276.7906,272.02072,325.45963,234,47,10623000,11873400,805500,11514900,11997000,10345800,10462800,12287400,4236300
1994-01-15,0,0.0002,216.15512,220,0.00129,0,103319.86,8.968636,267.81808,268.35864,269.7626,266.0521,298.9588,226.97183,49,11873400,805500,11514900,11997000,10345800,10462800,12287400,4236300,2634900
1994-01-16,0.32,0.3206,307.21204,40,0.003835334,1.8,101636.95,16.556515,273.53427,274.3564,274.89203,270.90344,315.0665,182.36063,7,805500,11514900,11997000,10345800,10462800,12287400,4236300,2634900,2450100
1994-01-17,0,0.001,214.14136,230,0.001287688,0,103091.92,6.7217393,265.6668,266.46838,269.7414,264.56015,289.48657,220.26044,59,11514900,11997000,10345800,10462800,12287400,4236300,2634900,2450100,5896800
1994-01-18,0,0.0004,207,220,0.00083,0,103889.07,7.743456,264.15237,264.8726,264.8507,261.51788,281.07922,214.84668,50,11997000,10345800,10462800,12287400,4236300,2634900,2450100,5896800,8049000
1994-01-19,0,0.0002,218,230,0.00185,0,102584.7,8.644728,271.51166,274.2809,274.57758,264.16052,297.3074,229.33353,50,10345800,10462800,12287400,4236300,2634900,2450100,5896800,8049000,11982000
1994-01-20,0,0.0021,229.3381,220,0.002215134,0,103664.43,9.5,270.30585,270.98438,273.49872,268.22693,309.3714,235.54996,48,10462800,12287400,4236300,2634900,2450100,5896800,8049000,11982000,10877400
1994-01-21,0,0.0027,251.47433,200,0.003060609,0,103805.516,12.139987,274.01514,276.4191,276.66318,267.4147,317.16473,237.53064,42,12287400,4236300,2634900,2450100,5896800,8049000,11982000,10877400,10470000
1994-01-22,0.02,0.0177,281.3895,190,0.00519,0,102871.92,21.60002,281.0356,282.77243,282.68256,274.65472,341.40765,221.58731,39,4236300,2634900,2450100,5896800,8049000,11982000,10877400,10470000,7093800
1994-01-23,0,0.0047,285.49637,180,0.00556,0.02,102195.83,9.6,280.16827,282.9704,283.39185,278.13538,352.8356,262.85373,34,2634900,2450100,5896800,8049000,11982000,10877400,10470000,7093800,14813400
1994-01-24,0.08,0.0791,341.13327,80,0.007250888,0.1,101662.38,16.1,285.34253,285.56683,285.62906,282.303,365.623,245.74446,12,2450100,5896800,8049000,11982000,10877400,10470000,7093800,14813400,13317600
1994-01-25,0.01,0.0094,295,240,0.006162913,0,101510.06,10.4,283.857,286.0993,287.25266,281.66898,369.53464,259.60025,52,5896800,8049000,11982000,10877400,10470000,7093800,14813400,13317600,14920200
1994-01-26,0.07,0.0698,339.20392,180,0.00412,2.25,100552.2,6.3821163,286.78552,286.9758,290.074,284.05878,386.6765,250.21536,36,8049000,11982000,10877400,10470000,7093800,14813400,13317600,14920200,13560000
1994-01-27,0.04,0.036,252.56354,190,0.00232,0,101291.57,6.9,275.7995,277.00208,278.1618,273.4441,332.3428,192.39255,36,11982000,10877400,10470000,7093800,14813400,13317600,14920200,13560000,13581300
1994-01-28,0,0.0007,219,250,0.002241819,0,102136.79,5.9,272.09967,274.24033,276.0973,269.09286,316.95746,233.6833,55,10877400,10470000,7093800,14813400,13317600,14920200,13560000,13581300,14671200
1994-01-29,0.04,0.0367,250,190,0.002802628,0,102260.25,7.7,273.9062,274.7448,277.63504,270.09985,325.33966,216.06432,37,10470000,7093800,14813400,13317600,14920200,13560000,13581300,14671200,14040000
1994-01-30,0.11,0.1122,233,220,0.00178,0.01,102973.82,6.9943438,272.55066,272.9947,273.68463,268.93576,315.01416,194.93741,44,7093800,14813400,13317600,14920200,13560000,13581300,14671200,14040000,7449900
1994-01-31,0,0.0007,189.79807,260,0.001100072,0,103675.05,3.3,266.4626,268.7113,270.14966,262.6444,294,220.19638,59,14813400,13317600,14920200,13560000,13581300,14671200,14040000,7449900,1945500
1994-02-01,0.02,0.0178,204,250,0.0015,0,102795.97,4.6033454,273.38202,275.40265,276.1134,265.1667,305,219.52502,55,13317600,14920200,13560000,13581300,14671200,14040000,7449900,1945500,8378700
1994-02-02,0,0.0003,211.01898,260,0.00171,0,102501.9,4.85809,273.0268,276.10092,278.1674,266.68027,314.26038,231.56659,59,14920200,13560000,13581300,14671200,14040000,7449900,1945500,8378700,14680500
1994-02-03,0.02,0.0172,241,240,0.002660141,0,102187.64,8.6,278.5,280.786,281.11447,271.0909,329,219.27773,50,13560000,13581300,14671200,14040000,7449900,1945500,8378700,14680500,13712700
1994-02-04,0,0.0019,252,260,0.00337,0,101893.96,9.84455,275.67377,277.36722,278.35062,274.52902,333.08722,236.27498,56,13581300,14671200,14040000,7449900,1945500,8378700,14680500,13712700,10704300
1994-02-05,0,0.0002,246.0676,260,0.003100053,0,101971.88,6.7118278,276.10156,275.46564,280.20334,273.2626,336.93747,242.42801,59,14671200,14040000,7449900,1945500,8378700,14680500,13712700,10704300,17051400
1994-02-06,0,0.0003,248,270,0.00383,0,101708.88,8.145348,278.0827,279.63193,283.14853,275.20343,348.4835,251.93658,59,14040000,7449900,1945500,8378700,14680500,13712700,10704300,17051400,13209300
1994-02-07,0.05,0.0439,272.3238,240,0.004471827,0,101695.36,11.8,281.3995,282.19904,284.37427,277.72156,354.4176,203.26997,48,7449900,1945500,8378700,14680500,13712700,10704300,17051400,13209300,16043100
1994-02-08,0.1,0.0995,298.52567,180,0.00268,0,101001.01,18.85499,278.78302,277.40762,277.3874,269.35828,330,178.53036,33,1945500,8378700,14680500,13712700,10704300,17051400,13209300,16043100,16328100
1994-02-09,0.02,0.0234,240,254,0.00089,0.1,102749.43,6.5225887,264.70218,264.2976,266.37015,261.11227,279.14044,209.7915,84,8378700,14680500,13712700,10704300,17051400,13209300,16043100,16328100,14553000
