Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0014,256.01898,210,0.00362,0,101934.45,8.9,279.1507,279.4437,286.04013,279.30707,355.52692,253,49,11454300,6162000,8970000,8127300,10583400,5503800,12944700,12434700,11109600
1994-01-02,0.06,0.0579,273,170,0.00362,0,101261.33,11.2,280.48785,281.9503,285.63153,277.99658,349.92477,232.05087,35,6162000,8970000,8127300,10583400,5503800,12944700,12434700,11109600,3357600
1994-01-03,0,0.0002,219.6105,220,0.002383775,0,102085,5.3,275.37683,277.24353,277.2704,270.73343,321.47086,239.21625,50,8970000,8127300,10583400,5503800,12944700,12434700,11109600,3357600,4256700
1994-01-04,0,0.0002,235.15533,220,0.00261,0,102608.28,5.6020064,275.19394,276.453,279.81818,274.1836,338.74017,245.44907,50,8127300,10583400,5503800,12944700,12434700,11109600,3357600,4256700,9880800
1994-01-05,0,0.0054,248.97852,210,0.003,0,100739.95,9.251996,285.47815,284.6999,284.7,274.49384,339.93454,241.10945,48,10583400,5503800,12944700,12434700,11109600,3357600,4256700,9880800,12043800
1994-01-06,0,0.0013,251.18172,220,0.00312,0,100879.19,9.0563545,280.3345,280.4626,282.2464,278.40216,363.03162,257.0466,49,5503800,12944700,12434700,11109600,3357600,4256700,9880800,12043800,12262500
1994-01-07,0,0.0002,211.84106,220,0.00094,0,103051.81,4.824908,266.72055,267.42886,270.56134,265.05612,295.06714,225.2134,52,12944700,12434700,11109600,3357600,4256700,9880800,12043800,12262500,12706200
1994-01-08,0,1.00E-04,217,220,0.00189,0,102608.77,5.7,270.8578,273.9151,276.94342,267.7084,312.38654,227.36676,50,12434700,11109600,3357600,4256700,9880800,12043800,12262500,12706200,1118400
1994-01-09,0.01,0.0148,231.16422,210,0.00231,0,101998.89,6.800049,279.2461,280.3883,280.45346,270.91956,323.37952,221.80829,47,11109600,3357600,4256700,9880800,12043800,12262500,12706200,1118400,12473100
1994-01-10,0.08,0.077,328.0287,90,0.00628,0.23,101703.93,12.489802,282.16452,282.10406,284.93985,281.54276,363.79956,242.04996,15,3357600,4256700,9880800,12043800,12262500,12706200,1118400,12473100,12845400
1994-01-11,0,0.0004,259.01898,210,0.00421,0,102647.95,8.6,276.7245,277.7311,280.64877,276.1899,341.73553,240.01187,46,4256700,9880800,12043800,12262500,12706200,1118400,12473100,12845400,10428600
1994-01-12,0,0.0055,248.11719,220,0.00472,0,102265.61,8.780842,277.36337,278.27573,282.5594,274.80017,345.08643,241.73007,49,9880800,12043800,12262500,12706200,1118400,12473100,12845400,10428600,9864900
1994-01-13,0,0.0004,247.59106,220,0.00334,0,102077.28,8.585562,279.36777,281.77347,285.3977,275.37253,344.7325,238.2669,49,12043800,12262500,12706200,1118400,12473100,12845400,10428600,9864900,12612000
1994-01-14,0,1.00E-04,250.84488,220,0.00288,0,102161.94,8.5,278.78998,279.22617,285.00522,277.44556,352.52386,246.9819,50,12262500,12706200,1118400,12473100,12845400,10428600,9864900,12612000,4704900
1994-01-15,0,0.0039,223.50665,220,0.001423238,0,103114.3,7.835289,270.69513,271.55835,271.8626,267.75803,305.409,233.1331,50,12706200,1118400,12473100,12845400,10428600,9864900,12612000,4704900,4081200
1994-01-16,0.43,0.4316,319.52567,40,0.004524365,1.05,101433.586,18.102894,276.17072,276.59332,278.32242,273.36777,326.1082,193.91383,6,1118400,12473100,12845400,10428600,9864900,12612000,4704900,4081200,3063300
1994-01-17,0,0.0005,224,230,0.00153,0,102854.46,6.5,269.2763,270.6984,272.29245,266.76016,301.14084,226.90521,52,12473100,12845400,10428600,9864900,12612000,4704900,4081200,3063300,6784800
1994-01-18,0,0.0002,201,230,0.00097,0,103801.87,7.474724,265.45236,266.69583,266.6518,262.06967,285.38034,221.33307,51,12845400,10428600,9864900,12612000,4704900,4081200,3063300,6784800,8192400
1994-01-19,0,0.0002,220,230,0.00211,0,102621.98,8.044728,272.7268,275.3079,275.38452,265.11053,302.20035,235.37808,51,10428600,9864900,12612000,4704900,4081200,3063300,6784800,8192400,11906700
1994-01-20,0.03,0.028,268,150,0.002623275,0.07,103487.63,9.957475,272.68115,273.88437,274.44998,271.15247,318.94604,247.53847,30,9864900,12612000,4704900,4081200,3063300,6784800,8192400,11906700,10780200
1994-01-21,0.03,0.0229,268.52567,150,0.003360609,0,103799.45,13.027544,275.2177,276.61563,276.63126,268.6104,320.8193,240.53554,28,12612000,4704900,4081200,3063300,6784800,8192400,11906700,10780200,12846900
1994-01-22,0.02,0.0153,298.09375,160,0.005454564,0.41,102931.89,21.3,280.6556,282.06207,282.5683,275.64786,344.31516,199.58731,29,4704900,4081200,3063300,6784800,8192400,11906700,10780200,12846900,6576900
1994-01-23,0.01,0.006,299.3381,190,0.00589,0.02,102210.66,9.8,281.34467,284.13425,284.63324,277.43774,353.92224,260.13922,37,4081200,3063300,6784800,8192400,11906700,10780200,12846900,6576900,15428100
1994-01-24,0.09,0.0824,332.11896,90,0.007400888,0.08,101650.14,17.107523,286.04254,286.21344,286.22452,281.92606,368.40564,236.55565,15,3063300,6784800,8192400,11906700,10780200,12846900,6576900,15428100,13532400
1994-01-25,0,0.006,279,240,0.00474,0,101463.57,8.6,283.3982,286.03964,288.49097,281.4506,370.68976,256.60025,52,6784800,8192400,11906700,10780200,12846900,6576900,15428100,13532400,15510000
1994-01-26,0.09,0.0902,296,220,0.002718376,0,100688.05,5.673603,286.14618,286.9901,288.1015,284.8888,383.5281,233.21536,46,8192400,11906700,10780200,12846900,6576900,15428100,13532400,15510000,13045500
1994-01-27,0.07,0.0661,253.5726,170,0.00229,0,101312.9,6.7,276.6995,278.017,278.7,273.2938,333.75,226.46442,29,11906700,10780200,12846900,6576900,15428100,13532400,15510000,13045500,14457300
1994-01-28,0.01,0.0113,224,230,0.002273274,0,102224.17,6.4,273.07806,275.11676,277.11438,270.18677,320.5994,219.2573,50,10780200,12846900,6576900,15428100,13532400,15510000,13045500,14457300,15311700
1994-01-29,0.11,0.1063,265.76404,170,0.00278,0,102295.64,8.2,274.18936,274.53226,277.68054,271.32617,328.17178,192.20534,28,12846900,6576900,15428100,13532400,15510000,13045500,14457300,15311700,14616000
1994-01-30,0.32,0.3219,269,120,0.002827467,1.1,102904.75,8.8,272.95508,271.66208,273.17914,271.10577,314.7618,172,24,6576900,15428100,13532400,15510000,13045500,14457300,15311700,14616000,7561200
1994-01-31,0.01,0.0097,210,240,0.001331297,0,103752.86,3.8040152,265.9031,268.1832,270.12064,263.1882,291.0103,205.27563,72,15428100,13532400,15510000,13045500,14457300,15311700,14616000,7561200,3080100
1994-02-01,0.01,0.0077,202.15512,260,0.00179,0,102972.29,4.536973,271.97137,274.58514,275.87158,264.7467,304,220.52502,70,13532400,15510000,13045500,14457300,15311700,14616000,7561200,3080100,10193100
1994-02-02,0.01,0.0125,213.01898,260,0.00183,0,102600.18,4.437798,274.47684,277.21466,278.02737,265.4199,313.26038,227.45828,59,15510000,13045500,14457300,15311700,14616000,7561200,3080100,10193100,14852100
1994-02-03,0,0.0048,252,250,0.0031,0,102138.64,8.4,279,281.07016,281.4213,272.25525,332.93353,209,52,13045500,14457300,15311700,14616000,7561200,3080100,10193100,14852100,14460000
1994-02-04,0.01,0.0051,259,260,0.003078796,0,101933.82,10.244551,277.07877,278.74756,280.74063,276.3694,338.40033,232.15855,56,14457300,15311700,14616000,7561200,3080100,10193100,14852100,14460000,14048100
1994-02-05,0,0.0003,255.0676,263,0.0034,0,101955.77,8.511827,276.62527,277.21564,280.9802,274.8205,340.41748,245.42801,57,15311700,14616000,7561200,3080100,10193100,14852100,14460000,14048100,17515500
1994-02-06,0,0.0003,245,270,0.00352,0,101720.42,6.485564,279.0795,281.77676,284.31503,275.54822,348.69366,250.54657,60,14616000,7561200,3080100,10193100,14852100,14460000,14048100,17515500,13922100
1994-02-07,0.04,0.038,269.52567,270,0.003853735,0,101476.64,9.4,285.1701,287.8816,289.62384,280.02335,371.94867,230.9811,56,7561200,3080100,10193100,14852100,14460000,14048100,17515500,13922100,16798800
1994-02-08,0.07,0.076,312.47433,230,0.00533,0,100607.805,17.421711,289.883,293.20108,294.02823,276.02222,372.29132,196.43945,44,3080100,10193100,14852100,14460000,14048100,17515500,13922100,16798800,16244700
1994-02-09,0.05,0.0469,250,237,0.000981551,0.18,102675.23,7.537351,266.40216,264.99103,268.10217,261.72473,289.2173,195.57785,73,10193100,14852100,14460000,14048100,17515500,13922100,16798800,16244700,14647500
1994-02-10,0,0.0013,229,280,0.000955692,0,102393.71,5.1,270.98685,272.58197,272.57858,263.37256,302.62048,215.17783,62,14852100,14460000,14048100,17515500,13922100,16798800,16244700,14647500,7547100
1994-02-11,0.01,0.0088,233,280,0.00260471,0,101837.6,9.238317,278.94833,279.28314,279.3465,266.79776,320.7866,232.1336,59,14460000,14048100,17515500,13922100,16798800,16244700,14647500,7547100,1129200
1994-02-12,0,0.0005,245,290,0.002593381,0,102256.43,6.6,277.89832,278.89008,279.52377,278.50314,341.16913,252.70874,63,14048100,17515500,13922100,16798800,16244700,14647500,7547100,1129200,7278000
1994-02-13,0,0.0003,211.67621,310,0.00173,0,103808.34,2.5,278.2257,280.5582,280.6394,270.46323,333.54776,252.72115,68,17515500,13922100,16798800,16244700,14647500,7547100,1129200,7278000,6201300
1994-02-14,0.04,0.0377,236.67621,288,0.001851439,0,102587.99,3.6,282.3856,284.36066,284.49997,274.49826,344.40387,211.86755,61,13922100,16798800,16244700,14647500,7547100,1129200,7278000,6201300,3349500
1994-02-15,0,0.0034,268.67218,300,0.00272,0,102649.16,7.396026,282.2057,284.46875,286.0974,275.01553,356.221,242.20068,64,16798800,16244700,14647500,7547100,1129200,7278000,6201300,3349500,11513700
1994-02-16,0,0.0002,261,300,0.00524,0,102787.13,7.8755827,285.72467,287.67294,288.34576,277.5687,366,263.26675,65,16244700,14647500,7547100,1129200,7278000,6201300,3349500,11513700,17934000
1994-02-17,0.01,0.0119,277,300,0.00628,0,102101.34,10.7405815,288.54822,290.26135,290.4776,280.766,377.3104,253.16794,63,14647500,7547100,1129200,7278000,6201300,3349500,11513700,17934000,19375500
1994-02-18,0.03,0.0337,313,270,0.00661,0,101126.266,21.119158,288.1959,288.534,289.32162,283.49005,380.46875,251.00018,56,7547100,1129200,7278000,6201300,3349500,11513700,17934000,19375500,19393800
1994-02-19,0.29,0.2885,369,90,0.0093,0.24,100796.63,22.6,289.17468,290.47406,290.50006,286.68903,393.6619,153.8482,14,1129200,7278000,6201300,3349500,11513700,17934000,19375500,19393800,11507100
1994-02-20,0.01,0.0084,266.0625,316,0.00328,0,101592.3,7.0013223,285.9615,287.91132,291.31662,281.47812,379.80597,256.50873,67,7278000,6201300,3349500,11513700,17934000,19375500,19393800,11507100,3211500
1994-02-21,0.27,0.2724,278,239,0.00384,0,102171.35,11.4,282.7403,283.301,283.803,276.89157,355,159.13354,38,6201300,3349500,11513700,17934000,19375500,19393800,11507100,3211500,2016300
1994-02-22,0.05,0.046,333,224,0.00683,1.66,100504.73,16.451996,282.71317,283.25977,285.32767,280.1603,366.42892,233.04445,44,3349500,11513700,17934000,19375500,19393800,11507100,3211500,2016300,19267800
1994-02-23,0,0.0004,219.13123,333,0.00205,0,102112.31,4.5775228,274.53427,274.7751,274.81686,269.29233,318.4729,233.51694,75,11513700,17934000,19375500,19393800,11507100,3211500,2016300,19267800,18752100
1994-02-24,0,1.00E-04,229.67621,336,0.00329,0,101473.24,6.9897346,282.89252,283.41226,283.51468,270.85556,334.14923,240.19324,73,17934000,19375500,19393800,11507100,3211500,2016300,19267800,18752100,20016300
1994-02-25,0,0.0004,239.79807,331,0.0017,0,102535.37,8.8,277.5341,275.68076,278.91016,275.47665,343.07593,250.49876,69,19375500,19393800,11507100,3211500,2016300,19267800,18752100,20016300,19815000
1994-02-26,0,0.0009,218.6619,339,0.00121,0,103352.28,7.9,274.52313,273.33282,273.27948,267.2306,318,234.98569,72,19393800,11507100,3211500,2016300,19267800,18752100,20016300,19815000,12921300
1994-02-27,0.01,0.0065,248,311,0.00272,0,102390.99,12.401212,279.20306,279.75427,279.77628,269.9023,330.52567,228.82019,63,11507100,3211500,2016300,19267800,18752100,20016300,19815000,12921300,9680700
1994-02-28,0.39,0.3894,341.6619,66,0.00674,1.3,101488.2,21.2,282.21924,282.70538,283.048,278.12643,350.11273,184.4495,10,3211500,2016300,19267800,18752100,20016300,19815000,12921300,9680700,2617800
1994-03-01,0.2,0.2037,312.47433,125,0.0042,0.5,102158.07,15.942394,278.18933,277.58633,279.77133,276.84348,342.14136,185.79172,21,2016300,19267800,18752100,20016300,19815000,12921300,9680700,2617800,19316400
1994-03-02,0,1.00E-04,251,350,0.00516,0,102398.17,9.6,282.11914,283.86523,283.8525,272.16766,344,251.50174,73,19267800,18752100,20016300,19815000,12921300,9680700,2617800,19316400,21830400
1994-03-03,0,0.0043,274,352,0.00609,0,102130.36,11.5,288.52347,290.79297,291.08542,278.57474,372,261.53314,73,18752100,20016300,19815000,12921300,9680700,2617800,19316400,21830400,20299200
1994-03-04,0,0.0003,278,362,0.00542,0,101399.4,9.3,289.9842,291.93338,293.62814,283.12442,395,265.08453,75,20016300,19815000,12921300,9680700,2617800,19316400,21830400,20299200,9782700
1994-03-05,0,0.0003,295.0404,359,0.008401035,0,101311.31,13.704516,291.61456,292.98575,294.12616,283.6395,399.96173,272,74,19815000,12921300,9680700,2617800,19316400,21830400,20299200,9782700,21824700
1994-03-06,0.04,0.0401,358,115,0.01068,0.01,101131.24,20.5,292.8676,291.76443,291.7752,286.84067,399.779,262.21082,19,12921300,9680700,2617800,19316400,21830400,20299200,9782700,21824700,22273500
1994-03-07,0.05,0.0532,328,270,0.0066,0.06,101630.29,16.8,286.56586,286.3722,288.7705,286.00574,388,272.38354,50,9680700,2617800,19316400,21830400,20299200,9782700,21824700,22273500,22147200
1994-03-08,0.46,0.4612,323,36,0.00407,4.48,102313.18,19.1,275.71313,275.5338,277.64407,275.53278,333,222.43082,8,2617800,19316400,21830400,20299200,9782700,21824700,22273500,22147200,22515600
1994-03-09,0.02,0.0164,253,338,0.00325,0.18,102537.99,9.033996,276.14142,276.17227,276.22745,270.7085,321.55154,212.9526,97,19316400,21830400,20299200,9782700,21824700,22273500,22147200,22515600,19473000
1994-03-10,0,0,234.0632,395,0.00442,0,102726.91,6.3,280.43204,281.74887,282.7979,272.00797,340.00006,245.18617,106,21830400,20299200,9782700,21824700,22273500,22147200,22515600,19473000,22680300
1994-03-11,0.01,0.008,253,391,0.00491,0,102413.43,7.335289,284.02872,285.48108,286.66803,276.53735,354.02277,244.5499,98,20299200,9782700,21824700,22273500,22147200,22515600,19473000,22680300,17199600
1994-03-12,0.08,0.0803,303,226,0.00661,0.06,102540.58,17.761684,284.68298,284.99307,284.93628,278.83392,363.3895,223.95708,44,9782700,21824700,22273500,22147200,22515600,19473000,22680300,17199600,15754800
1994-03-13,0,0.0014,270,394,0.00426,0,102916.67,7.1,284.64835,285.95294,286.92328,279.47467,368.7467,255.07286,82,21824700,22273500,22147200,22515600,19473000,22680300,17199600,15754800,23904900
1994-03-14,0,0.0006,265.3895,410,0.00509,0,101807.53,6.9766326,289.57153,291.50336,292.2445,280.62766,380.44843,277.06964,85,22273500,22147200,22515600,19473000,22680300,17199600,15754800,23904900,22883700
1994-03-15,0,0.0014,294,398,0.00642,0,101645.74,14.539064,289.12592,290.24338,292.37973,283.7247,393.94873,265.9289,80,22147200,22515600,19473000,22680300,17199600,15754800,23904900,22883700,19855500
1994-03-16,0,0.0009,269.6105,415,0.005,0,101913.234,8.3,289.00757,290.2832,291.1857,278.99475,384.29837,266.14725,85,22515600,19473000,22680300,17199600,15754800,23904900,22883700,19855500,10335600
1994-03-17,0.01,0.0067,311,402,0.00871,0,100527.1,16.10281,296.0517,296.3694,296.37827,285.63028,407.01898,262.3998,80,19473000,22680300,17199600,15754800,23904900,22883700,19855500,10335600,15778500
1994-03-18,0,0.0012,303.25333,421,0.00542,0,101080.086,11,292.25488,293.5229,295.01797,288.04108,413.33652,279.45566,86,22680300,17199600,15754800,23904900,22883700,19855500,10335600,15778500,2998500
1994-03-19,0.02,0.0218,335,380,0.01029,0,100430.65,22.409248,297.1429,298.0135,297.94342,286.01288,417.35464,249.13391,72,17199600,15754800,23904900,22883700,19855500,10335600,15778500,2998500,19122000
1994-03-20,0.03,0.0355,341.31024,391,0.00605,0,100119.875,20.558857,296.35645,297.6948,301.6568,291.1331,435.15512,246.58589,74,15754800,23904900,22883700,19855500,10335600,15778500,2998500,19122000,24354900
1994-03-21,0,0.0016,276.6105,446,0.00343,0,101724.43,5.5,289.37604,289.66104,289.66513,282.133,387.0797,271.0666,92,23904900,22883700,19855500,10335600,15778500,2998500,19122000,24354900,24146700
1994-03-22,0,0.0045,274,443,0.00519,0,101267.39,8.3,292.25375,293.33524,293.3244,281.61484,391.16254,277.26776,90,22883700,19855500,10335600,15778500,2998500,19122000,24354900,24146700,25007400
1994-03-23,0.03,0.0249,329,395,0.00865,0,100358.5,15.132697,295.85904,297.20883,298.2334,287.76233,424.4177,232.6578,76,19855500,10335600,15778500,2998500,19122000,24354900,24146700,25007400,24928200
1994-03-24,0.03,0.0336,331,318,0.00409,0,101486.46,16.900274,287.89932,285.40558,288.21942,285.18655,394.66226,184.64435,55,10335600,15778500,2998500,19122000,24354900,24146700,25007400,24928200,24597600
1994-03-25,0.01,0.008,264,441,0.00418,0,102068.23,16.6,287.8453,285.85986,285.88104,275.82996,364.1172,246.0718,88,15778500,2998500,19122000,24354900,24146700,25007400,24928200,24597600,15561600
1994-03-26,0.14,0.1385,365,145,0.0096,2.1,99943.46,22.9,289.74283,290.06915,292.40363,286.29163,398.74667,236.22227,25,2998500,19122000,24354900,24146700,25007400,24928200,24597600,15561600,26046600
1994-03-27,0.05,0.0505,289.52567,369,0.00314,0,101152.1,10,283.1563,283.67276,285.2568,277.16763,363,231.60114,69,19122000,24354900,24146700,25007400,24928200,24597600,15561600,26046600,17050800
1994-03-28,0,0.0004,247,477,0.00228,0,102413.67,5.2,283.3321,283.0779,283.0017,273.38974,353.03668,246.63019,98,24354900,24146700,25007400,24928200,24597600,15561600,26046600,17050800,3741300
1994-03-29,0,0.0002,251.3895,471,0.00336,0,102364.48,9,284.66977,285.42383,286.46713,276.70706,363.75558,250.00552,95,24146700,25007400,24928200,24597600,15561600,26046600,17050800,3741300,26436300
1994-03-30,0,0.0004,262,478,0.00297,0,103343.914,6.1,284.67792,283.56796,283.54666,276.60022,361.93484,237.23306,96,25007400,24928200,24597600,15561600,26046600,17050800,3741300,26436300,25545300
1994-03-31,0,1.00E-04,256.01898,478,0.00448,0,102403.98,9.2,289.1155,289.29813,289.23593,275.47614,366.94748,254.02332,96,24928200,24597600,15561600,26046600,17050800,3741300,26436300,25545300,18539700
1994-04-01,0,0,287.0996,475,0.00714,0,101760.17,12.7,292.76105,293.86847,293.94946,282.21118,394.63818,267.66656,94,24597600,15561600,26046600,17050800,3741300,26436300,25545300,18539700,9666600
1994-04-02,0.01,0.013,312,459,0.00864,0,100896.234,18.406279,291.5,291.83124,294.1818,285.74042,404.48087,242.06728,88,15561600,26046600,17050800,3741300,26436300,25545300,18539700,9666600,3748200
1994-04-03,0,0.0005,255,499,0.00447,0,102513.695,6.7,288.29465,288.63516,288.6714,276.9699,378.50665,270.73303,101,26046600,17050800,3741300,26436300,25545300,18539700,9666600,3748200,10572300
1994-04-04,0.13,0.1337,311,416,0.00727,0,100787.77,16.1,293.74252,292.90884,292.90884,281.67963,387.736,187.26758,75,17050800,3741300,26436300,25545300,18539700,9666600,3748200,10572300,20867700
1994-04-05,0.08,0.0773,316,336,0.00386,0.01,101154.56,14.3,280.8592,280.6465,282.297,279.84033,368.6619,233.05464,60,3741300,26436300,25545300,18539700,9666600,3748200,10572300,20867700,25899900
1994-04-06,0,0.0003,229,510,0.00239,0,102401.1,5.8000517,283.92276,281.65445,281.64178,269.8205,343.22537,247.32898,102,26436300,25545300,18539700,9666600,3748200,10572300,20867700,25899900,24636900
1994-04-07,0,0.0016,254,508,0.004585257,0,102020.96,9.34274,287.54745,287.52737,287.45123,275.07788,364,248.33353,101,25545300,18539700,9666600,3748200,10572300,20867700,25899900,24636900,24624000
1994-04-08,0.01,0.0064,293,479,0.008181172,0,101386.14,16.4,291.7161,291.3418,291.29724,281.17584,390.29004,257.33325,94,18539700,9666600,3748200,10572300,20867700,25899900,24636900,24624000,27451200
