Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0011,262.01898,230,0.00426,0,101888.82,9,279.0338,279.0853,284.34015,277.8066,351.09857,255.46652,37,11019300,3776700,4082400,3027000,9997500,7729800,11662500,11619900,10748100
1994-01-02,0.08,0.0781,274,170,0.00472,0,101308.47,12.5,278.6293,280.30948,282.80756,275.00354,341.94855,224.3216,24,3776700,4082400,3027000,9997500,7729800,11662500,11619900,10748100,2221800
1994-01-03,0.02,0.0232,256.49973,210,0.00302,0.01,101923.56,7.8,270.53973,271.5164,274.51578,269.339,311.33432,225.08035,90,4082400,3027000,9997500,7729800,11662500,11619900,10748100,2221800,1975500
1994-01-04,0.01,0.0043,239.1218,220,0.003025308,0,102397.9,7.5,274.39813,273.8083,277.3233,272.3262,325.78842,239.10666,36,3027000,9997500,7729800,11662500,11619900,10748100,2221800,1975500,5190000
1994-01-05,0,0.0012,242.11719,230,0.003720609,0,101310.63,11.200032,278.2667,280.2735,281.44083,271.4993,328.93454,236.66684,37,9997500,7729800,11662500,11619900,10748100,2221800,1975500,5190000,8558100
1994-01-06,0.01,0.0096,265,230,0.00456,0,100443.36,8.956355,281.25043,281.46625,284.69785,280.23926,361.474,255.03726,36,7729800,11662500,11619900,10748100,2221800,1975500,5190000,8558100,10527600
1994-01-07,0,0.0012,203.25323,240,0.00079,0,102932.67,3.8284044,268.27686,269.02606,271.2594,266.63614,300.08313,227.86922,41,11662500,11619900,10748100,2221800,1975500,5190000,8558100,10527600,11541600
1994-01-08,0,0.0003,218.03796,240,0.00139,0,102845.89,6.2071,272.371,272.12878,276.70566,268.17163,316.38654,229.7331,49,11619900,10748100,2221800,1975500,5190000,8558100,10527600,11541600,541800
1994-01-09,0.01,0.0096,229.02246,230,0.00284,0,102575.89,6.8182716,273.7562,275.6912,278.7645,269.59958,318.25104,224.18616,52,10748100,2221800,1975500,5190000,8558100,10527600,11541600,541800,6789000
1994-01-10,0.32,0.3239,326.06616,40,0.00455,0.81,102173.95,17.921442,277.80502,277.33276,277.43985,275.24655,328.01392,222.9998,4,2221800,1975500,5190000,8558100,10527600,11541600,541800,6789000,12572100
1994-01-11,0.1,0.0979,333.52567,130,0.00606,0.5,102376.24,15.9,280.32352,280.88995,282.75992,279.8499,354.83844,216.18607,18,1975500,5190000,8558100,10527600,11541600,541800,6789000,12572100,12428100
1994-01-12,0.01,0.0142,271,200,0.00548,0,102312.28,9.180841,279.93817,279.40024,282.73965,274.26016,348.10803,226.70851,30,5190000,8558100,10527600,11541600,541800,6789000,12572100,12428100,7426800
1994-01-13,0.02,0.0185,260.59106,210,0.00433,0.01,101790.16,9.782116,278.73264,280.61984,281.90277,275.04044,343.06244,237.0033,30,8558100,10527600,11541600,541800,6789000,12572100,12428100,7426800,11729700
1994-01-14,0,0.0021,237.2005,240,0.00255,0,102402.9,10.2,275.6799,274.12616,277.7906,271.25873,330.99734,235,37,10527600,11541600,541800,6789000,12572100,12428100,7426800,11729700,1724700
1994-01-15,0,0.0002,218.50665,240,0.00125,0,103184.234,9.068636,270.40796,271.49863,272.40002,267.6821,309.0133,230.0163,38,11541600,541800,6789000,12572100,12428100,7426800,11729700,1724700,2233200
1994-01-16,0.55,0.5469,309.752,40,0.003400553,2.79,101830.4,20.981453,273.8208,273.38068,273.4432,269.48636,311.0665,186.34665,13,541800,6789000,12572100,12428100,7426800,11729700,1724700,2233200,1629600
1994-01-17,0,0.0005,208.01898,250,0.00156,0,102851.36,5.391059,267.1668,267.138,270.07846,266.40616,301.67575,226.26044,48,6789000,12572100,12428100,7426800,11729700,1724700,2233200,1629600,10134900
1994-01-18,0,1.00E-04,202,250,0.00103,0,103739.67,7.731187,264.99655,265.20926,266.0518,262.3195,283.38034,219.45535,75,12572100,12428100,7426800,11729700,1724700,2233200,1629600,10134900,3234300
1994-01-19,0,0.0002,214.01898,250,0.00136,0,103045,8.337766,269.86734,271.47906,271.48453,264.349,293.60016,231.33353,69,12428100,7426800,11729700,1724700,2233200,1629600,10134900,3234300,5690400
1994-01-20,0.01,0.0082,265,230,0.003048838,0.01,103407.79,10.8,273.84125,273.77737,277.29218,271.26395,324.52332,245.27774,61,7426800,11729700,1724700,2233200,1629600,10134900,3234300,5690400,11673600
1994-01-21,0,0.0009,234,250,0.002610609,0,103861.47,12.068883,272.26852,272.57327,276.1014,268.76776,316.00293,238.99988,72,11729700,1724700,2233200,1629600,10134900,3234300,5690400,11673600,7659600
1994-01-22,0.1,0.0979,304.3895,70,0.004575254,0.76,103199.22,22.2,276.0021,276.84738,276.93365,273.17084,324.53943,174.73051,16,1724700,2233200,1629600,10134900,3234300,5690400,11673600,7659600,11698200
1994-01-23,0.11,0.1066,330.6308,90,0.00626,0.21,102380.33,13.8,279.23526,281.09323,281.85263,277.78583,345.0293,255.66711,12,2233200,1629600,10134900,3234300,5690400,11673600,7659600,11698200,13673700
1994-01-24,0.17,0.1712,355.09158,90,0.00836,0.4,101924,23.4,284.3398,284.91165,286.36212,282.44385,368.36847,244.62125,12,1629600,10134900,3234300,5690400,11673600,7659600,11698200,13673700,13034700
1994-01-25,0.1,0.0952,350.56354,150,0.009578449,0.27,101491.22,15.5,287.16037,287.485,289.95267,287.06827,390.9859,250.45828,22,10134900,3234300,5690400,11673600,7659600,11698200,13673700,13034700,14669100
1994-01-26,0.09,0.0862,365,100,0.01033,1.48,100905.78,21.624641,288.39703,288.62045,290.55206,287.85776,394.56354,203.3116,13,3234300,5690400,11673600,7659600,11698200,13673700,13034700,14669100,13380000
1994-01-27,0.14,0.1378,299.3702,166,0.00406,0.01,101079.66,13.3,279.9739,279.69675,280.6982,277.90082,352.40546,172.82465,20,5690400,11673600,7659600,11698200,13673700,13034700,14669100,13380000,3764400
1994-01-28,0.05,0.0515,229,230,0.002182546,0,102056.27,6.576028,273.54312,274.85306,275.87567,269.77295,318.6662,197.90594,34,11673600,7659600,11698200,13673700,13034700,14669100,13380000,3764400,13938300
1994-01-29,0.15,0.1484,270,140,0.00254,0,102302.16,8.8,275.4062,274.28946,276.529,270.77377,325.67316,193.40561,16,7659600,11698200,13673700,13034700,14669100,13380000,3764400,13938300,12926400
1994-01-30,0.03,0.0353,227,250,0.002190001,0,102779.74,6.5,273.93118,272.98172,276.3059,269.7865,321.76083,224.16273,43,11698200,13673700,13034700,14669100,13380000,3764400,13938300,12926400,6484800
1994-01-31,0,0.0003,200.20193,280,0.00117,0,103385.91,3.1,269.23413,268.8132,271.04062,266.10858,302.35492,225.68303,47,13673700,13034700,14669100,13380000,3764400,13938300,12926400,6484800,1980000
1994-02-01,0.01,0.0114,201,280,0.00143,0,102965.73,3.6170158,271.7081,273.25516,275.70337,266.54126,313.06183,228.4339,46,13034700,14669100,13380000,3764400,13938300,12926400,6484800,1980000,3723900
1994-02-02,0,0.0004,207,290,0.00201,0,102699.66,4.431117,272.5927,274.77945,277.22025,267.61664,317.18796,235.22014,46,14669100,13380000,3764400,13938300,12926400,6484800,1980000,3723900,10577100
1994-02-03,0.03,0.0338,250,250,0.00278,0,102511.97,7.600067,275.94684,277.7987,281.8297,271.2484,332,217.09923,37,13380000,3764400,13938300,12926400,6484800,1980000,3723900,10577100,14920200
1994-02-04,0.03,0.0291,300,230,0.005682113,0.05,101777.55,13.509282,280.57993,279.7379,283.2503,278.59457,357.12708,223.15855,34,3764400,13938300,12926400,6484800,1980000,3723900,10577100,14920200,3145500
1994-02-05,0,0.0017,268.52567,240,0.00514,0.01,101812.2,11.111828,279.89325,278.92398,281.57986,278.51657,349.70874,250.95471,36,13938300,12926400,6484800,1980000,3723900,10577100,14920200,3145500,16354200
1994-02-06,0,0.0009,278.11267,280,0.00563,0,101760.89,9.540008,281.1827,281.5719,285.4225,276.4744,356.4835,254.43866,43,12926400,6484800,1980000,3723900,10577100,14920200,3145500,16354200,15411000
1994-02-07,0.06,0.0636,291.8315,260,0.00856,0,101709.44,16.7,287.2995,288.93558,289.3036,280.50333,371.4176,230.961,38,6484800,1980000,3723900,10577100,14920200,3145500,16354200,15411000,15623400
1994-02-08,0.17,0.1719,386,60,0.01118,0.48,100830.27,25.3,290.6014,290.9133,290.88193,287.02142,391,219.33957,6,1980000,3723900,10577100,14920200,3145500,16354200,15411000,15623400,16084800
1994-02-09,0.14,0.1427,279.52567,90,0.001611551,0.5,102424.35,18.473354,268.1172,266.84512,267.48117,265.55103,298,169.67189,21,3723900,10577100,14920200,3145500,16354200,15411000,15623400,16084800,15111900
1994-02-10,0.03,0.0319,255.6619,270,0.002382071,0,102395.09,9.4,270.62042,271.8258,272.80096,267.77606,309.41766,192.18817,96,10577100,14920200,3145500,16354200,15411000,15623400,16084800,15111900,11814300
1994-02-11,0.02,0.0178,230.6105,310,0.003023895,0,102097.12,8.638316,275.89206,277.79047,278.00806,267.21597,316.84488,234.13359,103,14920200,3145500,16354200,15411000,15623400,16084800,15111900,11814300,2001600
1994-02-12,0.04,0.0384,286.52567,200,0.00468,0.04,101790.11,9.6,278.36053,278.10287,281.94376,276.26288,343,237.73051,62,3145500,16354200,15411000,15623400,16084800,15111900,11814300,2001600,12010800
1994-02-13,0,0.0007,213.97192,330,0.00287,0,103638.86,3,273.65952,272.74576,277.21747,269.35645,321.21796,250,100,16354200,15411000,15623400,16084800,15111900,11814300,2001600,12010800,11070000
1994-02-14,0.04,0.0448,232.47433,311,0.00285,0,102880.95,3.8,277.95258,280.30823,283.51593,272.89362,340.59613,229.22227,47,15411000,15623400,16084800,15111900,11814300,2001600,12010800,11070000,5115000
1994-02-15,0.01,0.0074,277.20193,310,0.00427,0,102745.94,9.515512,281.1672,281.42142,285.87436,276.13632,362.2207,233.2695,46,15623400,16084800,15111900,11814300,2001600,12010800,11070000,5115000,4482600
1994-02-16,0,0.0002,260,320,0.00465,0,102932.09,7.285574,283.15512,284.001,287.651,276.71786,363.15512,264.05035,49,16084800,15111900,11814300,2001600,12010800,11070000,5115000,4482600,17726700
1994-02-17,0,0.0014,268,320,0.005870057,0,102458.92,10.904326,283.98114,285.98483,288.64697,278.1692,367,252.61642,49,15111900,11814300,2001600,12010800,11070000,5115000,4482600,17726700,17617200
1994-02-18,0,0.004,289.3381,320,0.00683,0,101663.266,15.9,286.8292,288.31976,290.14267,281.65002,379.13287,250.13335,47,11814300,2001600,12010800,11070000,5115000,4482600,17726700,17617200,18290700
1994-02-19,0.54,0.5355,372.3381,60,0.01025,2,101240.484,30.901873,288.08304,288.81418,289.16547,286.739,386.6619,172.16154,7,2001600,12010800,11070000,5115000,4482600,17726700,17617200,18290700,12520800
1994-02-20,0.04,0.0428,355,218,0.010383999,0.1,101572.41,19.6,290.0293,289.28845,292.86487,287.8867,403.6105,244.58832,31,12010800,11070000,5115000,4482600,17726700,17617200,18290700,12520800,2670600
1994-02-21,0.09,0.0844,283.423,300,0.00604,0,102203.875,9.7,285.97064,286.72858,286.75995,279.09384,367.37158,188.36234,43,11070000,5115000,4482600,17726700,17617200,18290700,12520800,2670600,1855500
1994-02-22,0.23,0.2322,343,77,0.00704,9.75,100612.75,20.196028,284.58112,283.4587,283.52133,281.4303,361.6184,150.17725,9,5115000,4482600,17726700,17617200,18290700,12520800,2670600,1855500,16231500
1994-02-23,0.03,0.03,270,281,0.00288,0.06,101771.83,6.2775226,274.28012,273.79605,276.42447,273.22403,329,237.51694,42,4482600,17726700,17617200,18290700,12520800,2670600,1855500,16231500,18555900
1994-02-24,0,0.0005,219.3895,361,0.00243,0,101877.55,5.84029,278.85065,280.8856,281.42813,268.68466,333.03796,238.19543,56,17726700,17617200,18290700,12520800,2670600,1855500,16231500,18555900,19053900
1994-02-25,0,0.0004,247.3895,333,0.00359,0,102209.87,9.6,280.5871,278.60938,279.0622,275.4985,345.221,248.63297,49,17617200,18290700,12520800,2670600,1855500,16231500,18555900,19053900,18939000
1994-02-26,0,0.0003,220,361,0.00128,0,103286.82,8.2,273.8612,274.6328,274.59198,267.53064,321.3505,236.98569,54,18290700,12520800,2670600,1855500,16231500,18555900,19053900,18939000,16626900
1994-02-27,0.01,0.0138,233.6105,352,0.00208,0,102698.58,10.501212,277.31866,278.7393,279.09885,269.3681,330,232.33353,52,12520800,2670600,1855500,16231500,18555900,19053900,18939000,16626900,3187200
1994-02-28,0.24,0.2448,334.6619,68,0.00443,0.22,101965.84,21.6,280.06683,279.4964,279.5183,276.27115,337.47433,186.33862,8,2670600,1855500,16231500,18555900,19053900,18939000,16626900,3187200,1395300
1994-03-01,0.3,0.3016,327,133,0.00559,0.8,101777.21,19.124016,280.14313,279.4803,281.0328,278.74268,350.1174,162.06653,15,1855500,16231500,18555900,19053900,18939000,16626900,3187200,1395300,12291900
1994-03-02,0.01,0.0138,277,292,0.00426,0.05,102195.71,9.4,277.05975,278.1616,278.15778,272.9557,329,237.60573,75,16231500,18555900,19053900,18939000,16626900,3187200,1395300,12291900,20555400
1994-03-03,0,0.0003,259,382,0.00682,0,102261.27,12.2,284.15698,286.2755,286.58542,272.94067,353.2947,256.4095,91,18555900,19053900,18939000,16626900,3187200,1395300,12291900,20555400,20236800
1994-03-04,0,0.0004,286,378,0.00708,0,101498.22,11.420187,286.56488,288.1773,291.7699,281.1251,384.7372,245.58322,55,19053900,18939000,16626900,3187200,1395300,12291900,20555400,20236800,12867600
1994-03-05,0,0.0003,298,381,0.009321035,0,101438.88,15.2,289.73517,291.44843,293.81915,283.6005,397,268,56,18939000,16626900,3187200,1395300,12291900,20555400,20236800,12867600,16239000
1994-03-06,0.06,0.0639,379,212,0.01151,0.2,101422.05,24.4,291.2154,292.1198,293.46313,287.54483,406.8078,246.99986,26,16626900,3187200,1395300,12291900,20555400,20236800,12867600,16239000,21434100
1994-03-07,0.2,0.1961,371,111,0.01,0.55,101565.56,21.6,289.07474,288.151,290.10333,286.9797,397.38263,270.42764,14,3187200,1395300,12291900,20555400,20236800,12867600,16239000,21434100,21336900
1994-03-08,0.57,0.5733,328,62,0.00456,6,102147.97,22.20022,277.77985,277.5036,278.58112,277.24033,338.13123,204.98758,7,1395300,12291900,20555400,20236800,12867600,16239000,21434100,21336900,21583200
1994-03-09,0.06,0.0562,288,288,0.00351,0.2,102251.74,11.275709,273.81036,274.55176,275.0145,271.79245,319.3896,220.17233,128,12291900,20555400,20236800,12867600,16239000,21434100,21336900,21583200,18435300
1994-03-10,0,1.00E-04,233.03543,423,0.00489,0,102605.31,7.9666834,277.51917,279.39685,280.92804,270.4259,330.83173,240.37129,157,20555400,20236800,12867600,16239000,21434100,21336900,21583200,18435300,21809400
1994-03-11,0,0.0019,254,422,0.0056,0,102755.16,7.935289,282.0008,283.95547,286.33307,274.83075,354.4274,246.24829,113,20236800,12867600,16239000,21434100,21336900,21583200,18435300,21809400,18172800
1994-03-12,0.03,0.0249,289.3895,412,0.0058,0,102815.65,13.461683,284.58713,285.85257,287.8497,278.41565,370.94867,239.32208,74,12867600,16239000,21434100,21336900,21583200,18435300,21809400,18172800,6249600
1994-03-13,0,0.0017,333,236,0.00705,0.2,102698.9,12.3,284.34937,285.21463,287.15204,282.57468,373.73254,248.32762,32,16239000,21434100,21336900,21583200,18435300,21809400,18172800,6249600,22885800
1994-03-14,0,0.0002,270.1172,431,0.0059,0,101857.77,8.048086,287.4806,289.40338,291.5895,279.33716,380,273.14047,64,21434100,21336900,21583200,18435300,21809400,18172800,6249600,22885800,22340100
1994-03-15,0,0.0004,301.31024,419,0.00689,0,101604.94,15.625687,289.8144,288.4434,292.77972,283.30127,397.8828,263.9776,60,21336900,21583200,18435300,21809400,18172800,6249600,22885800,22340100,13740900
1994-03-16,0,0.0008,262.6105,442,0.0048,0,102009.63,8.6,286.4658,287.81012,289.20773,278.94675,378.47433,263.1995,65,21583200,18435300,21809400,18172800,6249600,22885800,22340100,13740900,7687500
1994-03-17,0,0.001,301,427,0.008993529,0,100789.67,19.6,291.99844,293.16803,293.17828,281.83707,389.03796,263.23624,61,18435300,21809400,18172800,6249600,22885800,22340100,13740900,7687500,20090700
1994-03-18,0,0.0003,304.44275,448,0.0061,0,101061.85,9.617742,291.77405,290.8029,295.41733,286.28226,411.33652,283.45566,65,21809400,18172800,6249600,22885800,22340100,13740900,7687500,20090700,1220700
1994-03-19,0.04,0.0455,329.47433,391,0.01183,0.01,100772.6,26.643993,293.9344,294.6334,295.31067,284.5865,407.01337,252.80356,51,18172800,6249600,22885800,22340100,13740900,7687500,20090700,1220700,10686300
1994-03-20,0.05,0.0509,350,352,0.01247,0,100297.02,28.3,295.37885,296.67316,297.54932,288.59558,420.84488,243.13887,48,6249600,22885800,22340100,13740900,7687500,20090700,1220700,10686300,21121200
1994-03-21,0,0.0007,273,461,0.0044,0,101598.54,5.132769,286.28946,287.24307,289.16058,282.10257,382.37585,265.8776,67,22885800,22340100,13740900,7687500,20090700,1220700,10686300,21121200,22509300
1994-03-22,0,1.00E-04,264.25333,479,0.00556,0,101551.31,5.9,289.44135,290.92215,292.9244,280.67297,390.16254,281.73395,70,22340100,13740900,7687500,20090700,1220700,10686300,21121200,22509300,22004400
1994-03-23,0.17,0.1738,386,105,0.01249,0.32,100605.92,26.1,293.0148,292.77438,292.7334,286.35626,400.5918,246.6102,13,13740900,7687500,20090700,1220700,10686300,21121200,22509300,22004400,23648100
1994-03-24,0.29,0.29,363.25333,129,0.00916,2.71,101354.46,27.5,288.2581,287.62933,289.51373,287.2243,390.9171,168.74423,15,7687500,20090700,1220700,10686300,21121200,22509300,22004400,23648100,21004800
1994-03-25,0,0.0006,261.00378,474,0.00425,0,102175.59,13.5,286.10593,286.37674,286.40918,275.91754,366.0949,255.29202,68,20090700,1220700,10686300,21121200,22509300,22004400,23648100,21004800,20160000
1994-03-26,0.27,0.2678,367,105,0.01025,4,100321.66,30.5,288.79333,288.35333,288.35672,283.86487,380.74667,194.94135,12,1220700,10686300,21121200,22509300,22004400,23648100,21004800,20160000,24917400
1994-03-27,0.16,0.1647,311,368,0.00453,0.04,100854.99,14.6,283.11026,283.80377,285.89398,279.38406,366,192.72546,48,10686300,21121200,22509300,22004400,23648100,21004800,20160000,24917400,18651900
1994-03-28,0,0.0003,244.46875,501,0.00262,0,102163.13,5.4,281.27094,281.5902,282.23663,274.88974,352.3895,243.13335,73,21121200,22509300,22004400,23648100,21004800,20160000,24917400,18651900,3399300
1994-03-29,0,0.0013,255.3895,488,0.00414,0,102279.53,10.2,284.38953,285.41165,287.4694,274.11334,362.0514,245.39948,70,22509300,22004400,23648100,21004800,20160000,24917400,18651900,3399300,12750300
1994-03-30,0,0.0003,252,492,0.00319,0,103280.46,5.9,281.56934,282.07172,283.44836,275.0339,356.23016,225.37358,69,22004400,23648100,21004800,20160000,24917400,18651900,3399300,12750300,24277500
1994-03-31,0,1.00E-04,251.01898,508,0.00364,0,102628.62,8.9,285.9148,287,288.34384,273.469,370.15518,253.45761,73,23648100,21004800,20160000,24917400,18651900,3399300,12750300,24277500,23027400
1994-04-01,0,0.0005,282.03796,496,0.00565,0,102028.93,13.5,289.8488,290.86847,292.81174,279.22235,386.14136,257.81943,70,21004800,20160000,24917400,18651900,3399300,12750300,24277500,23027400,4768500
1994-04-02,0.01,0.0099,297.3381,495,0.00792,0,101410.86,17.282831,291.24426,291.7322,293.7181,282.66562,397.37463,254.94635,69,20160000,24917400,18651900,3399300,12750300,24277500,23027400,4768500,12173400
1994-04-03,0,0.0005,269.74667,527,0.00436,0,102285.05,6.2,285.99466,286.43082,286.9657,277.64343,368.74667,264.0022,76,24917400,18651900,3399300,12750300,24277500,23027400,4768500,12173400,6148800
1994-04-04,0.05,0.0476,288,483,0.00587,0,101202.49,15.1,290.76923,291.73718,292.09857,278.69977,383.6619,210.80054,66,18651900,3399300,12750300,24277500,23027400,4768500,12173400,6148800,23485500
1994-04-05,0.33,0.327,370.01898,100,0.01066,0.84,100502.836,26.6,289.0786,289.1845,289.49487,288.42847,391.84113,227.33595,11,3399300,12750300,24277500,23027400,4768500,12173400,6148800,23485500,25350000
1994-04-06,0,0.0008,281.0078,416,0.00368,0.05,102117.484,8.9,281.58426,281.56036,281.53546,272.63974,340.22537,243.59987,59,12750300,24277500,23027400,4768500,12173400,6148800,23485500,25350000,20691000
1994-04-07,0,0.0012,251,537,0.00429,0,102407.64,9.8,285.95676,286.76657,287.28955,273.44165,364,250.20883,76,24277500,23027400,4768500,12173400,6148800,23485500,25350000,20691000,22791300
1994-04-08,0,0.0021,286.69965,523,0.006698828,0,101643.14,18.6,290.96576,291.61093,291.60568,278.62726,384.18195,256.16974,73,23027400,4768500,12173400,6148800,23485500,25350000,20691000,22791300,26473500
1994-04-09,0.18,0.1753,378,204,0.01182,0.29,100958.07,25.8,292.71402,292.10223,292.04926,286.43542,399.79807,212.0492,25,4768500,12173400,6148800,23485500,25350000,20691000,22791300,26473500,25956300
