Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0026,266.01898,230,0.00405,0,101960.09,8.2,278.937,280.3753,285.23447,278.24384,351.09857,254.78322,47,11182800,3963300,4512600,3212700,9566100,6137100,12175200,12217500,10443300
1994-01-02,0.09,0.0892,273.15576,170,0.0044,0,101254.8,12.7,280.2293,281.91946,283.53152,276.25247,345.01904,229.57346,31,3963300,4512600,3212700,9566100,6137100,12175200,12217500,10443300,1873800
1994-01-03,0,0.0003,230.84859,230,0.00257,0,102060.52,6.8389215,271.01276,272.56055,275.5317,269.26343,310.9435,234.83658,85,4512600,3212700,9566100,6137100,12175200,12217500,10443300,1873800,2835600
1994-01-04,0,0.006,245.88446,200,0.003133115,0,102545.08,7.1,274.78607,275.441,277.0233,273.89618,328.66492,240.74716,39,3212700,9566100,6137100,12175200,12217500,10443300,1873800,2835600,6759900
1994-01-05,0,0.0015,245.11719,220,0.003650609,0,101122.47,11.164972,280.27814,282.1668,282.1595,272.50275,331.12225,238.50705,46,9566100,6137100,12175200,12217500,10443300,1873800,2835600,6759900,9930900
1994-01-06,0,0.0051,260,220,0.00385,0,100631.19,9.069358,280.29282,281.27966,282.20355,279.50925,354.474,256,46,6137100,12175200,12217500,10443300,1873800,2835600,6759900,9930900,10799100
1994-01-07,0,0.0003,204.51984,230,0.00077,0,103041.54,4.2,267.76312,268.826,270.2026,266.05276,297.6197,228.73877,51,12175200,12217500,10443300,1873800,2835600,6759900,9930900,10799100,12337500
1994-01-08,0,1.00E-04,218.1551,230,0.00132,0,102793.73,6.027294,271.75726,273.2141,276.88052,268.38162,315.13934,228.7331,48,12217500,10443300,1873800,2835600,6759900,9930900,10799100,12337500,711900
1994-01-09,0.02,0.0194,231.02618,230,0.00298,0,102411.086,7,276.29898,278.04794,279.04465,270.40665,320.37952,215.93047,46,10443300,1873800,2835600,6759900,9930900,10799100,12337500,711900,7774200
1994-01-10,0.28,0.278,333.06616,60,0.00566,0.79,101975.07,17.289803,280.98126,280.63275,280.63983,277.4854,341.58212,234.45541,9,1873800,2835600,6759900,9930900,10799100,12337500,711900,7774200,9400800
1994-01-11,0.05,0.0536,329.52567,100,0.00569,0.14,102405.07,13.4,280.4273,280.17303,281.74493,279.7312,353.55145,234.18607,16,2835600,6759900,9930900,10799100,12337500,711900,7774200,9400800,10399500
1994-01-12,0,0.0051,263.01898,210,0.00537,0,102309.28,9.280842,279.02185,278.979,282.93967,274.38687,347.39453,228.78302,43,6759900,9930900,10799100,12337500,711900,7774200,9400800,10399500,10607100
1994-01-13,0,0.003,260,200,0.0042,0,101892.72,9.865254,279.26047,281.4575,282.97955,275.39005,341.58124,239.2669,38,9930900,10799100,12337500,711900,7774200,9400800,10399500,10607100,12288000
1994-01-14,0,1.00E-04,240,230,0.00293,0,102354.2,10.5,275.8799,275.12546,278.8658,272.14874,333.45963,237,47,10799100,12337500,711900,7774200,9400800,10399500,10607100,12288000,3448500
1994-01-15,0,0.0008,220.88283,230,0.0013,0,103194.44,8.722339,270.09515,271.13864,272.00003,267.7721,307.0133,231.0163,48,12337500,711900,7774200,9400800,10399500,10607100,12288000,3448500,1948800
