Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0012,274.01898,230,0.00381,0,101974.14,8.7,280.05072,281.7263,287.04013,278.9172,357.52692,257.7832,52,12261300,9991500,11190600,11407200,11749800,8058900,12758400,12629700,11588700
1994-01-02,0,0.0038,260,220,0.00388,0,101265.81,12,282.7016,284.24014,285.03152,278.29807,354.92477,249.9636,50,9991500,11190600,11407200,11749800,8058900,12758400,12629700,11588700,1955100
1994-01-03,0,0.0003,227.44876,230,0.002230001,0,102112.04,5.600194,274.69473,276.91638,278.0617,272.03342,325.47086,244.00385,53,11190600,11407200,11749800,8058900,12758400,12629700,11588700,1955100,9624900
1994-01-04,0,0.0002,241.15533,230,0.002911304,0,102593.56,6.4,277.11578,278.69946,280.01486,276.33618,339.86365,249.53314,52,11407200,11749800,8058900,12758400,12629700,11588700,1955100,9624900,9374700
1994-01-05,0,0.0022,249.31166,230,0.003380609,0,101173.98,9.93278,283.83197,284.64893,284.67767,274.19986,339.66687,243.66684,51,11749800,8058900,12758400,12629700,11588700,1955100,9624900,9374700,12774900
1994-01-06,0.03,0.0247,273.7251,210,0.0033,0,100596.47,7.8693576,284.29282,285.19543,286.6034,284.64404,378.474,241.11685,46,8058900,12758400,12629700,11588700,1955100,9624900,9374700,12774900,13005900
1994-01-07,0,0.0002,213.80075,240,0.00084,0,103028.74,4.4861093,269.52057,269.59485,272.7594,268.27612,307.82263,234.15549,54,12758400,12629700,11588700,1955100,9624900,9374700,12774900,13005900,12468000
1994-01-08,0,0.0004,220,240,0.00185,0,102697.34,5.1387,274.25482,277.10635,278.6805,269.55237,319.50604,233.75105,54,12629700,11588700,1955100,9624900,9374700,12774900,13005900,12468000,1371600
1994-01-09,0,0.005,232.33179,240,0.00342,0,102265.484,7.2061396,281.79898,281.25473,281.20334,273.15665,331.52893,241.73051,53,11588700,1955100,9624900,9374700,12774900,13005900,12468000,1371600,13276500
1994-01-10,0.17,0.1755,352,30,0.00754,0.64,101826.75,17.478306,283.89874,284.9056,284.96567,280.9335,360.01392,242.17355,5,1955100,9624900,9374700,12774900,13005900,12468000,1371600,13276500,13453800
1994-01-11,0,0.0028,288,220,0.00573,0,102375.54,11.488282,281.12448,281.73248,283.75992,281.14737,362.77878,248,46,9624900,9374700,12774900,13005900,12468000,1371600,13276500,13453800,7501200
1994-01-12,0,0.0013,266.1172,220,0.00537,0,102265.92,8.880842,280.0567,281.40573,283.7397,277.40015,356.10803,206.5944,46,9374700,12774900,13005900,12468000,1371600,13276500,13453800,7501200,3860100
1994-01-13,0,0.0003,260.04938,230,0.00409,0,101967.14,8.8,281.55716,283.79993,284.50275,277.45007,351.48834,244.00403,51,12774900,13005900,12468000,1371600,13276500,13453800,7501200,3860100,8579400
1994-01-14,0,1.00E-04,254.84488,240,0.00341,0,102183.43,9.017229,280.60712,282.12616,287.15704,277.53555,353.99734,247.24615,52,13005900,12468000,1371600,13276500,13453800,7501200,3860100,8579400,2879700
1994-01-15,0.01,0.0071,230.50665,240,0.0017,0,102989.15,8.4,273.10797,274.16833,274.5626,270.4221,319.0133,236.72919,52,12468000,1371600,13276500,13453800,7501200,3860100,8579400,2879700,2262000
1994-01-16,0.29,0.2953,323,70,0.005000553,0.7,101480.25,21.281452,279.80624,279.16724,279.1247,273.75674,328.44318,205.41142,10,1371600,13276500,13453800,7501200,3860100,8579400,2879700,2262000,2525700
1994-01-17,0,0.0003,223.21204,250,0.00182,0,102819.61,5.240875,271.45895,272.318,274.12244,269.44272,314.14084,234.52853,55,13276500,13453800,7501200,3860100,8579400,2879700,2262000,2525700,8264400
1994-01-18,0,0,209,240,0.00103,0,103624.67,7.438176,268.39655,268.8726,268.862,264.97302,298.93518,228.96759,53,13453800,7501200,3860100,8579400,2879700,2262000,2525700,8264400,7989300
1994-01-19,0,0.0002,223,240,0.00194,0,102924.6,8.5,272.69662,274.6094,274.60883,267.4923,308.3074,239.26028,53,7501200,3860100,8579400,2879700,2262000,2525700,8264400,7989300,9560700
1994-01-20,0.15,0.1507,315.47433,80,0.00405,0.24,103307.87,14.7,275.2264,275.98438,277.2389,274.49783,327.52332,250.04195,15,3860100,8579400,2879700,2262000,2525700,8264400,7989300,9560700,13818000
1994-01-21,0.05,0.0474,294.72998,190,0.003300609,0.01,103830.055,16.368883,276.01773,276.82025,276.80423,272.80722,330.0021,244.27605,40,8579400,2879700,2262000,2525700,8264400,7989300,9560700,13818000,5092200
1994-01-22,0.22,0.217,317.52567,100,0.0055,1.42,103102.73,22.3,279.65912,280.45276,281.33365,276.56308,340.8052,170,18,2879700,2262000,2525700,8264400,7989300,9560700,13818000,5092200,9304200
1994-01-23,0.02,0.0237,300.28076,210,0.00656,0.02,102339.98,12.773603,282.7447,285.01465,284.9686,278.51044,356.59512,257.5772,41,2262000,2525700,8264400,7989300,9560700,13818000,5092200,9304200,15338700
1994-01-24,0.14,0.1342,353.1642,110,0.008641888,0.2,101828.86,24.000406,287.24252,287.37332,287.39984,283.14606,374.03662,228.55565,18,2525700,8264400,7989300,9560700,13818000,5092200,9304200,15338700,14417700
1994-01-25,0.03,0.0354,303.43646,240,0.00865,0,101508.37,15.3,286.31387,288.2477,290.2492,284.90057,386.9859,257.7493,50,8264400,7989300,9560700,13818000,5092200,9304200,15338700,14417700,15362700
1994-01-26,0.07,0.0696,336.07782,210,0.00443,0.32,100926.63,6.7821164,288.68552,288.7642,290.67383,288.1404,397.8605,227.03123,40,7989300,9560700,13818000,5092200,9304200,15338700,14417700,15362700,14741100
1994-01-27,0.16,0.1672,285,120,0.00297,0.02,101171.06,10.049393,278.38678,279.53528,281.89453,278.29053,354.05615,165.46442,19,9560700,13818000,5092200,9304200,15338700,14417700,15362700,14741100,10035900
1994-01-28,0.1,0.1017,248,200,0.0025,0,102161.02,7.7,275.2861,276.54938,277.24753,271.56,326.5994,159.87349,38,13818000,5092200,9304200,15338700,14417700,15362700,14741100,10035900,15075000
1994-01-29,0.2,0.1994,288.5726,140,0.00262,0.04,102343.89,10,275.62396,276.11987,277.92505,273.5658,332.67316,204.5998,23,5092200,9304200,15338700,14417700,15362700,14741100,10035900,15075000,15684000
1994-01-30,0.1,0.0958,256,220,0.002930004,0.01,102706.91,9.143423,276.10614,275.01172,278.2059,271.96576,331.76083,208.09596,44,9304200,15338700,14417700,15362700,14741100,10035900,15075000,15684000,9583500
1994-01-31,0.06,0.0637,240.15512,210,0.00127,0,103549.32,4.3,270.23413,270.9013,271.57965,267.63348,308,189.92279,47,15338700,14417700,15362700,14741100,10035900,15075000,15684000,9583500,3238500
1994-02-01,0,0.0003,206,280,0.00176,0,103085.89,3.6910489,272.393,274.55515,276.41486,268.3908,319.29126,232.16965,67,14417700,15362700,14741100,10035900,15075000,15684000,9583500,3238500,3581700
1994-02-02,0.01,0.0124,214.3381,280,0.00181,0,102767.98,4.33672,273.77682,277.0017,278.7574,268.60168,321,233.02487,61,15362700,14741100,10035900,15075000,15684000,9583500,3238500,3581700,13736100
1994-02-03,0.04,0.0381,264,220,0.003110141,0,102377.56,8.939966,279.3,280.9487,281.78113,273.88843,337,209.67242,42,14741100,10035900,15075000,15684000,9583500,3238500,3581700,13736100,16358400
1994-02-04,0.03,0.0352,278.01898,250,0.004452113,0,101768.43,13.2,280.13626,281.15637,283.09387,279.39215,355.3966,201.39989,51,10035900,15075000,15684000,9583500,3238500,3581700,13736100,16358400,13271700
1994-02-05,0,0.0012,268,280,0.0043,0,101870.81,10.257445,280.07962,281.15564,282.98505,279.72656,355.41748,251.26674,59,15075000,15684000,9583500,3238500,3581700,13736100,16358400,13271700,17783400
1994-02-06,0,0.0003,258.52567,290,0.00406,0,101771.49,7.2800155,282.3555,285.47998,287.53976,276.7554,355.70935,253.62329,61,15684000,9583500,3238500,3581700,13736100,16358400,13271700,17783400,15057300
1994-02-07,0.06,0.0552,287.47433,260,0.00699,0,101574.69,11.6,288.78592,291.21878,291.52383,281.79337,378,227.26997,54,9583500,3238500,3581700,13736100,16358400,13271700,17783400,15057300,16269000
1994-02-08,0.07,0.0642,366.52567,100,0.01099,0.06,100810.91,23.1542,293.183,293.9455,293.93622,289.11914,407.1172,230.5549,15,3238500,3581700,13736100,16358400,13271700,17783400,15057300,16269000,17076000
1994-02-09,0.15,0.1478,283,120,0.00118,0.25,102427.72,16.437351,270.01398,268.08987,269.34128,266.48572,314.64807,185.57846,25,3581700,13736100,16358400,13271700,17783400,15057300,16269000,17076000,16775400
1994-02-10,0,0.0044,260.6619,240,0.001492071,0,102435.47,8,271.56696,273.162,273.13858,267.1761,312.91415,179,46,13736100,16358400,13271700,17783400,15057300,16269000,17076000,16775400,7288200
1994-02-11,0,0.0038,235,300,0.00288,0,101993.93,9.119158,277.51913,279.38315,279.40405,268.86597,326.7866,238.53305,66,16358400,13271700,17783400,15057300,16269000,17076000,16775400,7288200,3149700
1994-02-12,0.01,0.0055,262.221,290,0.00324,0,102076.02,7.58889,281.13666,280.60806,281.84378,278.09412,354.16913,240.26375,61,13271700,17783400,15057300,16269000,17076000,16775400,7288200,3149700,17105700
1994-02-13,0,0.0002,218.97192,320,0.002099396,0,103732.91,2.741368,276.14285,277.4964,279.74677,271.94644,335.21796,255.91095,74,17783400,15057300,16269000,17076000,16775400,7288200,3149700,17105700,5923800
1994-02-14,0.02,0.0193,232.74667,312,0.00241,0,102835.03,3.8,282.013,283.71063,284.18,274.4583,343.59613,234.51685,67,15057300,16269000,17076000,16775400,7288200,3149700,17105700,5923800,4218300
1994-02-15,0,0.002,280.52567,310,0.00412,0,102621.46,9.7,283.29764,285.31873,286.0219,278.48212,364.49844,247.20068,66,16269000,17076000,16775400,7288200,3149700,17105700,5923800,4218300,16794000
1994-02-16,0,0.0002,271,310,0.00578,0,102904.35,9.9,285.31854,287.091,288.1043,278.57828,370,264.99957,65,17076000,16775400,7288200,3149700,17105700,5923800,4218300,16794000,19037400
1994-02-17,0,0.0033,281,310,0.00651,0,102332.73,11.6,287.48114,289.17352,290.1514,280.9366,378.1272,260.11908,65,16775400,7288200,3149700,17105700,5923800,4218300,16794000,19037400,18930000
1994-02-18,0.01,0.0117,302.3381,310,0.00733,0,101488.14,21,288.66763,289.25928,289.40912,283.1139,381,253.60854,65,7288200,3149700,17105700,5923800,4218300,16794000,19037400,18930000,19621500
1994-02-19,0.49,0.4872,367,70,0.01017,2.1,101061.11,29,289.37665,290.0878,290.1423,287.67532,393.3381,152.2331,10,3149700,17105700,5923800,4218300,16794000,19037400,18930000,19621500,5853300
1994-02-20,0.02,0.0228,309,314,0.00504,0,101608.15,10.7,288.28842,289.81866,292.79535,286.33347,397.6105,250.78159,64,17105700,5923800,4218300,16794000,19037400,18930000,19621500,5853300,1698900
1994-02-21,0.19,0.1878,289,276,0.00565,0,102084.88,12.9,287.0172,287.3,287.27997,280.17157,369.37158,170.22777,49,5923800,4218300,16794000,19037400,18930000,19621500,5853300,1698900,2385000
1994-02-22,0.05,0.0457,351.1245,173,0.0083,1.71,100471.93,20.4,286.13925,287.83286,289.11157,284.4403,384.93597,193.17725,30,4218300,16794000,19037400,18930000,19621500,5853300,1698900,2385000,19355100
1994-02-23,0,0.0004,232,347,0.0025,0,102021.64,5.3636775,276.43427,276.87506,276.91687,271.92514,328.06253,242.87999,73,16794000,19037400,18930000,19621500,5853300,1698900,2385000,19355100,17846700
1994-02-24,0,0,229,352,0.00328,0,101803.48,6.54029,282.06738,282.5999,282.6147,271.54364,337.25333,244.19543,74,19037400,18930000,19621500,5853300,1698900,2385000,19355100,17846700,19972200
1994-02-25,0,0.0002,252.47433,348,0.00318,0,102262.19,9.3,280.78708,279.28076,280.1708,278.29498,350.221,256.79208,72,18930000,19621500,5853300,1698900,2385000,19355100,17846700,19972200,19853700
1994-02-26,0,0.0006,224.6619,353,0.001323895,0,103253.53,8.6,275.42313,274.9328,274.892,269.20065,325.47433,234.12231,73,19621500,5853300,1698900,2385000,19355100,17846700,19972200,19853700,18263400
1994-02-27,0,0.003,250,335,0.00267,0,102553.62,16.2,279.52625,279.45667,279.49884,271.0066,334.154,233.00049,68,5853300,1698900,2385000,19355100,17846700,19972200,19853700,18263400,4968300
1994-02-28,0.41,0.4129,343,100,0.0063,0.76,101714.82,24.6,282.8439,283.14655,283.2038,278.81024,352.07068,184.46431,16,1698900,2385000,19355100,17846700,19972200,19853700,18263400,4968300,1305000
1994-03-01,0.37,0.3665,324,113,0.004903381,1.22,101935.98,18.237785,280.54144,279.58536,280.93207,279.29684,350.88248,164.7677,17,2385000,19355100,17846700,19972200,19853700,18263400,4968300,1305000,17434500
1994-03-02,0,0.0011,244,366,0.00478,0,102283.62,8.9,280.75107,281.7919,281.76898,272.64978,338,251.79987,89,19355100,17846700,19972200,19853700,18263400,4968300,1305000,17434500,21588600
1994-03-03,0.01,0.0076,271,367,0.00648,0,102299.16,11.8,287.15698,289.39297,289.61127,277.1352,367,255.53107,76,17846700,19972200,19853700,18263400,4968300,1305000,17434500,21588600,20866500
1994-03-04,0,0.0008,289,374,0.0069,0,101460.51,10.800046,289.42764,291.34738,292.62814,283.24146,389.0703,261.00024,77,19972200,19853700,18263400,4968300,1305000,17434500,21588600,20866500,4791600
1994-03-05,0,1.00E-04,305,369,0.010001035,0,101315.79,17.1,291.1854,292.28845,293.2698,284.5395,398,270.46283,74,19853700,18263400,4968300,1305000,17434500,21588600,20866500,4791600,20460600
1994-03-06,0.04,0.0458,368,165,0.01123,0.15,101220.52,21.3,293.16656,292.62274,292.65204,288.59485,404.779,251.21083,28,18263400,4968300,1305000,17434500,21588600,20866500,4791600,20460600,22291800
1994-03-07,0.07,0.0692,355,277,0.01072,0.09,101465.88,17.9,292.60858,290.9606,293.0025,288.37848,414.84488,284.40778,53,4968300,1305000,17434500,21588600,20866500,4791600,20460600,22291800,21888300
1994-03-08,0.64,0.6378,337,34,0.00474,4.77,101908.67,24.4,278.381,278.11313,278.55655,277.95032,340.83038,233.53842,6,1305000,17434500,21588600,20866500,4791600,20460600,22291800,21888300,22332600
1994-03-09,0.05,0.0559,287,274,0.003373896,0.27,102440.04,10.353374,276.61166,276.59863,276.6145,272.6233,326.779,225.27731,66,17434500,21588600,20866500,4791600,20460600,22291800,21888300,22332600,19909500
1994-03-10,0,1.00E-04,238.03543,407,0.00407,0,102728.83,6.5,281.13202,282.44888,284.30005,273.13104,348,247.7778,84,21588600,20866500,4791600,20460600,22291800,21888300,22332600,19909500,22556700
1994-03-11,0.01,0.0075,258.779,403,0.00459,0,102641.88,7.2,284.20078,285.55548,287.07187,277.63733,362.98102,248.90012,82,20866500,4791600,20460600,22291800,21888300,22332600,19909500,22556700,19767300
1994-03-12,0.15,0.148,317,122,0.00632,0.13,102647.7,18.600487,284.03555,283.47946,283.4427,278.77905,356.49338,236.95708,23,4791600,20460600,22291800,21888300,22332600,19909500,22556700,19767300,12688800
1994-03-13,0,0.001,298,384,0.00695,0,102802.43,15.4,286.13412,286.9146,288.29538,282.19635,380.19922,250.0744,76,20460600,22291800,21888300,22332600,19909500,22556700,19767300,12688800,23929800
1994-03-14,0,0.0002,268,425,0.005692533,0,101975.85,8.095791,289.1715,291.23846,292.33627,280.88437,381.74667,274.747,87,22291800,21888300,22332600,19909500,22556700,19767300,12688800,23929800,22112700
1994-03-15,0,0.0007,310.2488,408,0.00783,0,101527.86,17.5,290.7144,291.24338,293.9306,285.75595,405,267.68958,81,21888300,22332600,19909500,22556700,19767300,12688800,23929800,22112700,19732800
1994-03-16,0,0.0006,270.6105,431,0.00519,0,101977.266,8.2,288.35068,289.61014,290.62283,281.06458,385.47433,269,87,22332600,19909500,22556700,19767300,12688800,23929800,22112700,19732800,10695000
1994-03-17,0.01,0.0082,316,415,0.0102,0,100849.7,18.4,294.9727,296.10724,296.07828,285.14847,406.01898,268.0545,82,19909500,22556700,19767300,12688800,23929800,22112700,19732800,10695000,20496000
1994-03-18,0,0.0007,314.43646,431,0.00618,0,101005.375,12.050574,292.03592,293.57288,296.31732,288.45917,415.83112,280.33997,86,22556700,19767300,12688800,23929800,22112700,19732800,10695000,20496000,2185200
1994-03-19,0.01,0.0072,360.70874,348,0.01313,0,100611.96,26.643993,298.0287,298.31,298.35934,288.28946,424.5742,263.6336,63,19767300,12688800,23929800,22112700,19732800,10695000,20496000,2185200,13387800
1994-03-20,0.02,0.0174,350.0076,413,0.00943,0,100273.7,24.528887,298.15643,300.37122,302.10483,292.6256,440.98608,239.13887,79,12688800,23929800,22112700,19732800,10695000,20496000,2185200,13387800,24129900
1994-03-21,0,0.0008,278,452,0.004138654,0,101645.43,5.132769,288.80133,289.82364,290.90482,285.03302,393,269.20526,90,23929800,22112700,19732800,10695000,20496000,2185200,13387800,24129900,24140700
1994-03-22,0,0.0043,269.3895,462,0.0055,0,101461.984,8.1,292.05377,293.2986,293.61588,281.7157,391.2578,284.46704,94,22112700,19732800,10695000,20496000,2185200,13387800,24129900,24140700,24983100
1994-03-23,0.09,0.0884,382,148,0.01211,0.09,100510.28,25.816349,297.25314,296.24933,296.28177,289.81226,417.7918,256.21143,25,19732800,10695000,20496000,2185200,13387800,24129900,24140700,24983100,24699300
1994-03-24,0.38,0.3786,348.1172,99,0.00799,0.03,101199.62,21,291.28552,290.90366,291.35443,290.34808,407.33707,156,15,10695000,20496000,2185200,13387800,24129900,24140700,24983100,24699300,24293100
1994-03-25,0.01,0.0075,275.0506,452,0.00568,0,102059.77,17.9,289.03967,287.67676,287.70917,277.8714,372.0949,253.90277,89,20496000,2185200,13387800,24129900,24140700,24983100,24699300,24293100,21223500
1994-03-26,0.07,0.0691,364,167,0.00964,0.84,100047.74,24.6,293.52567,295.63388,295.60593,286.89163,400.74667,244.94135,28,2185200,13387800,24129900,24140700,24983100,24699300,24293100,21223500,25620300
1994-03-27,0.12,0.1133,302,377,0.00435,0,100939.3,13.3,284.08954,284.57275,286.3568,280.08405,369.9813,204.38354,68,13387800,24129900,24140700,24983100,24699300,24293100,21223500,25620300,17015700
1994-03-28,0,0.0013,250,492,0.00249,0,102355.35,5.2,283.33752,284.09067,284.1017,277.26813,359,248.93347,100,24129900,24140700,24983100,24699300,24293100,21223500,25620300,17015700,4329900
1994-03-29,0,0.0014,258.74667,487,0.00381,0,102242.85,8.9,285.88953,286.7681,289.46713,277.31183,373,255.77773,97,24140700,24983100,24699300,24293100,21223500,25620300,17015700,4329900,26057700
1994-03-30,0,1.00E-04,266,439,0.00324,0,103353.11,6.4,284.4779,284.54883,284.54837,277.50024,363.23016,213.23306,81,24983100,24699300,24293100,21223500,25620300,17015700,4329900,26057700,25562400
