Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0,270,220,0.0036,0,101979.57,8.3,280.28876,280.53784,287.5939,279.7911,361.12677,257.4916,51,12116400,10733400,11775000,12159600,11419500,6687000,12486300,12471300,12391800
1994-01-02,0,0.0047,259,220,0.00349,0,101247,11.1,282.80264,284.07947,286.2315,278.93005,357,252.53503,49,10733400,11775000,12159600,11419500,6687000,12486300,12471300,12391800,3879900
1994-01-03,0,0.0007,228.44876,230,0.002570001,0,102130.24,5.2,276.36508,278.86597,278.93582,273.309,331.07877,245.0864,52,11775000,12159600,11419500,6687000,12486300,12471300,12391800,3879900,12371400
1994-01-04,0,0.0003,242.12161,230,0.002698437,0,102599.65,5.641466,277.61578,279.16635,281.5182,276.77692,344.84955,250.44907,51,12159600,11419500,6687000,12486300,12471300,12391800,3879900,12371400,8449200
1994-01-05,0,0.0033,253.97852,220,0.00306,0,100964.17,9.064972,285.94037,287.34894,287.3,275.79388,347.7795,247.66684,50,11419500,6687000,12486300,12471300,12391800,3879900,12371400,8449200,12463200
1994-01-06,0.01,0.0095,270.779,210,0.00327,0,100698.07,8.5563545,284.853,285.57913,286.641,285.516,381.474,254.00572,46,6687000,12486300,12471300,12391800,3879900,12371400,8449200,12463200,12793800
1994-01-07,0,0.0004,216.84106,230,0.00099,0,103001.68,4.6861095,268.85675,269.84515,272.76132,267.81613,306.82263,232.2134,52,12486300,12471300,12391800,3879900,12371400,8449200,12463200,12793800,11604000
1994-01-08,0,0.0002,220.35153,230,0.00199,0,102548.45,4.9672766,272.3548,275.5751,279.86002,269.91238,321.56335,233.75105,53,12471300,12391800,3879900,12371400,8449200,12463200,12793800,11604000,1401300
1994-01-09,0,0.001,234.93474,230,0.00253,0,102046.086,6.6060905,281.62595,282.7083,282.70334,274.25665,336.9051,243.23781,52,12391800,3879900,12371400,8449200,12463200,12793800,11604000,1401300,13079400
1994-01-10,0.04,0.0373,333.58252,140,0.00725,0.35,101700.24,14.189802,283.84888,283.89935,287.99493,283.2854,376.58212,245,26,3879900,12371400,8449200,12463200,12793800,11604000,1401300,13079400,13125900
1994-01-11,0,0.0002,268.6105,220,0.0045,0,102491.46,9,279.2245,280.12384,283.4599,279.1999,354.55145,248.45898,49,12371400,8449200,12463200,12793800,11604000,1401300,13079400,13125900,7311600
1994-01-12,0,0.0009,262.1172,220,0.00535,0,102220.64,9.1,279.6634,281.21515,284.0988,277.33017,356.20886,221.71286,47,8449200,12463200,12793800,11604000,1401300,13079400,13125900,7311600,5358300
1994-01-13,0,0.0002,257.39404,230,0.003465941,0,102051.28,8.539491,281.80316,284.01346,285.59772,276.8804,351.29303,244.69547,51,12463200,12793800,11604000,1401300,13079400,13125900,7311600,5358300,9132300
1994-01-14,0,0.0002,255.15512,230,0.00277,0,102094.9,7.8,281.2038,283.4962,288.3623,278.45175,359.9007,251.24615,51,12793800,11604000,1401300,13079400,13125900,7311600,5358300,9132300,2923200
1994-01-15,0.01,0.0111,232.50665,230,0.00164,0,102922.77,8.047434,273.69513,274.51834,275.24905,270.9621,319.0133,232.55801,50,11604000,1401300,13079400,13125900,7311600,5358300,9132300,2923200,2631900
1994-01-16,0.2,0.1957,332.52567,60,0.00645,0.77,101205.96,20.4,280.6416,282.00415,283.09204,275.81677,339.05615,207.07959,10,1401300,13079400,13125900,7311600,5358300,9132300,2923200,2631900,2771400
1994-01-17,0,0.0002,225,240,0.001790069,0,102812.7,5.7217393,271.91623,273.46136,274.13904,269.7518,313.48657,234.26044,53,13079400,13125900,7311600,5358300,9132300,2923200,2631900,2771400,9204900
1994-01-18,0,0.0004,209,240,0.00105,0,103643.71,7.324527,267.55237,268.9141,268.85178,264.43967,294.89197,228.33307,52,13125900,7311600,5358300,9132300,2923200,2631900,2771400,9204900,8131500
1994-01-19,0,0.0003,225,240,0.0024,0,102771,8.344728,275.0329,276.47906,276.48453,267.08054,310.3074,240.33353,52,7311600,5358300,9132300,2923200,2631900,2771400,9204900,8131500,10048800
1994-01-20,0.13,0.1263,316,80,0.004183275,0.22,103298.68,13.7,277.11624,276.9718,277.83197,275.85995,336.32886,253.07181,15,5358300,9132300,2923200,2631900,2771400,9204900,8131500,10048800,13080300
1994-01-21,0.07,0.0667,302.72998,130,0.003630287,0.02,103799.03,17.868883,277.01834,276.8156,276.93124,273.44513,330.78696,241.68631,25,9132300,2923200,2631900,2771400,9204900,8131500,10048800,13080300,7510500
1994-01-22,0.1,0.1002,318,150,0.005602585,2.39,103032.82,21.8,279.99893,281.19208,282.76337,276.83878,346.8052,189.33821,27,2923200,2631900,2771400,9204900,8131500,10048800,13080300,7510500,6205500
1994-01-23,0.01,0.0062,295.98102,220,0.0065,0,102275.86,11.984022,282.84467,285.5604,286.1294,277.87042,357.2689,257.83826,46,2631900,2771400,9204900,8131500,10048800,13080300,7510500,6205500,14909100
1994-01-24,0.1,0.0997,356.1411,100,0.008192665,0.09,101729.42,21.098993,288.08185,288.0733,288.1245,282.7266,374.45715,227.73051,16,2771400,9204900,8131500,10048800,13080300,7510500,6205500,14909100,14307300
1994-01-25,0.02,0.0178,293.43646,230,0.007053991,0,101511.25,12.8,285.54614,287.77835,289.94495,283.84457,385.68976,244.76929,48,9204900,8131500,10048800,13080300,7510500,6205500,14909100,14307300,15418200
1994-01-26,0.08,0.0841,296,210,0.00277,0,100905.01,6.0027995,286.8954,287.90033,289.30148,286.8456,386.6765,210.03123,40,8131500,10048800,13080300,7510500,6205500,14909100,14307300,15418200,14435100
1994-01-27,0.15,0.1534,276.11417,120,0.00264,0,101238.54,8.6,278.44217,279.56024,282.76895,275.79053,342.74066,201.55035,20,10048800,13080300,7510500,6205500,14909100,14307300,15418200,14435100,10802400
1994-01-28,0.08,0.0792,248,200,0.002392546,0,102247.69,7.6,275.17804,276.62552,277.64752,271.8852,326.79608,157.87349,37,13080300,7510500,6205500,14909100,14307300,15418200,14435100,10802400,15186600
1994-01-29,0.23,0.2341,286,140,0.002646731,0.04,102356.4,9.680553,275.80667,275.0459,278.1277,273.29178,333.1959,190.48618,24,7510500,6205500,14909100,14307300,15418200,14435100,10802400,15186600,15303600
1994-01-30,0.16,0.1609,274,190,0.00325,0.3,102634.34,9.901333,276.20612,275.1821,278.53116,272.582,332.76083,194.38019,37,6205500,14909100,14307300,15418200,14435100,10802400,15186600,15303600,661800
1994-01-31,0.14,0.1384,246,180,0.00141,0,103684.38,4.8,268.83414,270.0257,271.20715,267.18347,302.58203,189.92503,49,14909100,14307300,15418200,14435100,10802400,15186600,15303600,661800,2765700
1994-02-01,0,0.0005,205,270,0.00195,0,103121.41,4.1016526,272.2763,274.52515,275.85214,266.7508,311.29126,229.01945,78,14307300,15418200,14435100,10802400,15186600,15303600,661800,2765700,6586200
1994-02-02,0.02,0.0219,215.25333,270,0.00183,0,102726.1,4.35508,274.60382,277.82974,279.53024,266.2533,316.96988,227.68187,60,15418200,14435100,10802400,15186600,15303600,661800,2765700,6586200,15643500
1994-02-03,0.06,0.0534,266,230,0.0031,0,102239.48,9.439966,280.62152,282.30347,282.37973,273.398,338,209.09923,46,14435100,10802400,15186600,15303600,661800,2765700,6586200,15643500,16158000
1994-02-04,0.04,0.046,278,250,0.003612113,0,101812.86,12.464165,279.7606,281.36606,282.23337,279.86902,354.12708,207.39989,52,10802400,15186600,15303600,661800,2765700,6586200,15643500,16158000,15006600
1994-02-05,0,0.0002,267,270,0.00394,0,101919.88,9.78038,279.12976,280.5006,282.78506,280.22882,354.31335,250.15544,58,15186600,15303600,661800,2765700,6586200,15643500,16158000,15006600,17639700
1994-02-06,0,0.0003,254,280,0.00368369,0,101772.13,5.9,282.19254,285.1744,287.28958,277.585,359.4835,255.62329,61,15303600,661800,2765700,6586200,15643500,16158000,15006600,17639700,13578600
1994-02-07,0.07,0.0629,281,260,0.00491,0,101490.85,9.7,289.44427,292.10556,292.435,281.3318,377.7096,220.961,52,661800,2765700,6586200,15643500,16158000,15006600,17639700,13578600,16146900
1994-02-08,0.04,0.0329,335,240,0.00977,0,100722.75,19.2,293.40143,295.95148,296.62823,287.60144,411.29126,226.59216,48,2765700,6586200,15643500,16158000,15006600,17639700,13578600,16146900,16354200
1994-02-09,0.14,0.137,278.52567,170,0.00104,0,102550.07,11.518676,269.8001,267.3976,270.2138,267.19473,315.08908,181.2414,35,6586200,15643500,16158000,15006600,17639700,13578600,16146900,16354200,2021700
1994-02-10,0,0.0011,245.6619,250,0.001208116,0,102410.8,5.9,273.00107,273.59064,273.60608,266.4249,312.0854,188.21931,50,15643500,16158000,15006600,17639700,13578600,16146900,16354200,2021700,7752300
1994-02-11,0,0.0026,236.22101,290,0.00274,0,101888.97,9.938316,280.34833,280.36285,280.36682,268.85495,329.2822,236.53305,62,16158000,15006600,17639700,13578600,16146900,16354200,2021700,7752300,1633200
1994-02-12,0,0.0016,255,290,0.002843337,0,102243.15,6.9,279.81274,280.72742,281.62378,280.4061,354.47937,249.74422,62,15006600,17639700,13578600,16146900,16354200,2021700,7752300,1633200,17279700
1994-02-13,0,0.0003,215.97192,310,0.00176,0,103811.836,2.5,277.9116,279.8275,280.73383,272.28836,338.34967,256.72113,69,17639700,13578600,16146900,16354200,2021700,7752300,1633200,17279700,3563100
1994-02-14,0.02,0.0207,234.47433,306,0.00197022,0,102733.43,4.3,283.1856,285.01968,285.03943,274.98843,347.59613,231.5538,65,13578600,16146900,16354200,2021700,7752300,1633200,17279700,3563100,3241500
1994-02-15,0,0.0015,279,305,0.00321,0,102556.34,8.4,283.8601,286.0114,287.20508,276.91757,364,247.20068,65,16146900,16354200,2021700,7752300,1633200,17279700,3563100,3241500,17834400
1994-02-16,0,0,271,310,0.0061,0,102834.11,9.330643,286.82468,288.631,288.84576,278.57355,372.38953,266.98242,65,16354200,2021700,7752300,1633200,17279700,3563100,3241500,17834400,18908100
1994-02-17,0,0.0047,282,310,0.00645,0,102203.125,11.7,289.12466,290.7687,291.60822,281.5625,383.1747,259.872,64,2021700,7752300,1633200,17279700,3563100,3241500,17834400,18908100,18399900
1994-02-18,0.03,0.0259,299.96173,269,0.00732,0,101308.14,23.319159,289.3266,289.85672,289.92163,283.23224,382.8203,250.79979,46,7752300,1633200,17279700,3563100,3241500,17834400,18908100,18399900,18579900
1994-02-19,0.34,0.3463,361,80,0.00925,0.74,100895.234,26.5,290.38303,290.9878,290.90533,287.3869,394.1215,151.81274,12,1633200,17279700,3563100,3241500,17834400,18908100,18399900,18579900,8162400
1994-02-20,0.03,0.0336,279,313,0.00342,0,101602.39,8.799173,287.1811,289.15866,291.87766,283.27155,384,247.83322,65,17279700,3563100,3241500,17834400,18908100,18399900,18579900,8162400,2043600
1994-02-21,0.39,0.3888,298.0996,189,0.0055,0,102042.08,14.7,285.84027,286.41403,286.60995,280.42987,370.07593,162.47685,29,3563100,3241500,17834400,18908100,18399900,18579900,8162400,2043600,2020200
1994-02-22,0.05,0.0489,342,197,0.00764,2.01,100400.8,17.4,285.7721,287.65286,289.0848,283.52258,382.25235,230.34958,36,3241500,17834400,18908100,18399900,18579900,8162400,2043600,2020200,19303200
1994-02-23,0,1.00E-04,226,339,0.00225,0,102103.61,4.8955708,277.3681,277.17508,277.21686,271.27234,327.4033,239.18353,72,17834400,18908100,18399900,18579900,8162400,2043600,2020200,19303200,17539500
1994-02-24,0,0.0002,234.6619,342,0.00346,0,101647.64,7.00209,284.56738,284.82632,284.86563,272.06467,340.779,245.88307,73,18908100,18399900,18579900,8162400,2043600,2020200,19303200,17539500,20448900
1994-02-25,0,0.0006,249.79807,339,0.00248,0,102396.43,9.124171,279.3871,278.28076,280.41016,277.88666,350.4936,257.3874,71,18399900,18579900,8162400,2043600,2020200,19303200,17539500,20448900,20097900
1994-02-26,0,0.0022,224,346,0.00135,0,103291.29,8.5,276.52313,274.87433,274.8795,269.1106,325.47433,234.48679,72,18579900,8162400,2043600,2020200,19303200,17539500,20448900,20097900,13776900
