Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,1.00E-04,251.01898,210,0.00317,0,102050.7,8.5,278.90952,279.2617,286.1832,278.68048,354.73822,251.1998,50,11308800,9154800,10700400,11907000,7334400,5631600,12098700,12072300,11369400
1994-01-02,0.04,0.0378,275,150,0.00299,0,101288.21,10.58032,280.7187,282.54132,287.43152,278.239,349,238.5763,33,9154800,10700400,11907000,7334400,5631600,12098700,12072300,11369400,11709300
1994-01-03,0,0.0007,223.6105,210,0.002770001,0,102030.12,6.4,277.37683,279.60004,279.6358,272.42105,330.6432,241.00385,51,10700400,11907000,7334400,5631600,12098700,12072300,11369400,11709300,11973000
1994-01-04,0,0.0004,237.38077,210,0.002531505,0,102565.67,4.744192,275.62485,276.953,281.36383,274.9469,342.88644,246,51,11907000,7334400,5631600,12098700,12072300,11369400,11709300,11973000,11049000
1994-01-05,0.02,0.0148,252.06902,210,0.003109972,0,100593.07,8.7,287.325,286.9668,287,275.98987,345.7795,238.57576,50,7334400,5631600,12098700,12072300,11369400,11709300,11973000,11049000,12099900
1994-01-06,0,0.0022,252.25333,210,0.00302,0,100969.96,8.991034,281.20697,280.74796,283.1198,279.05215,364.50638,255.0466,50,5631600,12098700,12072300,11369400,11709300,11973000,11049000,12099900,12221100
1994-01-07,0,0.0006,216.25323,210,0.00134,0,103140.77,4.674493,268.67303,271.02887,271.47784,265.31,298.076,224.86922,52,12098700,12072300,11369400,11709300,11973000,11049000,12099900,12221100,12094800
1994-01-08,0,0.0018,219.1551,210,0.00184,0,102512.13,5.5672765,271.57098,274.15634,277.76,267.65536,313.1172,226.36676,51,12072300,11369400,11709300,11973000,11049000,12099900,12221100,12094800,1288500
1994-01-09,0.01,0.011,230.3174,210,0.00227,0,101842.484,6.8060904,278.899,280.48517,280.5276,270.35663,322.9512,224.73341,48,11369400,11709300,11973000,11049000,12099900,12221100,12094800,1288500,12507900
1994-01-10,0.01,0.0135,264.58252,190,0.00363,0,101785.67,8.873344,278.6557,280.35168,282.73984,279.51608,350.73526,248.99991,45,11709300,11973000,11049000,12099900,12221100,12094800,1288500,12507900,12694500
1994-01-11,0,0.0006,255.52567,210,0.00418,0,102714.03,7.8525667,276.02698,277.03424,280.9488,275.62003,339.77878,243.34546,49,11973000,11049000,12099900,12221100,12094800,1288500,12507900,12694500,12622800
1994-01-12,0.01,0.0083,244.01898,210,0.00415,0,102213.29,7.780842,276.5634,278.5661,282.45938,274.6902,342.16766,242.20166,50,11049000,12099900,12221100,12094800,1288500,12507900,12694500,12622800,5883600
1994-01-13,0,0.0002,245.35153,210,0.00291,0,102113.48,8.134746,278.76047,281.52133,285.56952,275.51782,344.48834,241,50,12099900,12221100,12094800,1288500,12507900,12694500,12622800,5883600,7908900
1994-01-14,0,0.0003,248.84488,220,0.00288,0,102171.3,7.9,278.4071,280.4962,285.19058,277.61407,351.7925,249,51,12221100,12094800,1288500,12507900,12694500,12622800,5883600,7908900,4995000
1994-01-15,0.01,0.0055,225.15512,220,0.00146,0,103025.1,7.449336,271.3632,272.31833,273.43307,268.74802,308.0133,235.1331,50,12094800,1288500,12507900,12694500,12622800,5883600,7908900,4995000,10932900
1994-01-16,0.31,0.3071,320,60,0.00414493,0.58,101413.44,15.519158,275.89313,277.02118,281.21347,273.87344,333.38177,197.07959,12,1288500,12507900,12694500,12622800,5883600,7908900,4995000,10932900,5281800
1994-01-17,0,0.0009,231,220,0.00197,0,102877.42,7.1217394,271.14172,272.37415,273.15244,268.26016,308.14084,228.90521,55,12507900,12694500,12622800,5883600,7908900,4995000,10932900,5281800,8374800
1994-01-18,0,0.0003,201,220,0.00103,0,103816.03,7.224908,265.76996,266.71408,266.70486,261.6795,284.93518,221.7295,52,12694500,12622800,5883600,7908900,4995000,10932900,5281800,8374800,11583600
1994-01-19,0,0.0003,220,220,0.00208,0,102500.06,7.644728,273.00006,275.8079,275.87756,264.98053,301.8284,236.43607,52,12622800,5883600,7908900,4995000,10932900,5281800,8374800,11583600,12608400
1994-01-20,0.07,0.0647,275.3381,130,0.00228,0.01,103516.43,9.285268,272.9551,273.00906,274.4588,270.3843,311.52332,247.11766,30,5883600,7908900,4995000,10932900,5281800,8374800,11583600,12608400,11967900
1994-01-21,0.03,0.0333,280,120,0.003300609,0.03,103797.71,12.2,274.34686,275.8156,275.80423,268.36777,315.78696,241.27605,29,7908900,4995000,10932900,5281800,8374800,11583600,12608400,11967900,13708200
1994-01-22,0.01,0.012,297,180,0.00530901,0.53,102874.2,20.2,280.3819,282.12753,282.36337,275.63287,344.31516,217.33821,36,4995000,10932900,5281800,8374800,11583600,12608400,11967900,13708200,5371200
1994-01-23,0,0.0016,269,230,0.00531,0,102137.3,8.6,280.862,283.83096,285.19867,275.49634,348.26956,257.83826,52,10932900,5281800,8374800,11583600,12608400,11967900,13708200,5371200,14643600
1994-01-24,0.04,0.0379,309.33145,170,0.007160888,0,101522.94,14.582848,285.94296,286.6224,286.6245,279.8353,364.4293,231.74446,35,5281800,8374800,11583600,12608400,11967900,13708200,5371200,14643600,14166300
1994-01-25,0.01,0.0114,266.52567,230,0.0037,0,101482.35,7.2,283.357,286.16278,288.88968,280.80875,366.84488,247.67783,52,8374800,11583600,12608400,11967900,13708200,5371200,14643600,14166300,15038700
1994-01-26,0.03,0.0252,269.30035,230,0.00246,0,100583.5,5.465538,284.54224,286.62976,287.2868,282.73724,372.1881,255.10916,55,11583600,12608400,11967900,13708200,5371200,14643600,14166300,15038700,13680300
1994-01-27,0,0.0016,244.5726,200,0.00226,0,101379.62,6.6132793,276.53436,277.97974,279.07166,272.52655,332.15576,225.06699,41,12608400,11967900,13708200,5371200,14643600,14166300,15038700,13680300,13898700
1994-01-28,0.01,0.0034,221,240,0.002282344,0,102314.41,6.4,273.04736,275.18033,277.6965,270.68677,321.73526,229.70874,56,11967900,13708200,5371200,14643600,14166300,15038700,13680300,13898700,14178900
1994-01-29,0.02,0.0246,251.11719,200,0.00276,0,102275.73,8.3,274.3064,274.68008,278.42258,271.17618,330.17178,182.06432,43,13708200,5371200,14643600,14166300,15038700,13680300,13898700,14178900,14407500
1994-01-30,0.52,0.5197,287.3381,80,0.002977467,2.4,102937.86,9,272.5298,271.6047,272.85583,271.42624,312.0146,166.57997,26,5371200,14643600,14166300,15038700,13680300,13898700,14178900,14407500,5825100
