Date,cloud,conden,dlwave,dswave,humid,precip,press,pwat,temp,temp2m,tmax,tmin,ulwave,ulwave_atm,uswave,P,P1,P2,P3,P4,P5,P6,P7,P8
1994-01-01,0,0.0015,258.01898,220,0.00408,0,101894.82,8.9,277.41327,277.7053,282.49106,276.67804,342.12677,250,47,10644300,4082700,2746500,2741400,8235300,8463600,11494800,11280300,9737100
1994-01-02,0.26,0.2588,291,110,0.00436,0.01,101287.03,13,277.9293,279.5166,280.8315,274.46246,335.1409,202.9636,17,4082700,2746500,2741400,8235300,8463600,11494800,11280300,9737100,2064300
1994-01-03,0.03,0.0313,260.9363,180,0.0029,0.02,101933.78,8.1,271.43427,272.2964,274.3668,269.56897,310.51062,210.83493,77,2746500,2741400,8235300,8463600,11494800,11280300,9737100,2064300,1908000
1994-01-04,0.01,0.0123,248.04082,190,0.00293,0,102440.62,7.0613184,273.79813,272.91098,276.43463,271.79764,323.8536,235.10666,40,2741400,8235300,8463600,11494800,11280300,9737100,2064300,1908000,5994300
1994-01-05,0.01,0.0066,241.25333,220,0.003500609,0,101153.19,11.243423,277.56445,279.6535,280.45947,271.2877,325.12225,230.5664,45,8235300,8463600,11494800,11280300,9737100,2064300,1908000,5994300,10277100
1994-01-06,0.01,0.0054,260.38348,220,0.00421,0,100569.75,9.791034,277.79282,277.99542,280.50354,275.80118,341.474,251.21678,46,8463600,11494800,11280300,9737100,2064300,1908000,5994300,10277100,5569500
1994-01-07,0,0.001,196.52567,230,0.00072,0,103016.26,3.6,266.72528,267.31454,268.63263,263.74277,289.96045,223.2134,52,11494800,11280300,9737100,2064300,1908000,5994300,10277100,5569500,11029500
1994-01-08,0,0.0004,215.03796,230,0.00114,0,102845.82,6.8416166,269.771,270.3288,275.0537,266.18884,305.50604,223.86642,53,11280300,9737100,2064300,1908000,5994300,10277100,5569500,11029500,739800
1994-01-09,0.02,0.0168,230.45566,220,0.00247,0,102536.29,7.4,273.83392,275.83298,278.26904,270.3945,317.9512,215.53885,50,9737100,2064300,1908000,5994300,10277100,5569500,11029500,739800,11681100
1994-01-10,0.29,0.2896,323.61526,50,0.00453,0.8,102107.12,16.657932,277.18124,277.75317,277.7702,275.12628,327.73526,224.46823,8,2064300,1908000,5994300,10277100,5569500,11029500,739800,11681100,12465000
1994-01-11,0.1,0.0958,320,120,0.00551,0.13,102485.44,13.679191,279.12698,279.45825,281.36963,278.42212,348.83844,206.03662,21,1908000,5994300,10277100,5569500,11029500,739800,11681100,12465000,14057400
1994-01-12,0.04,0.0361,289,110,0.00513,0.01,102325.2,9.680841,279.13947,278.779,280.5988,274.70932,342.16766,241.3197,18,5994300,10277100,5569500,11029500,739800,11681100,12465000,14057400,6372900
1994-01-13,0.01,0.0142,268.39404,180,0.00394,0.03,101816.516,10.086621,277.4892,279.03134,281.70276,274.1802,338.48834,218.52562,33,10277100,5569500,11029500,739800,11681100,12465000,14057400,6372900,11701200
1994-01-14,0,0.0028,250.16422,120,0.002190552,0.03,102502.305,10.376665,273.12515,270.90616,272.47748,269.88736,314.99734,222.71921,23,5569500,11029500,739800,11681100,12465000,14057400,6372900,11701200,3254100
1994-01-15,0,0.0003,217,220,0.001153164,0,103338.17,9.468636,268.20197,268.05215,269.00003,265.4221,298.0133,223.00027,52,11029500,739800,11681100,12465000,14057400,6372900,11701200,3254100,1685400
1994-01-16,0.68,0.6781,306,30,0.003110883,4.2,101873.56,18.5,273.5611,272.3959,272.7224,268.3831,306.1082,186.21439,11,739800,11681100,12465000,14057400,6372900,11701200,3254100,1685400,1114200
1994-01-17,0,0.0013,203,240,0.00137,0,103011.09,5.623119,263.77597,263.73376,265.82794,263.43347,288.02716,218.66711,102,11681100,12465000,14057400,6372900,11701200,3254100,1685400,1114200,6499500
1994-01-18,0,0.0003,199,240,0.00076,0,103863.58,7.4311867,262.51352,262.60925,263.26202,260.89206,274.21606,210.54172,77,12465000,14057400,6372900,11701200,3254100,1685400,1114200,6499500,3655800
1994-01-19,0,1.00E-04,212,240,0.00132,0,102912.6,8.617886,269.13287,270.6879,270.6845,263.05054,287.8284,225.43607,73,14057400,6372900,11701200,3254100,1685400,1114200,6499500,3655800,5641200
1994-01-20,0,1.00E-04,232.3381,240,0.002358518,0,103567.15,10.974199,271.90585,271.57333,275.53198,268.26395,312.00302,233.99742,66,6372900,11701200,3254100,1685400,1114200,6499500,3655800,5641200,9696300
